Timestamp,Latency_Avg_ms,TPS
2026-05-08 07:42:41,=,
2026-05-08 07:43:11,=,
2026-05-08 07:43:41,=,
2026-05-08 07:44:11,=,
2026-05-08 07:44:41,=,
2026-05-08 07:45:11,=,
2026-05-08 07:45:41,=,
2026-05-08 07:46:11,=,
2026-05-08 07:46:41,=,
2026-05-08 07:47:11,=,
2026-05-08 07:47:41,=,
2026-05-08 07:48:11,=,
2026-05-08 07:48:41,=,
2026-05-08 07:49:11,=,
2026-05-08 07:49:41,=,
2026-05-08 07:50:11,=,
2026-05-08 07:50:41,=,
2026-05-08 07:51:11,=,
2026-05-08 07:51:41,=,
2026-05-08 07:52:11,=,
2026-05-08 07:52:41,=,
2026-05-08 07:53:11,=,
2026-05-08 07:53:41,=,
2026-05-08 07:54:11,=,
2026-05-08 07:54:41,=,
2026-05-08 07:55:11,=,
2026-05-08 07:55:41,=,
2026-05-08 07:56:11,=,
2026-05-08 07:56:41,=,
2026-05-08 07:57:11,=,
2026-05-08 07:57:41,=,
2026-05-08 07:58:11,=,
2026-05-08 07:58:41,=,
2026-05-08 07:59:11,=,
2026-05-08 07:59:41,=,
2026-05-08 08:00:11,=,
2026-05-08 08:00:41,=,
2026-05-08 08:01:11,=,
2026-05-08 08:01:41,=,
2026-05-08 08:02:11,=,
2026-05-08 08:02:41,=,
2026-05-08 08:03:11,=,
2026-05-08 08:03:41,=,
2026-05-08 08:04:11,=,
2026-05-08 08:04:41,=,
2026-05-08 08:05:11,=,
2026-05-08 08:05:41,=,
2026-05-08 08:06:11,=,
2026-05-08 08:06:41,=,
2026-05-08 08:07:11,=,
2026-05-08 08:07:41,=,
2026-05-08 08:08:11,=,
2026-05-08 08:08:41,=,
2026-05-08 08:09:11,=,
2026-05-08 08:09:41,=,
2026-05-08 08:10:11,=,
2026-05-08 08:10:41,=,
2026-05-08 08:11:11,=,
2026-05-08 08:11:41,=,
2026-05-08 08:12:11,=,
2026-05-08 08:12:41,=,
2026-05-08 08:13:11,=,
2026-05-08 08:13:41,=,
2026-05-08 08:14:11,=,
2026-05-08 08:14:41,=,
2026-05-08 08:15:11,=,
2026-05-08 08:15:41,=,
2026-05-08 08:16:11,=,
2026-05-08 08:16:41,=,
2026-05-08 08:17:11,=,
2026-05-08 08:17:41,=,
2026-05-08 08:18:11,=,
2026-05-08 08:18:41,=,
2026-05-08 08:19:11,=,
2026-05-08 08:19:41,=,
2026-05-08 08:20:11,=,
2026-05-08 08:20:41,=,
2026-05-08 08:21:11,=,
2026-05-08 08:21:41,=,
2026-05-08 08:22:11,=,
2026-05-08 08:22:41,=,
2026-05-08 08:23:11,=,
2026-05-08 08:23:41,=,
2026-05-08 08:24:11,=,
2026-05-08 08:24:41,=,
2026-05-08 08:25:11,=,
2026-05-08 08:25:41,=,
2026-05-08 08:26:11,=,
2026-05-08 08:26:41,=,
2026-05-08 08:27:11,=,
2026-05-08 08:27:41,=,
2026-05-08 08:28:11,=,
2026-05-08 08:28:41,=,
2026-05-08 08:29:11,=,
2026-05-08 08:29:41,=,
2026-05-08 08:30:11,=,
2026-05-08 08:30:41,=,
2026-05-08 08:31:11,=,
2026-05-08 08:31:41,=,
2026-05-08 08:32:11,=,
2026-05-08 08:32:41,=,
2026-05-08 08:33:11,=,
2026-05-08 08:33:41,=,
2026-05-08 08:34:11,=,
2026-05-08 08:34:41,=,
2026-05-08 08:35:11,=,
2026-05-08 08:35:41,=,
2026-05-08 08:36:11,=,
2026-05-08 08:36:41,=,
2026-05-08 08:37:11,=,
2026-05-08 08:37:41,=,
2026-05-08 08:38:11,=,
2026-05-08 08:38:41,=,
2026-05-08 08:39:11,=,
2026-05-08 08:39:41,=,
2026-05-08 08:40:11,=,
2026-05-08 08:40:41,=,
2026-05-08 08:41:11,=,
2026-05-08 08:41:41,=,
2026-05-08 08:42:11,=,
