probe_id,round,order_in_round,timestamp_start_utc,timestamp_end_utc,node_id,provider,region,bucket,operation,elapsed_sec,status,verified_size_bytes,object_uri,error_type,error_message
r001-gcp_us_east1-metadata,1,1,2026-06-24T13:15:39.961+00:00,2026-06-24T13:15:43.259+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,object_metadata,3.277862599992659,success,1048576,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_001mib.bin,,
r001-aliyun_cn_beijing-metadata,1,2,2026-06-24T13:15:43.772+00:00,2026-06-24T13:15:44.161+00:00,aliyun_cn_beijing,aliyun,cn-beijing,skyflow-prototype-aliyun-cn-beijing,object_metadata,0.35953640000661835,success,1048576,oss://skyflow-prototype-aliyun-cn-beijing/network_measurement/reference/payload_001mib.bin,,
r001-gcp_europe_west1-metadata,1,3,2026-06-24T13:15:44.673+00:00,2026-06-24T13:15:48.015+00:00,gcp_europe_west1,gcp,europe-west1,skyflow-prototype-gcp-europe-west1,object_metadata,3.32099640002707,success,1048576,gs://skyflow-prototype-gcp-europe-west1/network_measurement/reference/payload_001mib.bin,,
r001-gcp_us_west1-metadata,1,4,2026-06-24T13:15:48.516+00:00,2026-06-24T13:15:51.731+00:00,gcp_us_west1,gcp,us-west1,skyflow-prototype-gcp-us-west1,object_metadata,3.1862983999890275,success,1048576,gs://skyflow-prototype-gcp-us-west1/network_measurement/reference/payload_001mib.bin,,
r001-aws_us_east_2-metadata,1,5,2026-06-24T13:15:52.246+00:00,2026-06-24T13:15:59.872+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,object_metadata,7.602468300028704,success,1048576,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_001mib.bin,,
r001-aws_ap_southeast_1-metadata,1,6,2026-06-24T13:16:00.382+00:00,2026-06-24T13:16:08.307+00:00,aws_ap_southeast_1,aws,ap-southeast-1,skyflow-prototype-aws-ap-southeast-1,object_metadata,7.904187000007369,success,1048576,s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,
r001-aws_eu_central_1-metadata,1,7,2026-06-24T13:16:08.816+00:00,2026-06-24T13:16:16.216+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,object_metadata,7.378212000010535,success,1048576,s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_001mib.bin,,
r001-aliyun_cn_shanghai-metadata,1,8,2026-06-24T13:16:16.716+00:00,2026-06-24T13:16:16.961+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,object_metadata,0.21307979995617643,success,1048576,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_001mib.bin,,
r001-aliyun_ap_southeast_1-metadata,1,9,2026-06-24T13:16:17.463+00:00,2026-06-24T13:16:18.760+00:00,aliyun_ap_southeast_1,aliyun,ap-southeast-1,skyflow-prototype-aliyun-ap-southeast-1,object_metadata,1.2663314000237733,success,1048576,oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,
r001-aws_us_west_2-metadata,1,10,2026-06-24T13:16:19.273+00:00,2026-06-24T13:16:26.205+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,object_metadata,6.909167999983765,success,1048576,s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_001mib.bin,,
