trial_id,round,order_in_round,timestamp_start_utc,timestamp_end_utc,node_id,provider,region,bucket,direction,size_mib,size_bytes,elapsed_sec,throughput_mib_per_sec,throughput_mbps,status,verified_size_bytes,object_uri,error_type,error_message,cleanup_error
r001-aws_ap_southeast_1-download-005mib,1,1,2026-06-24T13:16:37.529+00:00,2026-06-24T13:16:52.741+00:00,aws_ap_southeast_1,aws,ap-southeast-1,skyflow-prototype-aws-ap-southeast-1,download,5,5242880,15.185022599995136,0.329271818140172,2.762132207825192,success,5242880,s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/reference/payload_005mib.bin,,,
r001-gcp_europe_west1-upload-001mib,1,2,2026-06-24T13:16:53.248+00:00,2026-06-24T13:17:36.371+00:00,gcp_europe_west1,gcp,europe-west1,skyflow-prototype-gcp-europe-west1,upload,1,1048576,19.422261100029573,0.051487311124577426,0.43190686999811917,success,1048576,gs://skyflow-prototype-gcp-europe-west1/network_measurement/runs/20260624_211539/r001-gcp_europe_west1-upload-001mib.bin,,,
r001-aliyun_cn_shanghai-upload-005mib,1,3,2026-06-24T13:17:36.904+00:00,2026-06-24T13:17:37.796+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,upload,5,5242880,0.4374330000136979,11.430321900367437,95.88448973599749,success,5242880,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/runs/20260624_211539/r001-aliyun_cn_shanghai-upload-005mib.bin,,,
r001-aws_us_east_2-upload-010mib,1,4,2026-06-24T13:17:38.298+00:00,2026-06-24T13:18:09.394+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,upload,10,10485760,16.0624052999774,0.622571763894793,5.222510479181971,success,10485760,s3://skyflow-prototype-aws-us-east-2/network_measurement/runs/20260624_211539/r001-aws_us_east_2-upload-010mib.bin,,,
r001-aws_eu_central_1-upload-010mib,1,5,2026-06-24T13:18:09.898+00:00,2026-06-24T13:18:42.891+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,upload,10,10485760,17.151723299990408,0.5830317936627156,4.890825168573406,success,10485760,s3://skyflow-prototype-aws-eu-central-1/network_measurement/runs/20260624_211539/r001-aws_eu_central_1-upload-010mib.bin,,,
r001-gcp_asia_east1-upload-001mib,1,6,2026-06-24T13:18:43.398+00:00,2026-06-24T13:19:27.359+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,upload,1,1048576,20.839590599993244,0.0479855875863667,0.4025322839116964,success,1048576,gs://skyflow-prototype-gcp-asia-east1/network_measurement/runs/20260624_211539/r001-gcp_asia_east1-upload-001mib.bin,,,
r001-aliyun_cn_beijing-download-010mib,1,7,2026-06-24T13:19:27.868+00:00,2026-06-24T13:19:28.599+00:00,aliyun_cn_beijing,aliyun,cn-beijing,skyflow-prototype-aliyun-cn-beijing,download,10,10485760,0.6985008000046946,14.316375872343725,120.09446517374957,success,10485760,oss://skyflow-prototype-aliyun-cn-beijing/network_measurement/reference/payload_010mib.bin,,,
r001-aws_us_east_2-download-001mib,1,8,2026-06-24T13:19:29.101+00:00,2026-06-24T13:19:43.174+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,download,1,1048576,14.051436700043269,0.07116709994479929,0.5969929039337428,success,1048576,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_001mib.bin,,,
r001-aws_eu_central_1-download-005mib,1,9,2026-06-24T13:19:43.680+00:00,2026-06-24T13:19:58.860+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,download,5,5242880,15.15785129996948,0.3298620563727306,2.767083484984739,success,5242880,s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_005mib.bin,,,
r001-aws_ap_southeast_1-download-001mib,1,10,2026-06-24T13:19:59.372+00:00,2026-06-24T13:20:14.196+00:00,aws_ap_southeast_1,aws,ap-southeast-1,skyflow-prototype-aws-ap-southeast-1,download,1,1048576,14.80005879997043,0.06756729912464929,0.566795585975426,success,1048576,s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,,
