"probe_id","round","order_in_round","timestamp_start_utc","timestamp_end_utc","node_id","provider","region","bucket","operation","elapsed_sec","status","verified_size_bytes","object_uri","error_type","error_message"
"r001-gcp_us_east1-metadata","1","1","2026-06-24T15:39:04.409+00:00","2026-06-24T15:39:06.519+00:00","gcp_us_east1","gcp","us-east1","skyflow-prototype-gcp-us-east1","object_metadata","2.089758799993433","success","1048576","gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_001mib.bin","",""
"r001-aliyun_cn_beijing-metadata","1","2","2026-06-24T15:39:07.035+00:00","2026-06-24T15:39:07.417+00:00","aliyun_cn_beijing","aliyun","cn-beijing","skyflow-prototype-aliyun-cn-beijing","object_metadata","0.37988669995684177","success","1048576","oss://skyflow-prototype-aliyun-cn-beijing/network_measurement/reference/payload_001mib.bin","",""
"r001-gcp_europe_west1-metadata","1","3","2026-06-24T15:39:07.933+00:00","2026-06-24T15:39:10.139+00:00","gcp_europe_west1","gcp","europe-west1","skyflow-prototype-gcp-europe-west1","object_metadata","2.1806458000210114","success","1048576","gs://skyflow-prototype-gcp-europe-west1/network_measurement/reference/payload_001mib.bin","",""
"r001-gcp_us_west1-metadata","1","4","2026-06-24T15:39:10.655+00:00","2026-06-24T15:39:13.378+00:00","gcp_us_west1","gcp","us-west1","skyflow-prototype-gcp-us-west1","object_metadata","2.7021291999844834","success","1048576","gs://skyflow-prototype-gcp-us-west1/network_measurement/reference/payload_001mib.bin","",""
"r001-aws_us_east_2-metadata","1","5","2026-06-24T15:39:14.176+00:00","2026-06-24T15:39:16.453+00:00","aws_us_east_2","aws","us-east-2","skyflow-prototype-aws-us-east-2","object_metadata","2.2524785000132397","success","1048576","s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_001mib.bin","",""
"r001-aws_ap_southeast_1-metadata","1","6","2026-06-24T15:39:16.966+00:00","2026-06-24T15:39:18.913+00:00","aws_ap_southeast_1","aws","ap-southeast-1","skyflow-prototype-aws-ap-southeast-1","object_metadata","1.9227380999946035","success","1048576","s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/reference/payload_001mib.bin","",""
"r001-aws_eu_central_1-metadata","1","7","2026-06-24T15:39:20.446+00:00","2026-06-24T15:39:22.214+00:00","aws_eu_central_1","aws","eu-central-1","skyflow-prototype-aws-eu-central-1","object_metadata","1.7451873000245541","success","1048576","s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_001mib.bin","",""
"r001-aliyun_cn_shanghai-metadata","1","8","2026-06-24T15:39:22.720+00:00","2026-06-24T15:39:22.963+00:00","aliyun_cn_shanghai","aliyun","cn-shanghai","skyflow-prototype-aliyun-cn-shanghai","object_metadata","0.23896839999360964","success","1048576","oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_001mib.bin","",""
"r001-aliyun_ap_southeast_1-metadata","1","9","2026-06-24T15:39:23.473+00:00","2026-06-24T15:39:24.753+00:00","aliyun_ap_southeast_1","aliyun","ap-southeast-1","skyflow-prototype-aliyun-ap-southeast-1","object_metadata","1.2783018000191078","success","1048576","oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/reference/payload_001mib.bin","",""
"r001-aws_us_west_2-metadata","1","10","2026-06-24T15:39:25.268+00:00","2026-06-24T15:39:27.153+00:00","aws_us_west_2","aws","us-west-2","skyflow-prototype-aws-us-west-2","object_metadata","1.8617055999930017","success","1048576","s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_001mib.bin","",""
"r001-gcp_asia_east1-metadata","1","11","2026-06-24T15:39:27.668+00:00","2026-06-24T15:39:29.636+00:00","gcp_asia_east1","gcp","asia-east1","skyflow-prototype-gcp-asia-east1","object_metadata","1.9475993000087328","success","1048576","gs://skyflow-prototype-gcp-asia-east1/network_measurement/reference/payload_001mib.bin","",""
"r001-aliyun_us_east_1-metadata","1","12","2026-06-24T15:39:30.212+00:00","2026-06-24T15:39:31.585+00:00","aliyun_us_east_1","aliyun","us-east-1","skyflow-prototype-aliyun-us-east-1","object_metadata","1.3717874999856576","success","1048576","oss://skyflow-prototype-aliyun-us-east-1/network_measurement/reference/payload_001mib.bin","",""
"r002-gcp_europe_west1-metadata","2","1","2026-06-24T16:42:07.160+00:00","2026-06-24T16:42:13.539+00:00","gcp_europe_west1","gcp","europe-west1","skyflow-prototype-gcp-europe-west1","object_metadata","6.353672800003551","success","1048576","gs://skyflow-prototype-gcp-europe-west1/network_measurement/reference/payload_001mib.bin","",""
"r002-aws_us_west_2-metadata","2","2","2026-06-24T16:42:14.052+00:00","2026-06-24T16:42:16.019+00:00","aws_us_west_2","aws","us-west-2","skyflow-prototype-aws-us-west-2","object_metadata","1.9452366000041366","success","1048576","s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_001mib.bin","",""
"r002-aws_us_east_2-metadata","2","3","2026-06-24T16:42:16.545+00:00","2026-06-24T16:42:18.550+00:00","aws_us_east_2","aws","us-east-2","skyflow-prototype-aws-us-east-2","object_metadata","1.978633999999147","success","1048576","s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_001mib.bin","",""
"r002-aws_eu_central_1-metadata","2","4","2026-06-24T16:42:19.052+00:00","2026-06-24T16:42:21.020+00:00","aws_eu_central_1","aws","eu-central-1","skyflow-prototype-aws-eu-central-1","object_metadata","1.9457869000034407","success","1048576","s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_001mib.bin","",""
"r002-aliyun_cn_shanghai-metadata","2","5","2026-06-24T16:42:21.537+00:00","2026-06-24T16:42:21.803+00:00","aliyun_cn_shanghai","aliyun","cn-shanghai","skyflow-prototype-aliyun-cn-shanghai","object_metadata","0.26368319999892265","success","1048576","oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_001mib.bin","",""
