probe_id,round,order_in_round,timestamp_start_utc,timestamp_end_utc,node_id,provider,region,bucket,operation,elapsed_sec,status,verified_size_bytes,object_uri,error_type,error_message
r001-gcp_us_east1-metadata,1,1,2026-06-24T11:25:34.188+00:00,2026-06-24T11:25:37.287+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,object_metadata,3.0798002999508753,success,5242880,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_005mib.bin,,
r001-aliyun_cn_beijing-metadata,1,2,2026-06-24T11:25:37.489+00:00,2026-06-24T11:25:37.901+00:00,aliyun_cn_beijing,aliyun,cn-beijing,skyflow-prototype-aliyun-cn-beijing,object_metadata,0.4106770000071265,success,5242880,oss://skyflow-prototype-aliyun-cn-beijing/network_measurement/reference/payload_005mib.bin,,
r001-gcp_europe_west1-metadata,1,3,2026-06-24T11:25:38.104+00:00,2026-06-24T11:25:42.130+00:00,gcp_europe_west1,gcp,europe-west1,skyflow-prototype-gcp-europe-west1,object_metadata,4.00590019999072,success,5242880,gs://skyflow-prototype-gcp-europe-west1/network_measurement/reference/payload_005mib.bin,,
r001-gcp_us_west1-metadata,1,4,2026-06-24T11:25:42.331+00:00,2026-06-24T11:25:45.398+00:00,gcp_us_west1,gcp,us-west1,skyflow-prototype-gcp-us-west1,object_metadata,3.0475586999673396,success,5242880,gs://skyflow-prototype-gcp-us-west1/network_measurement/reference/payload_005mib.bin,,
r001-aws_us_east_2-metadata,1,5,2026-06-24T11:25:45.599+00:00,2026-06-24T11:25:51.599+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,object_metadata,5.978636900021229,success,5242880,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_005mib.bin,,
r001-aws_ap_southeast_1-metadata,1,6,2026-06-24T11:25:51.800+00:00,2026-06-24T11:25:59.575+00:00,aws_ap_southeast_1,aws,ap-southeast-1,skyflow-prototype-aws-ap-southeast-1,object_metadata,7.753206000023056,success,5242880,s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/reference/payload_005mib.bin,,
r001-aws_eu_central_1-metadata,1,7,2026-06-24T11:25:59.776+00:00,2026-06-24T11:26:07.507+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,object_metadata,7.70507699996233,success,5242880,s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_005mib.bin,,
r001-aliyun_cn_shanghai-metadata,1,8,2026-06-24T11:26:07.708+00:00,2026-06-24T11:26:07.912+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,object_metadata,0.20329719997243956,success,5242880,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_005mib.bin,,
r001-aliyun_ap_southeast_1-metadata,1,9,2026-06-24T11:26:08.114+00:00,2026-06-24T11:26:09.360+00:00,aliyun_ap_southeast_1,aliyun,ap-southeast-1,skyflow-prototype-aliyun-ap-southeast-1,object_metadata,1.2460463999886997,success,5242880,oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/reference/payload_005mib.bin,,
r001-aws_us_west_2-metadata,1,10,2026-06-24T11:26:09.653+00:00,2026-06-24T11:26:16.912+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,object_metadata,7.239118799974676,success,5242880,s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_005mib.bin,,
r001-gcp_asia_east1-metadata,1,11,2026-06-24T11:26:17.113+00:00,2026-06-24T11:26:25.919+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,object_metadata,8.78591979999328,success,5242880,gs://skyflow-prototype-gcp-asia-east1/network_measurement/reference/payload_005mib.bin,,
r001-aliyun_us_east_1-metadata,1,12,2026-06-24T11:26:26.338+00:00,2026-06-24T11:26:27.686+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,object_metadata,1.3475137999630533,success,5242880,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/reference/payload_005mib.bin,,
