trial_id,round,order_in_round,timestamp_start_utc,timestamp_end_utc,node_id,provider,region,bucket,direction,size_mib,size_bytes,elapsed_sec,throughput_mib_per_sec,throughput_mbps,status,verified_size_bytes,object_uri,error_type,error_message,cleanup_error
r001-aws_ap_southeast_1-upload-005mib,1,1,2026-06-24T11:26:27.887+00:00,2026-06-24T11:26:53.092+00:00,aws_ap_southeast_1,aws,ap-southeast-1,skyflow-prototype-aws-ap-southeast-1,upload,5,5242880,9.756078999955207,0.512500975035458,4.299169779190244,success,5242880,s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/runs/20260624_192534/r001-aws_ap_southeast_1-upload-005mib.bin,,,
r001-aws_us_west_2-download-005mib,1,2,2026-06-24T11:26:53.294+00:00,2026-06-24T11:27:08.547+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,download,5,5242880,15.23102409997955,0.32827733494340106,2.753789878124894,success,5242880,s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_005mib.bin,,,
r001-aliyun_ap_southeast_1-upload-005mib,1,3,2026-06-24T11:27:08.750+00:00,2026-06-24T11:27:14.062+00:00,aliyun_ap_southeast_1,aliyun,ap-southeast-1,skyflow-prototype-aliyun-ap-southeast-1,upload,5,5242880,2.8312426999909803,1.766008968434931,14.81435696068501,success,5242880,oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/runs/20260624_192534/r001-aliyun_ap_southeast_1-upload-005mib.bin,,,
r001-aliyun_us_east_1-upload-005mib,1,4,2026-06-24T11:27:14.264+00:00,2026-06-24T11:27:20.071+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,upload,5,5242880,3.1052740000304766,1.6101638695815337,13.507033517682611,success,5242880,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/runs/20260624_192534/r001-aliyun_us_east_1-upload-005mib.bin,,,
r001-aliyun_ap_southeast_1-download-005mib,1,5,2026-06-24T11:27:20.272+00:00,2026-06-24T11:27:23.097+00:00,aliyun_ap_southeast_1,aliyun,ap-southeast-1,skyflow-prototype-aliyun-ap-southeast-1,download,5,5242880,2.823250300018117,1.7710084011920286,14.856295242306661,success,5242880,oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/reference/payload_005mib.bin,,,
r001-gcp_asia_east1-download-005mib,1,6,2026-06-24T11:27:23.298+00:00,2026-06-24T11:27:43.220+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,download,5,5242880,19.90091109997593,0.25124477843660376,2.1075939583515217,success,5242880,gs://skyflow-prototype-gcp-asia-east1/network_measurement/reference/payload_005mib.bin,,,
r001-gcp_asia_east1-upload-005mib,1,7,2026-06-24T11:27:43.421+00:00,2026-06-24T11:28:06.535+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,upload,5,5242880,11.1039653000189,0.4502895915922477,3.777302870347462,success,5242880,gs://skyflow-prototype-gcp-asia-east1/network_measurement/runs/20260624_192534/r001-gcp_asia_east1-upload-005mib.bin,,,
r001-gcp_us_west1-upload-005mib,1,8,2026-06-24T11:28:06.737+00:00,2026-06-24T11:28:28.951+00:00,gcp_us_west1,gcp,us-west1,skyflow-prototype-gcp-us-west1,upload,5,5242880,10.052519499964546,0.4973877444373656,4.172390812089241,success,5242880,gs://skyflow-prototype-gcp-us-west1/network_measurement/runs/20260624_192534/r001-gcp_us_west1-upload-005mib.bin,,,
r001-gcp_us_east1-download-005mib,1,9,2026-06-24T11:28:29.152+00:00,2026-06-24T11:28:38.369+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,download,5,5242880,9.196539800032042,0.5436827446756202,4.560741421447865,success,5242880,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_005mib.bin,,,
r001-gcp_us_west1-download-005mib,1,10,2026-06-24T11:28:38.570+00:00,2026-06-24T11:28:52.575+00:00,gcp_us_west1,gcp,us-west1,skyflow-prototype-gcp-us-west1,download,5,5242880,13.982932000013534,0.35757879677846965,2.999588355286245,success,5242880,gs://skyflow-prototype-gcp-us-west1/network_measurement/reference/payload_005mib.bin,,,
