trial_id,round,order_in_round,timestamp_start_utc,timestamp_end_utc,node_id,provider,region,bucket,direction,size_mib,size_bytes,elapsed_sec,throughput_mib_per_sec,throughput_mbps,status,verified_size_bytes,object_uri,error_type,error_message,cleanup_error
r001-gcp_us_east1-download-100mib,1,1,2026-06-24T11:29:17.838+00:00,2026-06-24T11:29:30.924+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,download,100,104857600,13.058950699982233,7.657583085916394,64.23646273518295,success,104857600,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_100mib.bin,,,
r001-aliyun_cn_shanghai-download-040mib,1,2,2026-06-24T11:29:31.127+00:00,2026-06-24T11:29:32.103+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,download,40,41943040,0.9754536999971606,41.006559306829665,343.98795145374584,success,41943040,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_040mib.bin,,,
r001-aliyun_cn_shanghai-download-060mib,1,3,2026-06-24T11:29:32.307+00:00,2026-06-24T11:29:33.395+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,download,60,62914560,1.0856824000366032,55.26478093222947,463.5945834463476,success,62914560,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_060mib.bin,,,
r001-aliyun_cn_shanghai-upload-001mib,1,4,2026-06-24T11:29:33.599+00:00,2026-06-24T11:29:34.284+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,upload,1,1048576,0.29207780002616346,3.4237453168656535,28.720457355021754,success,1048576,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/runs/20260624_192901/r001-aliyun_cn_shanghai-upload-001mib.bin,,,
r001-aws_us_east_2-download-020mib,1,5,2026-06-24T11:29:34.487+00:00,2026-06-24T11:29:50.273+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,download,20,20971520,15.753949799982365,1.2695228976813413,10.649529935672883,success,20971520,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_020mib.bin,,,
r001-aliyun_cn_shanghai-upload-100mib,1,6,2026-06-24T11:29:50.477+00:00,2026-06-24T11:29:52.366+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,upload,100,104857600,1.5399935999885201,64.93533479668062,544.7170689581134,success,104857600,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/runs/20260624_192901/r001-aliyun_cn_shanghai-upload-100mib.bin,,,
r001-gcp_us_east1-upload-010mib,1,7,2026-06-24T11:29:52.570+00:00,2026-06-24T11:30:16.762+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,upload,10,10485760,12.209440499951597,0.819038349876855,6.8705916540837855,success,10485760,gs://skyflow-prototype-gcp-us-east1/network_measurement/runs/20260624_192901/r001-gcp_us_east1-upload-010mib.bin,,,
r001-gcp_us_east1-download-020mib,1,8,2026-06-24T11:30:16.965+00:00,2026-06-24T11:30:37.033+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,download,20,20971520,20.044796100002714,0.9977652005149253,8.369861143161106,success,20971520,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_020mib.bin,,,
r001-aliyun_cn_shanghai-upload-020mib,1,9,2026-06-24T11:30:37.236+00:00,2026-06-24T11:30:38.438+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,upload,20,20971520,0.8308943000156432,24.070450356469483,201.91757242388275,success,20971520,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/runs/20260624_192901/r001-aliyun_cn_shanghai-upload-020mib.bin,,,
r001-aliyun_cn_shanghai-upload-080mib,1,10,2026-06-24T11:30:38.732+00:00,2026-06-24T11:30:41.479+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,upload,80,83886080,2.331568099965807,34.31167204645372,287.8271666222581,success,83886080,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/runs/20260624_192901/r001-aliyun_cn_shanghai-upload-080mib.bin,,,
r001-aws_us_east_2-download-100mib,1,11,2026-06-24T11:30:41.683+00:00,2026-06-24T11:31:05.794+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,download,100,104857600,24.078346299997065,4.153109136071034,34.83880452371857,success,104857600,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_100mib.bin,,,
r001-gcp_us_east1-upload-080mib,1,12,2026-06-24T11:31:05.998+00:00,2026-06-24T11:31:59.824+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,upload,80,83886080,35.359056400018744,2.262503815004452,18.97925760257687,success,83886080,gs://skyflow-prototype-gcp-us-east1/network_measurement/runs/20260624_192901/r001-gcp_us_east1-upload-080mib.bin,,,
r001-gcp_us_east1-upload-005mib,1,13,2026-06-24T11:32:00.026+00:00,2026-06-24T11:32:29.807+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,upload,5,5242880,11.975765500043053,0.41750984519378115,3.5023264274713144,success,5242880,gs://skyflow-prototype-gcp-us-east1/network_measurement/runs/20260624_192901/r001-gcp_us_east1-upload-005mib.bin,,,
r001-aliyun_cn_shanghai-download-100mib,1,14,2026-06-24T11:32:30.010+00:00,2026-06-24T11:32:31.911+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,download,100,104857600,1.8908794000162743,52.88544578736186,443.63527361543004,success,104857600,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_100mib.bin,,,
r001-aliyun_cn_shanghai-download-080mib,1,15,2026-06-24T11:32:32.115+00:00,2026-06-24T11:32:33.349+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,download,80,83886080,1.2323412999976426,64.91708100682257,544.5639450704799,success,83886080,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_080mib.bin,,,
r001-aws_us_east_2-download-010mib,1,16,2026-06-24T11:32:33.552+00:00,2026-06-24T11:32:49.456+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,download,10,10485760,15.880276300013065,0.6297119654014944,5.2824068306627,success,10485760,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_010mib.bin,,,
r001-aliyun_cn_shanghai-upload-010mib,1,17,2026-06-24T11:32:49.660+00:00,2026-06-24T11:32:50.605+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,upload,10,10485760,0.5311937000369653,18.825524473095424,157.91994519920408,success,10485760,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/runs/20260624_192901/r001-aliyun_cn_shanghai-upload-010mib.bin,,,
r001-aws_us_east_2-download-005mib,1,18,2026-06-24T11:32:50.807+00:00,2026-06-24T11:33:06.422+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,download,5,5242880,15.590615900000557,0.32070573940570374,2.690274731224602,success,5242880,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_005mib.bin,,,
r001-aws_us_east_2-upload-100mib,1,19,2026-06-24T11:33:06.624+00:00,2026-06-24T11:33:34.615+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,upload,100,104857600,13.18445120000979,7.584691883111961,63.625007008208065,success,104857600,s3://skyflow-prototype-aws-us-east-2/network_measurement/runs/20260624_192901/r001-aws_us_east_2-upload-100mib.bin,,,
