setting,method,cost,svr
W1-Q1,SkyFlow,1.6868636371831296,6.688
W1-Q1,DPGM,1.6868229267271648,12.484
W1-Q1,MTGP,1.9285028552186587,59.008
W1-Q2,SkyFlow,6.06417035382211,6.714
W1-Q2,DPGM,6.064094529329264,27.57
W1-Q2,MTGP,6.06417035382211,7.058000000000001
W1-Q3,SkyFlow,,
W1-Q3,DPGM,17.29121930944016,16.625999999999998
W1-Q3,MTGP,17.543419308792483,30.978
W2-Q1,SkyFlow,3.39651326978738,6.822
W2-Q1,DPGM,3.3964724169434017,11.83
W2-Q1,MTGP,3.82910860852043,68.34599999999999
W2-Q2,SkyFlow,8.394268987988642,6.734
W2-Q2,DPGM,8.394192720945158,27.49
W2-Q2,MTGP,9.559932236167986,56.686
W2-Q3,SkyFlow,20.83367473352273,7.092
W2-Q3,DPGM,20.83258536577801,14.414
W2-Q3,MTGP,21.05927649528028,29.074
