setting,workflow,quality,method,cost,svr_percent,mean_latency,p95_latency,status,source
W1-Q1,workflow1,Q1,SkyFlow,1.6868636371831296,6.688,3726.764862754155,6912.855297219591,INFEASIBLE,results/caption_tokens_qbr030_main/workflow1_Q1/decomposition/selected_plan.json
W1-Q1,workflow1,Q1,SC,2.3563704049434353,61.388,3918.7785629164287,7267.4136572619545,optimal,results/caption_tokens_qbr030_main/workflow1_Q1/single_cloud/selected_plan.json
W1-Q1,workflow1,Q1,Greedy,1.9493504415414924,92.854,4070.3812463133218,7554.639634867499,optimal,results/caption_tokens_qbr030_main/workflow1_Q1/greedy/selected_plan.json
W1-Q1,workflow1,Q1,DPGM,1.6868229267271648,12.484,3753.651582020671,6961.532634549796,optimal,results/baselines_modified_latest/workflow1_Q1/dpgm/selected_plan.json
W1-Q1,workflow1,Q1,MTGP,1.9285028552186587,59.008,3912.0178818245054,7258.249908360498,optimal,results/baselines_modified_latest/workflow1_Q1/mtgp/selected_plan.json
W1-Q2,workflow1,Q2,SkyFlow,6.06417035382211,6.714,4512.827894818881,8490.272492015703,INFEASIBLE,results/caption_tokens_qbr030_main/workflow1_Q2/decomposition/selected_plan.json
W1-Q2,workflow1,Q2,SC,6.612359813574345,24.912,4680.951597858793,8792.30568751478,optimal,results/caption_tokens_qbr030_main/workflow1_Q2/single_cloud/selected_plan.json
W1-Q2,workflow1,Q2,Greedy,6.323958764530495,56.586000000000006,4893.98189382714,9205.254986543392,optimal,results/caption_tokens_qbr030_main/workflow1_Q2/greedy/selected_plan.json
W1-Q2,workflow1,Q2,DPGM,6.064094529329264,27.57,4667.851693267758,8793.408683456335,optimal,results/baselines_modified_latest/workflow1_Q2/dpgm/selected_plan.json
W1-Q2,workflow1,Q2,MTGP,6.06417035382211,7.058000000000001,4517.3981484061005,8498.612700662603,optimal,results/baselines_modified_latest/workflow1_Q2/mtgp/selected_plan.json
W1-Q3,workflow1,Q3,SkyFlow,,,,,missing,results/caption_tokens_qbr030_main/workflow1_Q3/decomposition/selected_plan.json
W1-Q3,workflow1,Q3,SC,17.765543870918957,12.842,5479.457389242973,10602.496051556793,optimal,results/caption_tokens_qbr030_main/workflow1_Q3/single_cloud/selected_plan.json
W1-Q3,workflow1,Q3,Greedy,17.543419308792483,30.978,5689.481311361104,11026.786727512497,optimal,results/caption_tokens_qbr030_main/workflow1_Q3/greedy/selected_plan.json
W1-Q3,workflow1,Q3,DPGM,17.29121930944016,16.625999999999998,5503.730536609785,10656.247719916119,optimal,results/baselines_modified_latest/workflow1_Q3/dpgm/selected_plan.json
W1-Q3,workflow1,Q3,MTGP,17.543419308792483,30.978,5689.481311361104,11026.786727512497,optimal,results/baselines_modified_latest/workflow1_Q3/mtgp/selected_plan.json
W2-Q1,workflow2,Q1,SkyFlow,3.39651326978738,6.822,3720.9391601563084,6959.171845793202,INFEASIBLE,results/caption_tokens_qbr030_main/workflow2_Q1/decomposition/selected_plan.json
W2-Q1,workflow2,Q1,SC,8.901925527376633,61.434,3912.298566750542,7314.641701557044,optimal,results/caption_tokens_qbr030_main/workflow2_Q1/single_cloud/selected_plan.json
W2-Q1,workflow2,Q1,Greedy,3.652756820337252,93.01,4062.1365867922773,7601.904596665479,optimal,results/caption_tokens_qbr030_main/workflow2_Q1/greedy/selected_plan.json
W2-Q1,workflow2,Q1,DPGM,3.3964724169434017,11.83,3744.8179109219254,7002.068965438232,optimal,results/baselines_modified_latest/workflow2_Q1/dpgm/selected_plan.json
W2-Q1,workflow2,Q1,MTGP,3.82910860852043,68.34599999999999,3933.6492441740384,7352.10127048967,optimal,results/baselines_modified_latest/workflow2_Q1/mtgp/selected_plan.json
W2-Q2,workflow2,Q2,SkyFlow,8.394268987988642,6.734,4509.599573992894,8439.655445459513,INFEASIBLE,results/caption_tokens_qbr030_main/workflow2_Q2/decomposition/selected_plan.json
W2-Q2,workflow2,Q2,SC,14.079033102871236,24.852,4677.083143983447,8763.642584387897,optimal,results/caption_tokens_qbr030_main/workflow2_Q2/single_cloud/selected_plan.json
W2-Q2,workflow2,Q2,Greedy,8.639624975887848,56.686,4890.062629685327,9161.376366639357,optimal,results/caption_tokens_qbr030_main/workflow2_Q2/greedy/selected_plan.json
W2-Q2,workflow2,Q2,DPGM,8.394192720945158,27.49,4664.251995845241,8739.813999371583,optimal,results/baselines_modified_latest/workflow2_Q2/dpgm/selected_plan.json
W2-Q2,workflow2,Q2,MTGP,9.559932236167986,56.686,4890.060934007179,9161.37280760004,optimal,results/baselines_modified_latest/workflow2_Q2/mtgp/selected_plan.json
W2-Q3,workflow2,Q3,SkyFlow,20.83367473352273,7.092,5504.606832852021,10496.988546878123,INFEASIBLE,results/caption_tokens_qbr030_main/workflow2_Q3/decomposition/selected_plan.json
W2-Q3,workflow2,Q3,SC,27.020514051850252,11.044,5576.880743845304,10635.344080121817,optimal,results/caption_tokens_qbr030_main/workflow2_Q3/single_cloud/selected_plan.json
W2-Q3,workflow2,Q3,Greedy,21.061119999339134,29.073999999999998,5789.781253635461,11044.485922968803,optimal,results/caption_tokens_qbr030_main/workflow2_Q3/greedy/selected_plan.json
W2-Q3,workflow2,Q3,DPGM,20.83258536577801,14.414,5596.14049115987,10681.775117728122,optimal,results/baselines_modified_latest/workflow2_Q3/dpgm/selected_plan.json
W2-Q3,workflow2,Q3,MTGP,21.05927649528028,29.073999999999998,5789.781253635461,11044.485922968803,optimal,results/baselines_modified_latest/workflow2_Q3/mtgp/selected_plan.json
