setting,workflow,quality_level,method,cost,SVR (%),mean_latency,p95_latency,status
W1-Q1,workflow1,Q1,SkyFlow,1.6868636371831296,6.688,3726.764862754155,6912.855297219591,INFEASIBLE
W1-Q1,workflow1,Q1,SC,2.3563704049434353,61.388,3918.7785629164287,7267.4136572619545,optimal
W1-Q1,workflow1,Q1,Greedy,1.9493504415414924,92.854,4070.3812463133218,7554.639634867499,optimal
W1-Q1,workflow1,Q1,DPGM,1.6868229267271648,11.774,3750.5945212242223,6955.40135980191,optimal
W1-Q1,workflow1,Q1,MTGP,1.6868669826266824,6.688,3726.76656299948,6912.856997044093,optimal
W1-Q2,workflow1,Q2,SkyFlow,6.06417035382211,6.714,4512.827894818881,8490.272492015703,INFEASIBLE
W1-Q2,workflow1,Q2,SC,6.612359813574345,24.912,4680.951597858793,8792.30568751478,optimal
W1-Q2,workflow1,Q2,Greedy,6.323958764530495,56.586000000000006,4893.98189382714,9205.254986543392,optimal
W1-Q2,workflow1,Q2,DPGM,6.064094529329264,27.57,4667.851693267758,8793.408683456335,optimal
W1-Q2,workflow1,Q2,MTGP,6.06417035382211,6.714,4512.827894818881,8490.272492015703,optimal
W1-Q3,workflow1,Q3,SkyFlow,,,,,missing
W1-Q3,workflow1,Q3,SC,17.765543870918957,12.842,5479.457389242973,10602.496051556793,optimal
W1-Q3,workflow1,Q3,Greedy,17.543419308792483,30.978,5689.481311361104,11026.786727512497,optimal
W1-Q3,workflow1,Q3,DPGM,17.29121930944016,16.244,5498.2150184457,10645.001603718827,optimal
W1-Q3,workflow1,Q3,MTGP,17.291366163196308,8.508000000000001,5409.0345084704795,10464.582744524881,optimal
W2-Q1,workflow2,Q1,SkyFlow,3.39651326978738,6.822,3720.9391601563084,6959.171845793202,INFEASIBLE
W2-Q1,workflow2,Q1,SC,8.901925527376633,61.434,3912.298566750542,7314.641701557044,optimal
W2-Q1,workflow2,Q1,Greedy,3.652756820337252,93.01,4062.1365867922773,7601.904596665479,optimal
W2-Q1,workflow2,Q1,DPGM,3.3964724169434017,12.5,3747.8692772075115,7007.933291568065,optimal
W2-Q1,workflow2,Q1,MTGP,3.573522237726994,13.772,3753.401830089324,7018.910179330239,optimal
W2-Q2,workflow2,Q2,SkyFlow,8.394268987988642,6.734,4509.599573992894,8439.655445459513,INFEASIBLE
W2-Q2,workflow2,Q2,SC,14.079033102871236,24.852,4677.083143983447,8763.642584387897,optimal
W2-Q2,workflow2,Q2,Greedy,8.639624975887848,56.686,4890.062629685327,9161.376366639357,optimal
W2-Q2,workflow2,Q2,DPGM,8.394192720945158,27.516000000000002,4664.462240567528,8740.218690347641,optimal
W2-Q2,workflow2,Q2,MTGP,8.39426954260847,6.732,4509.541521811557,8439.503170929363,optimal
W2-Q3,workflow2,Q3,SkyFlow,20.83367473352273,7.092,5504.606832852021,10496.988546878123,INFEASIBLE
W2-Q3,workflow2,Q3,SC,27.020514051850252,11.044,5576.880743845304,10635.344080121817,optimal
W2-Q3,workflow2,Q3,Greedy,21.061119999339134,29.073999999999998,5789.781253635461,11044.485922968803,optimal
W2-Q3,workflow2,Q3,DPGM,20.83258536577801,14.78,5601.752366726525,10691.973006472315,optimal
W2-Q3,workflow2,Q3,MTGP,20.8327362580659,7.164,5505.356945620234,10497.738633974994,optimal
