setting,setting_key,workflow,quality_level,method,method_key,expected_cost,svr,avg_latency,p95_latency,status,selected_plan
W1-Q1,workflow1_Q1,workflow1,Q1,SkyFlow,decomposition,1.6868636371831296,0.06688,3726.764862754155,6912.855297219591,INFEASIBLE,results/caption_tokens_qbr030_main/workflow1_Q1/decomposition/selected_plan.json
W1-Q1,workflow1_Q1,workflow1,Q1,SC,single_cloud,2.3563704049434353,0.61388,3918.7785629164287,7267.4136572619545,optimal,results/caption_tokens_qbr030_main/workflow1_Q1/single_cloud/selected_plan.json
W1-Q1,workflow1_Q1,workflow1,Q1,Greedy,greedy,1.9493504415414924,0.92854,4070.3812463133218,7554.639634867499,optimal,results/caption_tokens_qbr030_main/workflow1_Q1/greedy/selected_plan.json
W1-Q1,workflow1_Q1,workflow1,Q1,DPGM,dpgm,1.6868229267271648,0.11774,3750.5945212242223,6955.40135980191,optimal,results/caption_tokens_qbr030_main/workflow1_Q1/dpgm/selected_plan.json
W1-Q1,workflow1_Q1,workflow1,Q1,MTGP,mtgp,1.6868669826266824,0.06688,3726.76656299948,6912.856997044093,optimal,results/caption_tokens_qbr030_main/workflow1_Q1/mtgp/selected_plan.json
W1-Q2,workflow1_Q2,workflow1,Q2,SkyFlow,decomposition,6.06417035382211,0.06714,4512.827894818881,8490.272492015703,INFEASIBLE,results/caption_tokens_qbr030_main/workflow1_Q2/decomposition/selected_plan.json
W1-Q2,workflow1_Q2,workflow1,Q2,SC,single_cloud,6.612359813574345,0.24912,4680.951597858793,8792.30568751478,optimal,results/caption_tokens_qbr030_main/workflow1_Q2/single_cloud/selected_plan.json
W1-Q2,workflow1_Q2,workflow1,Q2,Greedy,greedy,6.323958764530495,0.56586,4893.98189382714,9205.254986543392,optimal,results/caption_tokens_qbr030_main/workflow1_Q2/greedy/selected_plan.json
W1-Q2,workflow1_Q2,workflow1,Q2,DPGM,dpgm,6.064094529329264,0.2757,4667.851693267758,8793.408683456335,optimal,results/caption_tokens_qbr030_main/workflow1_Q2/dpgm/selected_plan.json
W1-Q2,workflow1_Q2,workflow1,Q2,MTGP,mtgp,6.06417035382211,0.06714,4512.827894818881,8490.272492015703,optimal,results/caption_tokens_qbr030_main/workflow1_Q2/mtgp/selected_plan.json
W1-Q3,workflow1_Q3,workflow1,Q3,SkyFlow,decomposition,,,,,missing,results/caption_tokens_qbr030_main/workflow1_Q3/decomposition/selected_plan.json
W1-Q3,workflow1_Q3,workflow1,Q3,SC,single_cloud,17.765543870918957,0.12842,5479.457389242973,10602.496051556793,optimal,results/caption_tokens_qbr030_main/workflow1_Q3/single_cloud/selected_plan.json
W1-Q3,workflow1_Q3,workflow1,Q3,Greedy,greedy,17.543419308792483,0.30978,5689.481311361104,11026.786727512497,optimal,results/caption_tokens_qbr030_main/workflow1_Q3/greedy/selected_plan.json
