setting,workflow,quality_level,method,cost,SVR (%),mean_latency,p95_latency,status
W1-Q1,workflow1,Q1,DPGM,1.6868229267271648,11.774,3750.5945212242223,6955.40135980191,optimal
W1-Q1,workflow1,Q1,SkyFlow,1.6868636371831296,6.688,3726.764862754155,6912.855297219591,INFEASIBLE
W1-Q2,workflow1,Q2,DPGM,6.064094529329264,27.57,4667.851693267758,8793.408683456335,optimal
W1-Q2,workflow1,Q2,SkyFlow,6.06417035382211,6.714,4512.827894818881,8490.272492015703,INFEASIBLE
W1-Q2,workflow1,Q2,MTGP,6.06417035382211,6.714,4512.827894818881,8490.272492015703,optimal
W1-Q3,workflow1,Q3,DPGM,17.29121930944016,16.244,5498.2150184457,10645.001603718829,optimal
W1-Q3,workflow1,Q3,MTGP,17.291366163196308,8.508000000000001,5409.0345084704795,10464.58274452488,optimal
W2-Q1,workflow2,Q1,DPGM,3.3964724169434017,12.5,3747.869277207511,7007.933291568065,optimal
W2-Q1,workflow2,Q1,SkyFlow,3.39651326978738,6.822,3720.939160156309,6959.171845793202,INFEASIBLE
W2-Q2,workflow2,Q2,DPGM,8.394192720945158,27.516,4664.462240567528,8740.218690347641,optimal
W2-Q2,workflow2,Q2,SkyFlow,8.394268987988642,6.734,4509.599573992894,8439.655445459513,INFEASIBLE
W2-Q2,workflow2,Q2,MTGP,8.39426954260847,6.732,4509.541521811557,8439.503170929363,optimal
W2-Q3,workflow2,Q3,DPGM,20.83258536577801,14.78,5601.752366726525,10691.973006472315,optimal
W2-Q3,workflow2,Q3,MTGP,20.8327362580659,7.164,5505.356945620234,10497.738633974994,optimal
W2-Q3,workflow2,Q3,SkyFlow,20.83367473352273,7.092,5504.606832852021,10496.988546878125,INFEASIBLE
