setting,workflow,quality_level,method,method_key,expected_cost,violation_rate,status
W1-Q1,workflow1,Q1,SkyFlow,decomposition,1.5019050191637895,0.03386,INFEASIBLE
W1-Q1,workflow1,Q1,Greedy,greedy,1.5018958041288752,0.06408,optimal
W1-Q1,workflow1,Q1,MLS,murakkab_profile,1.5019785928960212,0.05536,optimal
W1-Q1,workflow1,Q1,SC,single_cloud,2.1608859956792115,0.49302,optimal
W1-Q2,workflow1,Q2,SkyFlow,decomposition,5.123126928931126,0.04176,INFEASIBLE
W1-Q2,workflow1,Q2,Greedy,greedy,5.123103801321664,0.06756,optimal
W1-Q2,workflow1,Q2,MLS,murakkab_profile,12.25858428769361,0.08296,optimal
W1-Q2,workflow1,Q2,SC,single_cloud,5.746949436600568,0.06856,optimal
W1-Q3,workflow1,Q3,SkyFlow,decomposition,14.617285882577205,0.06898,INFEASIBLE
W1-Q3,workflow1,Q3,Greedy,greedy,14.617285882577205,0.06892,optimal
W1-Q3,workflow1,Q3,MLS,murakkab_profile,21.47225914809609,0.07306,optimal
W1-Q3,workflow1,Q3,SC,single_cloud,15.199851218888528,0.06718,optimal
W2-Q1,workflow2,Q1,SkyFlow,decomposition,9.965611236526728,0.04238,INFEASIBLE
W2-Q1,workflow2,Q1,Greedy,greedy,9.965640664504958,0.07176,optimal
W2-Q1,workflow2,Q1,MLS,murakkab_profile,17.119989519418883,0.0821,optimal
W2-Q1,workflow2,Q1,SC,single_cloud,15.822652573767018,0.0656,optimal
W2-Q2,workflow2,Q2,SkyFlow,decomposition,33.00640049476524,0.06586,INFEASIBLE
W2-Q2,workflow2,Q2,Greedy,greedy,33.00644540541315,0.1045,optimal
W2-Q2,workflow2,Q2,MLS,murakkab_profile,39.985121446162935,0.0688,optimal
W2-Q2,workflow2,Q2,SC,single_cloud,39.022031590133345,0.0686,optimal
W2-Q3,workflow2,Q3,SkyFlow,decomposition,78.27731706621303,0.06538,INFEASIBLE
W2-Q3,workflow2,Q3,Greedy,greedy,78.2774553402821,0.07372,optimal
W2-Q3,workflow2,Q3,MLS,murakkab_profile,85.34568861832865,0.07456,optimal
W2-Q3,workflow2,Q3,SC,single_cloud,84.6332869077868,0.0661,optimal
