setting,workflow,quality_level,method,method_key,expected_cost,avg_latency,p95_latency,violation_rate,status
W1-Q1,workflow1,Q1,SkyFlow,decomposition,1.8014148806196806,4897.577195567062,9801.735255076623,0.06354,INFEASIBLE
W1-Q1,workflow1,Q1,Greedy,greedy,1.8014148806196806,4897.577195567062,9801.735255076623,0.06354,optimal
W1-Q1,workflow1,Q1,MLS,murakkab_profile,2.05755096977605,4913.595059285024,9538.441942857082,0.04422,optimal
W1-Q1,workflow1,Q1,SC,single_cloud,2.391486378414006,4893.405769887624,9508.600839352901,0.04262,optimal
W1-Q2,workflow1,Q2,SkyFlow,decomposition,6.97984589383861,9469.155613166135,23434.71783546181,0.0408,INFEASIBLE
W1-Q2,workflow1,Q2,Greedy,greedy,6.979769689929581,10599.24323736614,26848.9724950125,0.06614,optimal
W1-Q2,workflow1,Q2,MLS,murakkab_profile,7.223843921448322,9659.776646018314,23723.34250563945,0.04244,optimal
W1-Q2,workflow1,Q2,SC,single_cloud,7.5279973349566385,9632.67156400811,23639.77305458716,0.04198,optimal
W1-Q3,workflow1,Q3,SkyFlow,decomposition,20.295869122608355,14777.583273867096,39294.57128313082,0.0544,INFEASIBLE
W1-Q3,workflow1,Q3,Greedy,greedy,20.295721633246075,15643.207090277812,41877.34559390107,0.0669,optimal
W1-Q3,workflow1,Q3,MLS,murakkab_profile,20.517360902742244,14880.648056012431,39475.511862366664,0.05504,optimal
W1-Q3,workflow1,Q3,SC,single_cloud,20.770050700476464,14848.008926145709,39394.318624675776,0.05472,optimal
W2-Q1,workflow2,Q1,SkyFlow,decomposition,3.4000636189441433,4617.901110716445,9086.088988163498,0.03332,INFEASIBLE
W2-Q1,workflow2,Q1,Greedy,greedy,3.400031381583923,4892.316120310341,9851.112569112971,0.06478,optimal
W2-Q1,workflow2,Q1,MLS,murakkab_profile,3.6674070611840928,4905.662447150533,9612.137294879838,0.04592,optimal
W2-Q1,workflow2,Q1,SC,single_cloud,8.777811285739618,4886.77927451112,9600.09503454301,0.04434,optimal
W2-Q2,workflow2,Q2,SkyFlow,decomposition,8.431467589484106,9419.567378767513,22690.32805513888,0.03978,INFEASIBLE
W2-Q2,workflow2,Q2,Greedy,greedy,8.431387404525807,10545.648120727235,26008.70310237271,0.06544,optimal
W2-Q2,workflow2,Q2,MLS,murakkab_profile,8.704230801994782,9614.293590482755,23005.290437773296,0.0415,optimal
W2-Q2,workflow2,Q2,SC,single_cloud,14.11601444448088,9586.974346709421,22966.292558944497,0.04118,optimal
W2-Q3,workflow2,Q3,SkyFlow,decomposition,20.95820454237724,14935.820855098935,39353.93770490545,0.05596,INFEASIBLE
W2-Q3,workflow2,Q3,Greedy,greedy,20.958047544133407,15808.976159257247,41950.26119646656,0.06872,optimal
W2-Q3,workflow2,Q3,MLS,murakkab_profile,21.240625004400258,15039.873117521553,39523.77520967692,0.05676,optimal
W2-Q3,workflow2,Q3,SC,single_cloud,27.14591547924911,15007.284370827805,39461.038286906834,0.05638,optimal
