setting,workflow,quality_level,method,method_key,expected_cost,avg_latency,p95_latency,violation_rate,status
W1-Q1,workflow1,Q1,SkyFlow,decomposition,1.8014457212491957,4623.320734651276,9024.669359632491,0.03196,INFEASIBLE
W1-Q1,workflow1,Q1,SC,single_cloud,2.391486378414006,4893.405769887623,9508.6008393529,0.04262,optimal
W1-Q1,workflow1,Q1,Greedy,greedy,1.801414880619681,4897.577195567061,9801.73525507662,0.06354,optimal
W1-Q1,workflow1,Q1,DPGM,dpgm,1.801414880619681,4897.577195567061,9801.73525507662,0.06354,optimal
W1-Q1,workflow1,Q1,MTGP,mtgp,1.8015183671412573,4604.5407779365005,8990.694745324578,0.03148,optimal
W1-Q2,workflow1,Q2,SkyFlow,decomposition,6.97984589383861,9469.155613166135,23434.717835461808,0.0408,INFEASIBLE
W1-Q2,workflow1,Q2,SC,single_cloud,7.5279973349566385,9632.67156400811,23639.77305458716,0.04198,optimal
W1-Q2,workflow1,Q2,Greedy,greedy,6.979769689929581,10599.24323736614,26848.9724950125,0.06614,optimal
W1-Q2,workflow1,Q2,DPGM,dpgm,6.979769689929581,10599.448973499857,26849.29525721886,0.06614,optimal
W1-Q2,workflow1,Q2,MTGP,mtgp,6.97984589383861,9464.582373404457,23428.757041996447,0.04074,optimal
W1-Q3,workflow1,Q3,SkyFlow,decomposition,20.29586912260835,14777.583273867096,39294.57128313082,0.05438,INFEASIBLE
W1-Q3,workflow1,Q3,SC,single_cloud,20.770050700476464,14848.008926145709,39394.318624675776,0.0547,optimal
W1-Q3,workflow1,Q3,Greedy,greedy,20.295721633246075,15643.207090277812,41877.34559390107,0.06686,optimal
W1-Q3,workflow1,Q3,DPGM,dpgm,20.295721633246075,15648.722419127247,41887.185770314936,0.06688,optimal
W1-Q3,workflow1,Q3,MTGP,mtgp,20.295869122608355,14777.583273867096,39294.57128313082,0.05438,optimal
W2-Q1,workflow2,Q1,SkyFlow,decomposition,3.4000641949257737,4617.901110716444,9086.088988163498,0.03128,INFEASIBLE
W2-Q1,workflow2,Q1,SC,single_cloud,8.777811285739618,4886.779274511119,9600.095034543006,0.04434,optimal
W2-Q1,workflow2,Q1,Greedy,greedy,3.400031381583923,4892.31612031034,9851.112569112971,0.06478,optimal
W2-Q1,workflow2,Q1,DPGM,dpgm,3.400031383363765,4895.199572475083,9856.361792462432,0.06498,optimal
W2-Q1,workflow2,Q1,MTGP,mtgp,3.4001120982635675,4599.058909597577,9053.721339065069,0.03276,optimal
W2-Q2,workflow2,Q2,SkyFlow,decomposition,8.431467004404224,9419.521123656768,22690.304736931113,0.03978,INFEASIBLE
W2-Q2,workflow2,Q2,SC,single_cloud,14.11601444448088,9586.974346709421,22966.292558944493,0.04118,optimal
W2-Q2,workflow2,Q2,Greedy,greedy,8.431387404525807,10545.648120727234,26008.70310237271,0.06544,optimal
W2-Q2,workflow2,Q2,DPGM,dpgm,8.43138740630431,10545.191618977176,26008.309932157514,0.06544,optimal
W2-Q2,workflow2,Q2,MTGP,mtgp,8.43146757407157,9419.519817554872,22690.30345153986,0.03978,optimal
W2-Q3,workflow2,Q3,SkyFlow,decomposition,20.958204542377235,14935.820855098931,39353.93770490545,0.05546,INFEASIBLE
W2-Q3,workflow2,Q3,SC,single_cloud,27.14591547924911,15007.284370827803,39461.03828690683,0.05596,optimal
W2-Q3,workflow2,Q3,Greedy,greedy,20.958047544133407,15808.976159257245,41950.26119646656,0.06808,optimal
W2-Q3,workflow2,Q3,DPGM,dpgm,20.958047544133407,15814.59902591834,41958.24384822931,0.06812,optimal
W2-Q3,workflow2,Q3,MTGP,mtgp,21.184617286286663,15721.56821312108,41480.77342478333,0.06558,optimal
