setting,workflow,quality_level,method,method_key,expected_cost,avg_latency,p95_latency,violation_rate,status
W1-Q1,workflow1,Q1,SkyFlow,decomposition,1.2274074963099344,604.7388274145027,1497.7322846963689,0.07907,INFEASIBLE
W1-Q1,workflow1,Q1,Greedy,greedy,1.2274074963099344,604.7388274145027,1497.7322846963689,0.07907,optimal
W1-Q1,workflow1,Q1,MLS,murakkab_profile,1.2274910087710251,582.0116421174183,1429.435993365284,0.06784,optimal
W1-Q1,workflow1,Q1,SC,single_cloud,1.8650326860348563,1277.5229727577782,2567.664593288525,0.677,optimal
W1-Q2,workflow1,Q2,SkyFlow,decomposition,2.804015086383562,2278.912970184463,6625.603359305095,0.06686,INFEASIBLE
W1-Q2,workflow1,Q2,Greedy,greedy,2.804015086383562,2278.912970184463,6625.603359305095,0.06686,optimal
W1-Q2,workflow1,Q2,MLS,murakkab_profile,9.872102473457506,2695.5818457875503,7269.187713968496,0.08522,optimal
W1-Q2,workflow1,Q2,SC,single_cloud,3.421952504014482,2812.813874038027,6965.837866780395,0.0732,optimal
W1-Q3,workflow1,Q3,SkyFlow,decomposition,6.98688679185177,3982.5035704788147,11434.006666438238,0.06565,INFEASIBLE
W1-Q3,workflow1,Q3,Greedy,greedy,6.98688679185177,3980.835935866704,11431.83546236117,0.0656,optimal
W1-Q3,workflow1,Q3,MLS,murakkab_profile,13.942220118234852,4325.101306844493,11865.774151505939,0.07186,optimal
W1-Q3,workflow1,Q3,SC,single_cloud,7.577997625428515,4318.684596283116,11574.131128048608,0.06645,optimal
W2-Q1,workflow2,Q1,SkyFlow,decomposition,2.68182618556007,518.518083421046,1251.6087530546313,0.03797,INFEASIBLE
W2-Q1,workflow2,Q1,Greedy,greedy,2.681816500165388,601.2331226475139,1504.9913021770305,0.07431,optimal
W2-Q1,workflow2,Q1,MLS,murakkab_profile,2.7303377179167048,578.6727544802427,1437.0611242987225,0.06315,optimal
W2-Q1,workflow2,Q1,SC,single_cloud,7.883479053908128,1271.2516581998095,2572.7784886419436,0.66513,optimal
W2-Q2,workflow2,Q2,SkyFlow,decomposition,4.387162755955233,2255.6539598423788,6460.481893222515,0.06637,INFEASIBLE
W2-Q2,workflow2,Q2,Greedy,greedy,4.387139314423615,2256.0629004519897,6460.890872240657,0.06646,optimal
W2-Q2,workflow2,Q2,MLS,murakkab_profile,11.415729892285869,2670.5091292958073,7105.40078633372,0.0858,optimal
W2-Q2,workflow2,Q2,SC,single_cloud,9.878278555434074,2788.67248949275,6831.817368513422,0.07357,optimal
W2-Q3,workflow2,Q3,SkyFlow,decomposition,8.630168627813271,4005.7843098577173,11520.56321590004,0.06849,INFEASIBLE
W2-Q3,workflow2,Q3,Greedy,greedy,8.630168610613747,4004.6345294188427,11518.911878239327,0.06848,optimal
W2-Q3,workflow2,Q3,MLS,murakkab_profile,15.656375858400313,4352.883409471916,11955.760844353088,0.07528,optimal
W2-Q3,workflow2,Q3,SC,single_cloud,14.440254715218032,4347.250177188423,11660.04019503845,0.0694,optimal
