setting,workflow,quality_level,method,method_key,expected_cost,avg_latency,p95_latency,violation_rate,status
W1-Q1,workflow1,Q1,SkyFlow,decomposition,1.6868229267271648,3750.5945212242223,6955.40135980191,0.0622,INFEASIBLE
W1-Q1,workflow1,Q1,SC,single_cloud,2.3563704049434353,3918.7785629164287,7267.4136572619545,0.52204,optimal
W1-Q1,workflow1,Q1,Greedy,greedy,1.9493504415414924,4070.3812463133218,7554.639634867499,0.90124,optimal
W1-Q1,workflow1,Q1,DPGM,dpgm,1.6868229267271648,3753.651582020671,6961.532634549796,0.06702,optimal
W1-Q1,workflow1,Q1,MTGP,mtgp,1.9284948414410834,3911.998973043796,7258.198421539227,0.49488,optimal
W1-Q2,workflow1,Q2,SkyFlow,decomposition,6.06417035382211,4512.827894818881,8490.272492015703,0.00846,OPTIMAL
W1-Q2,workflow1,Q2,SC,single_cloud,6.612359813574345,4680.951597858793,8792.30568751478,0.07174,optimal
W1-Q2,workflow1,Q2,Greedy,greedy,6.323958764530495,4893.98189382714,9205.254986543392,0.37556,optimal
W1-Q2,workflow1,Q2,DPGM,dpgm,6.064094529329264,4667.851693267758,8793.408683456335,0.10522,optimal
W1-Q2,workflow1,Q2,MTGP,mtgp,6.326995672667029,4869.580295873686,9159.82602350817,0.34472,optimal
W1-Q3,workflow1,Q3,SkyFlow,decomposition,17.807902731011264,5396.314267870649,10455.72262498446,0.04334,INFEASIBLE
W1-Q3,workflow1,Q3,SC,single_cloud,17.765543870918957,5479.457389242973,10602.496051556793,0.0699,optimal
W1-Q3,workflow1,Q3,Greedy,greedy,17.543419308792483,5689.481311361104,11026.786727512497,0.24764,optimal
W1-Q3,workflow1,Q3,DPGM,dpgm,17.29121930944016,5503.730536609785,10656.247719916119,0.10468,optimal
W1-Q3,workflow1,Q3,MTGP,mtgp,17.543419308792483,5689.481311361104,11026.786727512497,0.24764,optimal
W2-Q1,workflow2,Q1,SkyFlow,decomposition,3.3967006623159977,3720.6574794858243,6958.890174261503,0.0292,OPTIMAL
W2-Q1,workflow2,Q1,SC,single_cloud,8.901925527376633,3912.298566750542,7314.641701557044,0.52256,optimal
W2-Q1,workflow2,Q1,Greedy,greedy,3.652756820337252,4062.1365867922773,7601.904596665479,0.9027,optimal
W2-Q1,workflow2,Q1,DPGM,dpgm,3.3964724169434017,3744.8179109219254,7002.068965438232,0.06326,optimal
W2-Q1,workflow2,Q1,MTGP,mtgp,3.82910860852043,3933.6492441740384,7352.10127048967,0.59096,optimal
W2-Q2,workflow2,Q2,SkyFlow,decomposition,8.394268972562678,4509.540043343962,8439.501709826558,0.00806,OPTIMAL
W2-Q2,workflow2,Q2,SC,single_cloud,14.079033102871236,4677.083143983447,8763.642584387897,0.07282,optimal
W2-Q2,workflow2,Q2,Greedy,greedy,8.639624975887848,4890.062629685327,9161.376366639357,0.37228,optimal
W2-Q2,workflow2,Q2,DPGM,dpgm,8.394192720945158,4664.251995845241,8739.813999371583,0.105,optimal
W2-Q2,workflow2,Q2,MTGP,mtgp,9.559932236167986,4890.060934007179,9161.37280760004,0.37228,optimal
W2-Q3,workflow2,Q3,SkyFlow,decomposition,21.289251977191018,5491.549347060653,10464.322058182817,0.04218,INFEASIBLE
W2-Q3,workflow2,Q3,SC,single_cloud,27.020514051850252,5576.880743845304,10635.344080121817,0.06932,optimal
W2-Q3,workflow2,Q3,Greedy,greedy,21.061119999339134,5789.781253635461,11044.485922968803,0.24472,optimal
W2-Q3,workflow2,Q3,DPGM,dpgm,20.83258536577801,5596.14049115987,10681.775117728122,0.10132,optimal
W2-Q3,workflow2,Q3,MTGP,mtgp,21.05927649528028,5789.781253635461,11044.485922968803,0.24472,optimal
