setting,workflow,quality_level,method,method_key,expected_cost,violation_rate,status
W1-Q1,workflow1,Q1,SkyFlow,decomposition,0.7460937945738436,0.01328,OPTIMAL
W1-Q1,workflow1,Q1,Greedy,greedy,0.7460936166624932,0.01982,optimal
W1-Q1,workflow1,Q1,MLS,murakkab_profile,0.746095015762317,0.01514,optimal
W1-Q1,workflow1,Q1,SC,single_cloud,1.082688402499059,0.39138,optimal
W1-Q2,workflow1,Q2,SkyFlow,decomposition,2.500564958029303,0.08418,INFEASIBLE
W1-Q2,workflow1,Q2,Greedy,greedy,2.5005636172562062,0.12042,optimal
W1-Q2,workflow1,Q2,MLS,murakkab_profile,2.621397521993777,0.11058,optimal
W1-Q2,workflow1,Q2,SC,single_cloud,2.8237296783314307,0.09878,optimal
W1-Q3,workflow1,Q3,SkyFlow,decomposition,7.039372338256765,0.09256,INFEASIBLE
W1-Q3,workflow1,Q3,Greedy,greedy,7.039371569364691,0.10782,optimal
W1-Q3,workflow1,Q3,MLS,murakkab_profile,7.155657414436257,0.1078,optimal
W1-Q3,workflow1,Q3,SC,single_cloud,7.349958361613006,0.09494,optimal
W2-Q1,workflow2,Q1,SkyFlow,decomposition,2.092371770563609,0.04012,INFEASIBLE
W2-Q1,workflow2,Q1,Greedy,greedy,2.0923715899949014,0.066,optimal
W2-Q1,workflow2,Q1,MLS,murakkab_profile,2.0931929689794275,0.06006,optimal
W2-Q1,workflow2,Q1,SC,single_cloud,7.231303778184079,0.14786,optimal
W2-Q2,workflow2,Q2,SkyFlow,decomposition,3.8366766164592794,0.1086,INFEASIBLE
W2-Q2,workflow2,Q2,Greedy,greedy,3.836676308995939,0.11032,optimal
W2-Q2,workflow2,Q2,MLS,murakkab_profile,3.954988954649839,0.10052,optimal
W2-Q2,workflow2,Q2,SC,single_cloud,8.964569378172115,0.0735,optimal
W2-Q3,workflow2,Q3,SkyFlow,decomposition,8.683501404879797,0.10516,INFEASIBLE
W2-Q3,workflow2,Q3,Greedy,greedy,8.683499830374634,0.10766,optimal
W2-Q3,workflow2,Q3,MLS,murakkab_profile,8.803278953731684,0.10764,optimal
W2-Q3,workflow2,Q3,SC,single_cloud,13.824291701847583,0.09114,optimal
