eta,method,cost,svr,mean_latency,p95_latency,optimal_count,setting_count
0.075,decomposition,9.765942271317474,0.028936666666666666,4562.530690916359,8625.337644092708,4,6
0.075,dpgm,9.610897878193859,0.09108333333333334,4655.074034970875,8805.807853410031,0,6
0.075,greedy,9.861705051738118,0.5073566666666667,4899.304153602438,9265.741372532839,0,6
0.075,mtgp,10.041204527144883,0.38253333333333334,4847.42533534921,9167.1285289364,0,6
0.075,single_cloud,12.789291128589143,0.22139666666666669,4707.575000766248,8895.973960400048,0,6
0.1,decomposition,9.610983015042661,0.02803,4565.944415607825,8630.727757839622,6,6
0.1,dpgm,9.610897878193859,0.09108333333333334,4655.074034970875,8805.807853410031,0,6
0.1,greedy,9.861705051738118,0.5073566666666667,4899.304153602438,9265.741372532839,0,6
0.1,mtgp,10.041204527144883,0.38253333333333334,4847.42533534921,9167.1285289364,0,6
0.1,single_cloud,12.789291128589143,0.22139666666666669,4707.575000766248,8895.973960400048,0,6
0.125,decomposition,9.610983015092712,0.02803,4565.944879738611,8630.728216076423,6,6
0.125,dpgm,9.610897878193859,0.09108333333333334,4655.074034970875,8805.807853410031,0,6
0.125,greedy,9.861705051738118,0.5073566666666667,4899.304153602438,9265.741372532839,0,6
0.125,mtgp,10.041204527144883,0.38253333333333334,4847.42533534921,9167.1285289364,0,6
0.125,single_cloud,12.789291128589143,0.22139666666666669,4707.575000766248,8895.973960400048,0,6
0.15,decomposition,9.610972951567765,0.03725666666666667,4572.770760099247,8642.987377089192,6,6
0.15,dpgm,9.610897878193859,0.09108333333333334,4655.074034970875,8805.807853410031,0,6
0.15,greedy,9.861705051738118,0.5073566666666667,4899.304153602438,9265.741372532839,0,6
0.15,mtgp,10.041204527144883,0.38253333333333334,4847.42533534921,9167.1285289364,0,6
0.15,single_cloud,12.789291128589143,0.22139666666666669,4707.575000766248,8895.973960400048,0,6
