eta,eta_label,workflow,quality,setting,source_dir,has_result,expected_cost,violation_rate,svr_pct,status,objective_value,cvar_value
0.025,0.025,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p025\workflow1_Q1\decomposition,True,1.6868536266265324,0.03546,3.546,INFEASIBLE,inf,25.84357740718915
0.0375,0.0375,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow1_Q1\decomposition,True,1.6868536266265324,0.03546,3.546,INFEASIBLE,inf,18.252061580272994
0.05,0.05,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow1_Q1\decomposition,True,1.6868229267271648,0.0622,6.22,INFEASIBLE,inf,33.41287228216407
0.0625,0.0625,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow1_Q1\decomposition,True,1.6868636371831296,0.03012,3.012,OPTIMAL,1.6905091669893624,8.392658346362103
0.075,0.075,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow1_Q1\decomposition,True,1.6868536266265322,0.03546,3.546,OPTIMAL,1.690535997200854,9.126030790136557
0.0875,0.0875,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow1_Q1\decomposition,True,1.6868536266265324,0.03546,3.546,OPTIMAL,1.6905234272731195,7.822312105831283
0.1,0.10,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow1_Q1\decomposition,True,1.6868536266265322,0.03546,3.546,OPTIMAL,1.690569483361932,6.844523092602418
0.025,0.025,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p025\workflow1_Q2\decomposition,True,6.064170353822108,0.00846,0.8460000000000001,OPTIMAL,6.06940960145063,5.489004712386391
0.0375,0.0375,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow1_Q2\decomposition,True,6.064170353822108,0.00846,0.8460000000000001,OPTIMAL,6.069620760976859,3.659336474924261
0.05,0.05,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow1_Q2\decomposition,True,6.06417035382211,0.00846,0.8460000000000001,OPTIMAL,6.069624077490182,2.744502356193248
0.0625,0.0625,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow1_Q2\decomposition,True,6.064170353822108,0.00846,0.8460000000000001,OPTIMAL,6.069625928596418,2.1956018849545567
0.075,0.075,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow1_Q2\decomposition,True,6.06417035382211,0.00846,0.8460000000000001,OPTIMAL,6.069627299106628,1.8296682374621653
0.0875,0.0875,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow1_Q2\decomposition,True,6.064170353822108,0.00846,0.8460000000000001,OPTIMAL,6.069628619341543,1.5682870606818262
0.1,0.10,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow1_Q2\decomposition,True,6.06417035382211,0.00846,0.8460000000000001,OPTIMAL,6.069630159628371,1.372251178096624
0.025,0.025,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p025\workflow1_Q3\decomposition,False,,,,,,
0.0375,0.0375,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow1_Q3\decomposition,True,17.291366163196304,0.04092,4.092,INFEASIBLE,inf,63.92978122610097
0.05,0.05,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow1_Q3\decomposition,True,17.807902731011264,0.04334,4.334,INFEASIBLE,inf,43.37133727705795
0.0625,0.0625,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow1_Q3\decomposition,True,17.765543870918957,0.04376,4.376,INFEASIBLE,inf,35.154889491907795
0.075,0.075,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow1_Q3\decomposition,True,17.765543870918957,0.04376,4.376,INFEASIBLE,inf,29.295741243256685
0.0875,0.0875,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow1_Q3\decomposition,True,17.765543870918957,0.04376,4.376,INFEASIBLE,inf,25.11063535136271
0.1,0.10,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow1_Q3\decomposition,True,17.291366163196308,0.04092,4.092,OPTIMAL,17.298651181934275,24.050493196408773
0.025,0.025,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p025\workflow2_Q1\decomposition,True,3.396503854161115,0.03454,3.454,INFEASIBLE,inf,26.57625130935349
0.0375,0.0375,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow2_Q1\decomposition,True,3.396503854161115,0.0509,5.09,INFEASIBLE,inf,31.480653423242735
0.05,0.05,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow2_Q1\decomposition,True,3.3967006623159977,0.0292,2.92,OPTIMAL,3.398938710095382,10.55439523580442
0.0625,0.0625,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow2_Q1\decomposition,True,3.3965032778436206,0.03454,3.454,OPTIMAL,3.3987298721691577,11.146875498900025
0.075,0.075,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow2_Q1\decomposition,True,3.3965032778436206,0.03454,3.454,OPTIMAL,3.3987696464399106,9.28906291575004
0.0875,0.0875,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow2_Q1\decomposition,True,3.3965032778436206,0.03454,3.454,OPTIMAL,3.3987756308888972,7.962053927785732
