eta,eta_label,workflow,quality,setting,source_dir,has_result,expected_cost,violation_rate,svr_pct,status,objective_value,cvar_value,base_cost,base_svr_pct,cost_delta_pct,svr_delta_pp
0.025,0.025,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p025\workflow1_Q1\decomposition,True,1.6868536266265324,0.03546,3.546,INFEASIBLE,inf,25.84357740718915,1.6868229267271648,6.22,0.0018199835253077134,-2.674
0.0375,0.0375,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow1_Q1\decomposition,True,1.6868536266265324,0.03546,3.546,INFEASIBLE,inf,18.252061580272997,1.6868229267271648,6.22,0.0018199835253077134,-2.674
0.05,0.05,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow1_Q1\decomposition,True,1.6868229267271648,0.0622,6.22,INFEASIBLE,inf,33.41287228216407,1.6868229267271648,6.22,0.0,0.0
0.0625,0.0625,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow1_Q1\decomposition,True,1.6868636371831296,0.03012,3.012,OPTIMAL,1.6905091669893624,8.392658346362103,1.6868229267271648,6.22,0.002413439805667878,-3.2079999999999997
0.075,0.075,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow1_Q1\decomposition,True,1.6868536266265322,0.03546,3.546,OPTIMAL,1.690535997200854,9.126030790136555,1.6868229267271648,6.22,0.0018199835252945499,-2.674
0.0875,0.0875,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow1_Q1\decomposition,True,1.6868536266265324,0.03546,3.546,OPTIMAL,1.6905234272731195,7.822312105831283,1.6868229267271648,6.22,0.0018199835253077134,-2.674
0.1,0.1,workflow1,Q1,workflow1_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow1_Q1\decomposition,True,1.6868536266265322,0.03546,3.546,OPTIMAL,1.690569483361932,6.844523092602418,1.6868229267271648,6.22,0.0018199835252945499,-2.674
0.025,0.025,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p025\workflow1_Q2\decomposition,True,6.064170353822108,0.00846,0.8460000000000001,OPTIMAL,6.06940960145063,5.489004712386391,6.06417035382211,0.8460000000000001,-2.929266059091913e-14,0.0
0.0375,0.0375,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow1_Q2\decomposition,True,6.064170353822108,0.00846,0.8460000000000001,OPTIMAL,6.069620760976859,3.659336474924261,6.06417035382211,0.8460000000000001,-2.929266059091913e-14,0.0
0.05,0.05,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow1_Q2\decomposition,True,6.06417035382211,0.00846,0.8460000000000001,OPTIMAL,6.069624077490182,2.744502356193248,6.06417035382211,0.8460000000000001,0.0,0.0
0.0625,0.0625,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow1_Q2\decomposition,True,6.064170353822108,0.00846,0.8460000000000001,OPTIMAL,6.069625928596418,2.1956018849545567,6.06417035382211,0.8460000000000001,-2.929266059091913e-14,0.0
0.075,0.075,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow1_Q2\decomposition,True,6.06417035382211,0.00846,0.8460000000000001,OPTIMAL,6.069627299106628,1.8296682374621651,6.06417035382211,0.8460000000000001,0.0,0.0
0.0875,0.0875,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow1_Q2\decomposition,True,6.064170353822108,0.00846,0.8460000000000001,OPTIMAL,6.069628619341543,1.5682870606818262,6.06417035382211,0.8460000000000001,-2.929266059091913e-14,0.0
0.1,0.1,workflow1,Q2,workflow1_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow1_Q2\decomposition,True,6.06417035382211,0.00846,0.8460000000000001,OPTIMAL,6.069630159628371,1.372251178096624,6.06417035382211,0.8460000000000001,0.0,0.0
0.0375,0.0375,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow1_Q3\decomposition,True,17.291366163196304,0.04092,4.092,INFEASIBLE,inf,63.92978122610097,17.807902731011264,4.334,-2.90060303909593,-0.242
0.05,0.05,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow1_Q3\decomposition,True,17.807902731011264,0.04334,4.334,INFEASIBLE,inf,43.37133727705795,17.807902731011264,4.334,0.0,0.0
0.0625,0.0625,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow1_Q3\decomposition,True,17.765543870918957,0.04376,4.376,INFEASIBLE,inf,35.154889491907795,17.807902731011264,4.334,-0.23786551809125575,0.0420000000000007
0.075,0.075,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow1_Q3\decomposition,True,17.765543870918957,0.04376,4.376,INFEASIBLE,inf,29.295741243256685,17.807902731011264,4.334,-0.23786551809125575,0.0420000000000007
0.0875,0.0875,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow1_Q3\decomposition,True,17.765543870918957,0.04376,4.376,INFEASIBLE,inf,25.11063535136271,17.807902731011264,4.334,-0.23786551809125575,0.0420000000000007
0.1,0.1,workflow1,Q3,workflow1_Q3,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow1_Q3\decomposition,True,17.291366163196308,0.04092,4.092,OPTIMAL,17.298651181934275,24.050493196408773,17.807902731011264,4.334,-2.90060303909591,-0.242
0.025,0.025,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p025\workflow2_Q1\decomposition,True,3.396503854161115,0.03454,3.454,INFEASIBLE,inf,26.57625130935349,3.3967006623159977,2.92,-0.005794097697977361,0.5340000000000003
0.0375,0.0375,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow2_Q1\decomposition,True,3.396503854161115,0.0509,5.09,INFEASIBLE,inf,31.48065342324273,3.3967006623159977,2.92,-0.005794097697977361,2.17
0.05,0.05,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow2_Q1\decomposition,True,3.3967006623159977,0.0292,2.92,OPTIMAL,3.398938710095382,10.55439523580442,3.3967006623159977,2.92,0.0,0.0
0.0625,0.0625,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow2_Q1\decomposition,True,3.3965032778436206,0.03454,3.454,OPTIMAL,3.3987298721691577,11.146875498900023,3.3967006623159977,2.92,-0.005811064677170137,0.5340000000000003
0.075,0.075,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow2_Q1\decomposition,True,3.3965032778436206,0.03454,3.454,OPTIMAL,3.39876964643991,9.28906291575004,3.3967006623159977,2.92,-0.005811064677170137,0.5340000000000003
0.0875,0.0875,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow2_Q1\decomposition,True,3.3965032778436206,0.03454,3.454,OPTIMAL,3.398775630888897,7.962053927785732,3.3967006623159977,2.92,-0.005811064677170137,0.5340000000000003
0.1,0.1,workflow2,Q1,workflow2_Q1,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow2_Q1\decomposition,True,3.3965032778436206,0.03454,3.454,OPTIMAL,3.398737306275032,6.96679718681253,3.3967006623159977,2.92,-0.005811064677170137,0.5340000000000003
0.025,0.025,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p025\workflow2_Q2\decomposition,True,8.394268972562678,0.00806,0.8059999999999999,OPTIMAL,8.398684652891182,5.035589734909182,8.394268972562678,0.8059999999999999,0.0,0.0
0.0375,0.0375,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0375\workflow2_Q2\decomposition,True,8.394269558034432,0.0081,0.8099999999999999,OPTIMAL,8.398544293983074,3.3693099252044942,8.394268972562678,0.8059999999999999,6.974660408743266e-06,0.0040000000000000036
0.05,0.05,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow2_Q2\decomposition,True,8.394268972562678,0.00806,0.8059999999999999,OPTIMAL,8.398793066683888,2.51779486745464,8.394268972562678,0.8059999999999999,0.0,0.0
0.0625,0.0625,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0625\workflow2_Q2\decomposition,True,8.394268972862978,0.00806,0.8059999999999999,OPTIMAL,8.398655807675455,2.014595326994066,8.394268972562678,0.8059999999999999,3.577443492810686e-09,0.0
0.075,0.075,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p075\workflow2_Q2\decomposition,True,8.394268987988642,0.00848,0.848,OPTIMAL,8.398524440534477,1.8563839602929748,8.394268972562678,0.8059999999999999,1.8376781297081799e-07,0.04200000000000004
0.0875,0.0875,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p0875\workflow2_Q2\decomposition,True,8.394268987988642,0.00848,0.848,OPTIMAL,8.398695718090794,1.591186251679665,8.394268972562678,0.8059999999999999,1.8376781297081799e-07,0.04200000000000004
0.1,0.1,workflow2,Q2,workflow2_Q2,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_eta_minp95_current_qbr030\eta_0p10\workflow2_Q2\decomposition,True,8.394268972562678,0.00806,0.8059999999999999,OPTIMAL,8.398565707867174,1.25889743372732,8.394268972562678,0.8059999999999999,0.0,0.0
