setting,workflow,quality,method,new_cost,new_svr_percent,new_mean_latency,new_p95_latency,new_status,skyflow_cost,skyflow_svr_percent,skyflow_mean_latency,skyflow_p95_latency,skyflow_status,delta_cost_vs_skyflow,delta_svr_pp_vs_skyflow,old_cost,old_svr_percent,delta_cost_vs_old,delta_svr_pp_vs_old
W1-Q1,workflow1,Q1,DPGM,1.6868229267271648,12.484,3753.651582020671,6961.532634549796,optimal,1.6868636371831296,6.688,3726.764862754155,6912.855297219591,INFEASIBLE,-4.07104559647653e-05,5.796000000000001,1.6868229267271648,11.774,0.0,0.7100000000000009
W1-Q1,workflow1,Q1,MTGP,1.9285028552186587,59.008,3912.0178818245054,7258.249908360498,optimal,1.6868636371831296,6.688,3726.764862754155,6912.855297219591,INFEASIBLE,0.24163921803552912,52.32000000000001,1.6868669826266824,6.688,0.24163587259197628,52.32000000000001
W1-Q2,workflow1,Q2,DPGM,6.064094529329264,27.57,4667.851693267758,8793.408683456335,optimal,6.06417035382211,6.714,4512.827894818881,8490.272492015703,INFEASIBLE,-7.582449284626591e-05,20.855999999999998,6.064094529329264,27.57,0.0,0.0
W1-Q2,workflow1,Q2,MTGP,6.06417035382211,7.058000000000001,4517.3981484061005,8498.612700662603,optimal,6.06417035382211,6.714,4512.827894818881,8490.272492015703,INFEASIBLE,0.0,0.34399999999999986,6.06417035382211,6.714,0.0,0.34399999999999986
W1-Q3,workflow1,Q3,DPGM,17.29121930944016,16.625999999999998,5503.730536609785,10656.247719916119,optimal,,,,,,,,17.29121930944016,16.244,0.0,0.381999999999999
W1-Q3,workflow1,Q3,MTGP,17.543419308792483,30.978,5689.481311361104,11026.786727512497,optimal,,,,,,,,17.291366163196308,8.508000000000001,0.2520531455961752,22.470000000000002
W2-Q1,workflow2,Q1,DPGM,3.3964724169434017,11.83,3744.8179109219254,7002.068965438232,optimal,3.39651326978738,6.822,3720.9391601563084,6959.171845793202,INFEASIBLE,-4.0852843978367304e-05,5.008,3.3964724169434017,12.5,0.0,-0.6699999999999997
W2-Q1,workflow2,Q1,MTGP,3.82910860852043,68.34599999999999,3933.6492441740384,7352.10127048967,optimal,3.39651326978738,6.822,3720.9391601563084,6959.171845793202,INFEASIBLE,0.4325953387330497,61.524,3.573522237726994,13.772,0.2555863707934356,54.57399999999999
W2-Q2,workflow2,Q2,DPGM,8.394192720945158,27.49,4664.251995845241,8739.813999371583,optimal,8.394268987988642,6.734,4509.599573992894,8439.655445459513,INFEASIBLE,-7.626704348417945e-05,20.755999999999997,8.394192720945158,27.516000000000002,0.0,-0.026000000000003798
W2-Q2,workflow2,Q2,MTGP,9.559932236167986,56.686,4890.060934007179,9161.37280760004,optimal,8.394268987988642,6.734,4509.599573992894,8439.655445459513,INFEASIBLE,1.165663248179344,49.952000000000005,8.39426954260847,6.732,1.1656626935595167,49.954
W2-Q3,workflow2,Q3,DPGM,20.83258536577801,14.414,5596.14049115987,10681.775117728122,optimal,20.83367473352273,7.092,5504.606832852021,10496.988546878123,INFEASIBLE,-0.001089367744722125,7.321999999999999,20.83258536577801,14.78,0.0,-0.36599999999999966
W2-Q3,workflow2,Q3,MTGP,21.05927649528028,29.073999999999998,5789.781253635461,11044.485922968803,optimal,20.83367473352273,7.092,5504.606832852021,10496.988546878123,INFEASIBLE,0.22560176175754876,21.982000000000003,20.8327362580659,7.164,0.22654023721437966,21.91
