workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p90_max,sla_sec_old,sla_sec_new,p90_greedy,p90_murakkab_profile,p90_single_cloud
workflow1,Q1,workflow1_Q1_q0000,1.0,single_cloud,96.04513505989051,1830.2226709770644,96.04513505989051,54.75531284907808,71.15767589630786,96.04513505989051
workflow1,Q1,workflow1_Q1_q0001,1.0,single_cloud,1724.306596612804,16818.83933006259,1724.306596612804,549.3187120511238,935.2640689101677,1724.306596612804
workflow1,Q1,workflow1_Q1_q0002,1.0,single_cloud,2204.2321272988634,21598.05836812472,2204.2321272988634,650.8657856368069,1156.9684044892201,2204.2321272988634
workflow1,Q1,workflow1_Q1_q0003,1.0,single_cloud,168.8370313098406,2567.9213691769137,168.8370313098406,78.32063314448398,115.06532931939283,168.8370313098406
workflow1,Q1,workflow1_Q1_q0004,1.0,single_cloud,1434.6403899161876,13490.628992033644,1434.6403899161876,528.4589828270472,826.6239508971785,1434.6403899161876
workflow1,Q1,workflow1_Q1_q0005,1.0,single_cloud,2895.1072461644867,28013.54408481578,2895.1072461644867,859.9494427772803,1523.0798545149264,2895.1072461644867
workflow1,Q1,workflow1_Q1_q0006,1.0,single_cloud,2208.315241237148,21431.32754980284,2208.315241237148,676.3103057582346,1174.7344258101705,2208.315241237148
workflow1,Q1,workflow1_Q1_q0007,1.0,single_cloud,849.5143434296234,8680.878032261071,849.5143434296234,298.0352422368788,480.9433426659338,849.5143434296234
workflow1,Q1,workflow1_Q1_q0008,1.0,single_cloud,2786.237105472658,26754.41515084486,2786.237105472658,859.9925004986729,1488.6596639856373,2786.237105472658
workflow1,Q1,workflow1_Q1_q0009,1.0,single_cloud,1209.6961311319765,11923.859282618352,1209.6961311319765,416.34401426923876,681.4329010938737,1209.6961311319765
workflow1,Q1,workflow1_Q1_q0010,1.0,single_cloud,2810.3218433515985,26770.973127554757,2810.3218433515985,891.155129743455,1521.247761906362,2810.3218433515985
workflow1,Q1,workflow1_Q1_q0011,1.0,single_cloud,1036.6089877071358,10481.562357175684,1036.6089877071358,343.88725860861547,571.7815237188438,1036.6089877071358
workflow1,Q1,workflow1_Q1_q0012,1.0,single_cloud,1977.4420391354304,19042.789611448683,1977.4420391354304,617.1678162948414,1054.485164345116,1977.4420391354304
workflow1,Q1,workflow1_Q1_q0013,1.0,single_cloud,1320.563162656572,13360.89307056686,1320.563162656572,401.65153709951636,704.219074425534,1320.563162656572
workflow1,Q1,workflow1_Q1_q0014,1.0,single_cloud,956.8309197488436,9772.90964128538,956.8309197488436,311.18235228031045,519.2557182876591,956.8309197488436
workflow1,Q1,workflow1_Q1_q0015,1.0,single_cloud,2955.1293643626514,27746.834291733863,2955.1293643626514,954.5904733116298,1608.8391300665792,2955.1293643626514
workflow1,Q1,workflow1_Q1_q0016,1.0,single_cloud,682.6636777811398,7209.877562746135,682.6636777811398,237.43462176421968,387.14801775605605,682.6636777811398
workflow1,Q1,workflow1_Q1_q0017,1.0,single_cloud,339.7376912845,4189.934173689191,339.7376912845,113.72187416449796,188.27475834493805,339.7376912845
workflow1,Q1,workflow1_Q1_q0018,1.0,single_cloud,1207.9548228118026,11744.497308348591,1207.9548228118026,420.8861517404618,681.2338409548555,1207.9548228118026
workflow1,Q1,workflow1_Q1_q0019,1.0,single_cloud,2533.197033481868,22783.673436004538,2533.197033481868,935.4667522922048,1457.4826326863245,2533.197033481868
workflow1,Q1,workflow1_Q1_q0020,1.0,single_cloud,2578.8839372164257,25421.95544679511,2578.8839372164257,710.7188081347907,1315.8670126844236,2578.8839372164257
workflow1,Q1,workflow1_Q1_q0021,1.0,single_cloud,3243.572212811048,31043.077699301684,3243.572212811048,971.8365012996031,1714.0641325859704,3243.572212811048
workflow1,Q1,workflow1_Q1_q0022,1.0,single_cloud,986.1019789356893,10405.709959102049,986.1019789356893,284.60213090909957,516.4610917945366,986.1019789356893
workflow1,Q1,workflow1_Q1_q0023,1.0,single_cloud,1353.2604156024145,13684.150408139332,1353.2604156024145,407.5539604061959,718.612316602128,1353.2604156024145
workflow1,Q1,workflow1_Q1_q0024,1.0,single_cloud,524.8743562251913,5718.082791066479,524.8743562251913,197.70957619248756,309.7795528404675,524.8743562251913
workflow1,Q1,workflow1_Q1_q0025,1.0,single_cloud,1900.7325272589908,18588.88703618397,1900.7325272589908,579.1240538970727,1006.4096674554024,1900.7325272589908
workflow1,Q1,workflow1_Q1_q0026,1.0,single_cloud,3292.7270433273497,31008.896654859032,3292.7270433273497,1052.333772788376,1787.7147956755061,3292.7270433273497
workflow1,Q1,workflow1_Q1_q0027,1.0,single_cloud,2304.354131550616,22291.28583936519,2304.354131550616,687.5560019651404,1211.3655251986627,2304.354131550616
workflow1,Q1,workflow1_Q1_q0028,1.0,single_cloud,1978.4327449755945,19186.54367702569,1978.4327449755945,614.3131324875279,1056.220955337743,1978.4327449755945
workflow1,Q1,workflow1_Q1_q0029,1.0,single_cloud,1382.3689938399318,13226.588688228154,1382.3689938399318,477.3055084306044,771.471805728759,1382.3689938399318
workflow1,Q1,workflow1_Q1_q0030,1.0,single_cloud,3028.921776072282,28591.308174710175,3028.921776072282,976.6337538421997,1648.4789529166865,3028.921776072282
workflow1,Q1,workflow1_Q1_q0031,1.0,single_cloud,1680.2717052368298,16298.40342750193,1680.2717052368298,545.7861292827994,918.2438938716547,1680.2717052368298
workflow1,Q1,workflow1_Q1_q0032,1.0,single_cloud,513.4561521461513,5645.968646964373,513.4561521461513,178.1043513066861,287.94674942314685,513.4561521461513
workflow1,Q1,workflow1_Q1_q0033,1.0,single_cloud,1237.4924946963038,12433.55000571694,1237.4924946963038,389.0047086014708,670.5375300274025,1237.4924946963038
workflow1,Q1,workflow1_Q1_q0034,1.0,single_cloud,298.8446717649926,3671.491064085088,298.8446717649926,121.04667434273667,182.3816104415207,298.8446717649926
workflow1,Q1,workflow1_Q1_q0035,1.0,single_cloud,729.8093178690857,7632.54808537178,729.8093178690857,236.4537317339479,394.3495887534521,729.8093178690857
workflow1,Q1,workflow1_Q1_q0036,1.0,single_cloud,132.34386740161435,2217.1441233394203,132.34386740161435,63.27968671775985,88.291373254443,132.34386740161435
workflow1,Q1,workflow1_Q1_q0037,1.0,single_cloud,1585.0841988032053,15016.270506607803,1585.0841988032053,555.8421902472357,889.4847197709606,1585.0841988032053
workflow1,Q1,workflow1_Q1_q0038,1.0,single_cloud,2060.115578918619,20342.062064813705,2060.115578918619,592.6100719186309,1066.2049744083017,2060.115578918619
workflow1,Q1,workflow1_Q1_q0039,1.0,single_cloud,1185.2278093421066,11784.619129617067,1185.2278093421066,394.232811470232,658.1623414064,1185.2278093421066
workflow1,Q1,workflow1_Q1_q0040,1.0,single_cloud,1419.3479866777104,14049.657210368052,1419.3479866777104,437.94357793497176,754.5484045013096,1419.3479866777104
