workflow,quality_level,query_id,budget_factor,baseline_aggregation,budget_baseline,baseline_p95_selected,baseline_p95_min,baseline_p95_max,sla_sec_old,sla_sec_new,p95_single_cloud,p95_greedy,p95_dpgm,p95_mtgp
workflow1,Q1,workflow1_Q1_q0000,1.0,max,greedy,14257.184179950951,12548.03270652702,14257.184179950951,14257.184179950951,14257.184179950951,13059.728038331146,14257.184179950951,14257.184179950951,12548.03270652702
workflow1,Q1,workflow1_Q1_q0001,1.0,max,greedy,5226.84867904676,4704.08690371175,5226.84867904676,5226.84867904676,5226.84867904676,4896.72502885895,5226.84867904676,5226.84867904676,4704.08690371175
workflow1,Q1,workflow1_Q1_q0002,1.0,max,greedy,3751.679983289597,3411.019100133198,3751.679983289597,3751.679983289597,3751.679983289597,3545.7542839034672,3751.679983289597,3751.679983289597,3411.019100133198
workflow1,Q1,workflow1_Q1_q0003,1.0,max,greedy,6238.614646062664,5632.861143788041,6238.614646062664,6238.614646062664,6238.614646062664,5841.406377597545,6238.614646062664,6238.614646062664,5632.861143788041
workflow1,Q1,workflow1_Q1_q0004,1.0,max,greedy,9446.378741592172,8407.161293262248,9446.378741592172,9446.378741592172,9446.378741592172,8730.191294090073,9446.378741592172,9446.378741592172,8407.161293262248
workflow1,Q1,workflow1_Q1_q0005,1.0,max,greedy,14331.803727572978,12693.429345979963,14331.803727572978,14331.803727572978,14331.803727572978,13151.479363150034,14331.803727572978,14331.803727572978,12693.429345979963
workflow1,Q1,workflow1_Q1_q0006,1.0,max,greedy,3720.7816641328536,3382.4038383192556,3720.7816641328536,3720.7816641328536,3720.7816641328536,3529.319120503846,3720.7816641328536,3720.7816641328536,3382.4038383192556
workflow1,Q1,workflow1_Q1_q0007,1.0,max,greedy,13061.455488292218,11581.093577412254,13061.455488292218,13061.455488292218,13061.455488292218,12347.607210129132,13061.455488292218,13061.455488292218,11581.093577412254
workflow1,Q1,workflow1_Q1_q0008,1.0,max,greedy,661.0719223229888,594.2083566359056,661.0719223229888,661.0719223229888,661.0719223229888,594.2083566359056,661.0719223229888,661.0719223229888,596.3560569373335
workflow1,Q1,workflow1_Q1_q0009,1.0,max,greedy,7252.591820539833,6510.476047279239,7252.591820539833,7252.591820539833,7252.591820539833,6958.8157653137905,7252.591820539833,7252.591820539833,6510.476047279239
workflow1,Q1,workflow1_Q1_q0010,1.0,max,greedy,8388.332205033703,7533.7502828351735,8388.332205033703,8388.332205033703,8388.332205033703,7836.985976105384,8388.332205033703,8388.332205033703,7533.7502828351735
workflow1,Q1,workflow1_Q1_q0011,1.0,max,greedy,1918.6724401658335,1701.1380307498305,1918.6724401658335,1918.6724401658337,1918.6724401658335,1722.0619432936592,1918.6724401658335,1918.6724401658335,1701.1380307498305
workflow1,Q1,workflow1_Q1_q0012,1.0,max,greedy,2200.191011300164,1952.8876268633148,2200.191011300164,2200.191011300164,2200.191011300164,2061.0380732390795,2200.191011300164,2200.191011300164,1952.8876268633148
workflow1,Q1,workflow1_Q1_q0013,1.0,max,greedy,5481.081631258759,4925.872030477911,5481.081631258759,5481.081631258759,5481.081631258759,5220.719210670256,5481.081631258759,5481.081631258759,4925.872030477911
workflow1,Q1,workflow1_Q1_q0014,1.0,max,greedy,13732.371416634565,12192.48706990509,13732.371416634565,13732.371416634564,13732.371416634565,12633.15420696937,13732.371416634565,13732.371416634565,12192.48706990509
workflow1,Q1,workflow1_Q1_q0015,1.0,max,greedy,8563.126985183313,7635.090450461597,8563.126985183313,8563.126985183313,8563.126985183313,7884.870298564359,8563.126985183313,8563.126985183313,7635.090450461597
workflow1,Q1,workflow1_Q1_q0016,1.0,max,greedy,12105.220798043993,10892.0296700459,12105.220798043993,12105.220798043993,12105.220798043993,11363.813508849096,12105.220798043993,12105.220798043993,10892.0296700459
workflow1,Q1,workflow1_Q1_q0017,1.0,max,greedy,10086.65217560929,9107.966414003502,10086.65217560929,10086.65217560929,10086.65217560929,9506.61707915861,10086.65217560929,10086.65217560929,9107.966414003502
workflow1,Q1,workflow1_Q1_q0018,1.0,max,greedy,6329.209127886918,5677.051747132047,6329.209127886918,6329.209127886918,6329.209127886918,5947.081937850897,6329.209127886918,6329.209127886918,5677.051747132047
workflow1,Q1,workflow1_Q1_q0019,1.0,max,greedy,11783.983301319671,10403.359853360185,11783.983301319671,11783.983301319671,11783.983301319671,10845.697374992349,11783.983301319671,11783.983301319671,10403.359853360185
workflow1,Q1,workflow1_Q1_q0020,1.0,max,greedy,566.2003249557525,511.9430800051054,566.2003249557525,566.2003249557525,566.2003249557525,526.3342166428858,566.2003249557525,566.2003249557525,511.9430800051054
workflow1,Q1,workflow1_Q1_q0021,1.0,max,single_cloud,1593.5281967416804,1407.4792949955533,1593.5281967416804,1593.5281967416804,1593.5281967416804,1593.5281967416804,1566.0697871093264,1566.0697871093264,1407.4792949955533
workflow1,Q1,workflow1_Q1_q0022,1.0,max,greedy,10885.464362312146,9779.362655619665,10885.464362312146,10885.464362312146,10885.464362312146,10288.180538069033,10885.464362312146,10885.464362312146,9779.362655619665
workflow1,Q1,workflow1_Q1_q0023,1.0,max,greedy,9400.306732993558,8558.68526355478,9400.306732993558,9400.306732993558,9400.306732993558,8892.01034281593,9400.306732993558,9400.306732993558,8558.68526355478
workflow1,Q1,workflow1_Q1_q0024,1.0,max,greedy,3200.2424998702836,2878.820167818352,3200.2424998702836,3200.2424998702836,3200.2424998702836,3009.4725545637716,3200.2424998702836,3200.2424998702836,2878.820167818352
workflow1,Q1,workflow1_Q1_q0025,1.0,max,greedy,6866.034161278477,6199.515903743943,6866.034161278477,6866.034161278477,6866.034161278477,6498.837685056194,6866.034161278477,6866.034161278477,6199.515903743943
workflow1,Q1,workflow1_Q1_q0026,1.0,max,greedy,7911.102656529005,7127.74741307389,7911.102656529005,7911.102656529005,7911.102656529005,7429.774996536684,7911.102656529005,7911.102656529005,7127.74741307389
workflow1,Q1,workflow1_Q1_q0027,1.0,max,greedy,11297.333610706093,10157.436251383697,11297.333610706093,11297.333610706091,11297.333610706093,10631.124742778646,11297.333610706093,11297.333610706093,10157.436251383697
workflow1,Q1,workflow1_Q1_q0028,1.0,max,greedy,8200.146514601704,7323.982828807596,8200.146514601704,8200.146514601704,8200.146514601704,7835.578908329836,8200.146514601704,8200.146514601704,7323.982828807596
workflow1,Q1,workflow1_Q1_q0029,1.0,max,greedy,7191.023767407889,6273.467127626298,7191.023767407889,7191.023767407889,7191.023767407889,6505.7445575648635,7191.023767407889,7191.023767407889,6273.467127626298
workflow1,Q1,workflow1_Q1_q0030,1.0,max,greedy,5227.011373252905,4683.037415535797,5227.011373252905,5227.011373252905,5227.011373252905,4892.577918053095,5227.011373252905,5227.011373252905,4683.037415535797
workflow1,Q1,workflow1_Q1_q0031,1.0,max,greedy,5771.268680968097,5188.14789837416,5771.268680968097,5771.268680968097,5771.268680968097,5361.380539601281,5771.268680968097,5771.268680968097,5188.14789837416
workflow1,Q1,workflow1_Q1_q0032,1.0,max,greedy,9010.293633259984,8029.940996667154,9010.293633259984,9010.293633259984,9010.293633259984,8479.652084851816,9010.293633259984,9010.293633259984,8029.940996667154
workflow1,Q1,workflow1_Q1_q0033,1.0,max,greedy,10808.859526401406,9791.209828139348,10808.859526401406,10808.859526401406,10808.859526401406,10315.305536233103,10808.859526401406,10808.859526401406,9791.209828139348
workflow1,Q1,workflow1_Q1_q0034,1.0,max,greedy,6198.778163348963,5555.174397257091,6198.778163348963,6198.778163348963,6198.778163348963,5795.065062450791,6198.778163348963,6198.778163348963,5555.174397257091
workflow1,Q1,workflow1_Q1_q0035,1.0,max,greedy,3211.471796407337,2900.2613908869275,3211.471796407337,3211.471796407337,3211.471796407337,3033.562056843854,3211.471796407337,3211.471796407337,2900.2613908869275
workflow1,Q1,workflow1_Q1_q0036,1.0,max,greedy,3561.2710284266645,3177.898006616454,3561.2710284266645,3561.2710284266645,3561.2710284266645,3284.8672894018337,3561.2710284266645,3561.2710284266645,3177.898006616454
workflow1,Q1,workflow1_Q1_q0037,1.0,max,greedy,11816.090462773363,10337.954343417448,11816.090462773363,11816.090462773363,11816.090462773363,10713.856338385162,11816.090462773363,11816.090462773363,10337.954343417448
workflow1,Q1,workflow1_Q1_q0038,1.0,max,greedy,10458.646962828903,9433.622851596067,10458.646962828903,10458.646962828903,10458.646962828903,9971.728164400127,10458.646962828903,10458.646962828903,9433.622851596067
workflow1,Q1,workflow1_Q1_q0039,1.0,max,greedy,1509.8293708500057,1369.5972738746802,1509.8293708500057,1509.8293708500055,1509.8293708500057,1453.4085145030913,1509.8293708500057,1509.8293708500057,1369.5972738746802
workflow1,Q1,workflow1_Q1_q0040,1.0,max,greedy,1013.993741481106,931.9989951761423,1013.993741481106,1013.993741481106,1013.993741481106,961.3257026428247,1013.993741481106,1013.993741481106,931.9989951761423
workflow1,Q1,workflow1_Q1_q0041,1.0,max,greedy,6846.782888801319,6268.99247748334,6846.782888801319,6846.782888801319,6846.782888801319,6509.584009655555,6846.782888801319,6846.782888801319,6268.99247748334
workflow1,Q1,workflow1_Q1_q0042,1.0,max,greedy,2212.4761459518218,1979.963927897177,2212.4761459518218,2212.4761459518218,2212.4761459518218,2091.0231237871344,2212.4761459518218,2212.4761459518218,1979.963927897177
workflow1,Q1,workflow1_Q1_q0043,1.0,max,greedy,12365.494753013772,10908.016507336906,12365.494753013772,12365.494753013772,12365.494753013772,11440.226800825087,12365.494753013772,12365.494753013772,10908.016507336906
