workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p95_min,sla_sec_old,sla_sec_new,p95_greedy,p95_murakkab_profile,p95_single_cloud
workflow1,Q1,workflow1_Q1_q0000,1.0,greedy,87.18975935989191,1830.2226709770644,87.18975935989191,87.18975935989191,101.44445175770603,109.409175317876
workflow1,Q1,workflow1_Q1_q0001,1.0,greedy,1035.7523325631532,16818.83933006259,1035.7523325631532,1035.7523325631532,1396.5480798981,1697.1867516475322
workflow1,Q1,workflow1_Q1_q0002,1.0,greedy,1188.631101286224,21598.05836812472,1188.631101286224,1188.631101286224,1660.5553404379377,2078.173049091992
workflow1,Q1,workflow1_Q1_q0003,1.0,greedy,107.10625657292603,2567.9213691769137,107.10625657292603,107.10625657292603,139.94123413926903,178.3068398482214
workflow1,Q1,workflow1_Q1_q0004,1.0,greedy,941.7143743741655,13490.628992033644,941.7143743741655,941.7143743741655,1216.6343920033562,1471.9496922114138
workflow1,Q1,workflow1_Q1_q0005,1.0,greedy,1747.400398374929,28013.54408481578,1747.400398374929,1747.400398374929,2360.996654762187,2907.59411890551
workflow1,Q1,workflow1_Q1_q0006,1.0,greedy,1816.8097834707787,21431.32754980284,1816.8097834707787,1816.8097834707787,2251.1515147238692,2645.4816469954917
workflow1,Q1,workflow1_Q1_q0007,1.0,greedy,668.9697682575545,8680.878032261071,668.9697682575545,668.9697682575545,830.402153072563,993.4781774051925
workflow1,Q1,workflow1_Q1_q0008,1.0,greedy,2221.023473666711,26754.41515084486,2221.023473666711,2221.023473666711,2772.3646314680495,3293.1309047950344
workflow1,Q1,workflow1_Q1_q0009,1.0,greedy,945.9054794821079,11923.859282618352,945.9054794821079,945.9054794821079,1176.3789133464827,1387.4390439219137
workflow1,Q1,workflow1_Q1_q0010,1.0,greedy,2292.5889132847014,26770.973127554757,2292.5889132847014,2292.5889132847014,2842.530469392749,3357.4173946678216
workflow1,Q1,workflow1_Q1_q0011,1.0,greedy,645.1980701380404,10481.562357175684,645.1980701380404,645.1980701380404,859.0601081097093,1038.5043160910416
workflow1,Q1,workflow1_Q1_q0012,1.0,greedy,1700.5668239590957,19042.789611448683,1700.5668239590957,1700.5668239590957,2075.080173951681,2437.6274516653534
