workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p95_min,sla_sec_old,sla_sec_new,p95_greedy,p95_murakkab_profile,p95_single_cloud
workflow1,Q1,workflow1_Q1_q0000,1.0,greedy,76.60963290254787,1830.2226709770644,76.60963290254787,76.60963290254787,91.668670499999,107.13444575847512
workflow1,Q1,workflow1_Q1_q0001,1.0,greedy,1156.948857241303,16818.83933006259,1156.948857241303,1156.948857241303,1511.60621081588,2197.0887122383047
workflow1,Q1,workflow1_Q1_q0002,1.0,greedy,1294.27681722212,21598.05836812472,1294.27681722212,1294.27681722212,1765.370663887407,2705.0429773279398
workflow1,Q1,workflow1_Q1_q0003,1.0,greedy,140.3877837955926,2567.9213691769137,140.3877837955926,140.3877837955926,169.78882431321978,229.76640182241763
workflow1,Q1,workflow1_Q1_q0004,1.0,greedy,965.0982251449516,13490.628992033644,965.0982251449516,965.0982251449516,1239.8087068429195,1773.3695355581049
workflow1,Q1,workflow1_Q1_q0005,1.0,greedy,2430.327109416796,28013.54408481578,2430.327109416796,2430.327109416796,3003.361877529657,4118.824422964539
workflow1,Q1,workflow1_Q1_q0006,1.0,greedy,1973.9177384878528,21431.32754980284,1973.9177384878528,1973.9177384878528,2398.259778862453,3232.3782485783195
workflow1,Q1,workflow1_Q1_q0007,1.0,greedy,619.3064980611097,8680.878032261071,619.3064980611097,619.3064980611097,783.9754014020957,1108.817394760848
workflow1,Q1,workflow1_Q1_q0008,1.0,greedy,1477.738185756834,26754.41515084486,1477.738185756834,1477.738185756834,2073.384237436011,3284.9115727407743
workflow1,Q1,workflow1_Q1_q0009,1.0,greedy,987.3110804598304,11923.859282618352,987.3110804598304,987.3110804598304,1217.318816913793,1652.082190557535
workflow1,Q1,workflow1_Q1_q0010,1.0,greedy,2282.0666672970947,26770.97312755476,2282.0666672970947,2282.0666672970947,2831.7693216424227,3906.48408143594
workflow1,Q1,workflow1_Q1_q0011,1.0,greedy,711.2095545380499,10481.562357175684,711.2095545380499,711.2095545380499,917.7463783056704,1331.4747501578308
workflow1,Q1,workflow1_Q1_q0012,1.0,greedy,1280.668776577077,19042.789611448683,1280.668776577077,1280.668776577077,1684.9489823581514,2479.3707819821734
workflow1,Q1,workflow1_Q1_q0013,1.0,greedy,1219.4925982988857,13360.89307056686,1219.4925982988857,1219.4925982988857,1472.9696841101224,1966.1775227056405
workflow1,Q1,workflow1_Q1_q0014,1.0,greedy,931.2513138982504,9772.90964128538,931.2513138982504,931.2513138982504,1106.683921399421,1451.2247227012692
workflow1,Q1,workflow1_Q1_q0015,1.0,greedy,1929.39433213354,27746.834291733863,1929.39433213354,1929.39433213354,2528.03148186205,3710.3740680393457
workflow1,Q1,workflow1_Q1_q0016,1.0,greedy,563.451459868765,7209.877562746135,563.451459868765,563.451459868765,694.4714430127588,941.5313139949589
workflow1,Q1,workflow1_Q1_q0017,1.0,greedy,313.6198458515412,4189.934173689191,313.6198458515412,313.6198458515412,376.8280579870221,496.4932879350715
workflow1,Q1,workflow1_Q1_q0018,1.0,greedy,1109.139875648784,11744.497308348591,1109.139875648784,1109.139875648784,1325.97843167641,1743.0331531398667
workflow1,Q1,workflow1_Q1_q0019,1.0,greedy,2518.230503576966,22783.673436004538,2518.230503576966,2518.230503576966,2949.3500728075783,3756.9766035602606
workflow1,Q1,workflow1_Q1_q0020,1.0,greedy,1874.845445158516,25421.95544679511,1874.845445158516,1874.845445158516,2410.143345889533,3477.766725083445
workflow1,Q1,workflow1_Q1_q0021,1.0,greedy,2707.8169034248717,31043.077699301684,2707.8169034248717,2707.8169034248717,3343.1579772234472,4588.564879081253
workflow1,Q1,workflow1_Q1_q0022,1.0,greedy,692.3981824019762,10405.709959102049,692.3981824019762,692.3981824019762,898.7029164693095,1310.705606049627
workflow1,Q1,workflow1_Q1_q0023,1.0,greedy,1049.8427683320378,13684.150408139332,1049.8427683320378,1049.8427683320378,1321.4124955631626,1852.031871099114
workflow1,Q1,workflow1_Q1_q0024,1.0,greedy,432.8647084142869,5718.082791066479,432.8647084142869,432.8647084142869,529.1530344367098,706.3346457820838
workflow1,Q1,workflow1_Q1_q0025,1.0,greedy,1648.3581149272015,18588.88703618397,1648.3581149272015,1648.3581149272015,2015.782022711652,2745.2549896488763
workflow1,Q1,workflow1_Q1_q0026,1.0,greedy,3064.308318971971,31008.896654859032,3064.308318971971,3064.308318971971,3683.573662777911,4881.520765046366
workflow1,Q1,workflow1_Q1_q0027,1.0,greedy,1784.7095464992688,22291.28583936519,1784.7095464992688,1784.7095464992688,2241.7076959596657,3143.8243216552514
workflow1,Q1,workflow1_Q1_q0028,1.0,greedy,1177.7784701347396,19186.54367702569,1177.7784701347396,1177.7784701347396,1588.6740569610165,2418.655978357232
workflow1,Q1,workflow1_Q1_q0029,1.0,greedy,1257.548617683256,13226.588688228154,1257.548617683256,1257.548617683256,1504.8828933323296,1985.2324001401523
workflow1,Q1,workflow1_Q1_q0030,1.0,greedy,2300.4824389179907,28591.30817471017,2300.4824389179907,2300.4824389179907,2894.8135661839724,4067.871391838709
workflow1,Q1,workflow1_Q1_q0031,1.0,greedy,1113.712142072236,16298.40342750193,1113.712142072236,1113.712142072236,1452.4457023309144,2111.1629078585274
workflow1,Q1,workflow1_Q1_q0032,1.0,greedy,338.9889308680929,5645.968646964373,338.9889308680929,338.9889308680929,441.6106970229603,633.2740647195968
workflow1,Q1,workflow1_Q1_q0033,1.0,greedy,1026.5704623121562,12433.55000571694,1026.5704623121562,1026.5704623121562,1265.654603841681,1740.8793064911974
workflow1,Q1,workflow1_Q1_q0034,1.0,greedy,235.58080943046383,3671.491064085088,235.58080943046383,235.58080943046383,289.83800390171376,387.9804550574753
workflow1,Q1,workflow1_Q1_q0035,1.0,greedy,457.0345951160315,7632.54808537178,457.0345951160315,457.0345951160315,607.4605638977237,905.6589297374462
workflow1,Q1,workflow1_Q1_q0036,1.0,greedy,106.54223284342116,2217.1441233394203,106.54223284342116,106.54223284342116,127.7919391008467,167.43056606815594
workflow1,Q1,workflow1_Q1_q0037,1.0,greedy,1081.02128160147,15016.270506607803,1081.02128160147,1081.02128160147,1389.0605242260683,1991.831103709619
workflow1,Q1,workflow1_Q1_q0038,1.0,greedy,1189.383216491686,20342.062064813705,1189.383216491686,1189.383216491686,1629.5504524711168,2528.512728020746
workflow1,Q1,workflow1_Q1_q0039,1.0,greedy,967.1558902839392,11784.619129617067,967.1558902839392,967.1558902839392,1193.3740847812935,1636.4333522206557
