workflow,quality_level,query_id,budget_factor,baseline_aggregation,budget_baseline,baseline_p95_selected,baseline_p95_min,baseline_p95_max,sla_sec_old,sla_sec_new,p95_single_cloud,p95_greedy,p95_dpgm,p95_mtgp
workflow1,Q1,workflow1_Q1_q0000,1.0,min,mtgp,7046.77051443279,7046.77051443279,7612.920939938544,8890.214290294987,7046.77051443279,7506.759238912911,7612.920939938544,7101.901633194111,7046.77051443279
workflow1,Q1,workflow1_Q1_q0001,1.0,min,mtgp,3083.5371480411573,3083.5371480411573,3366.3142928509164,4575.081654122667,3083.5371480411573,3352.7675452913622,3366.3142928509164,3109.244582722889,3083.5371480411573
workflow1,Q1,workflow1_Q1_q0002,1.0,min,mtgp,2400.841796406102,2400.841796406102,2587.492499144319,3788.3242484804114,2400.841796406102,2569.094339842052,2587.492499144319,2420.3643627415195,2400.841796406102
workflow1,Q1,workflow1_Q1_q0003,1.0,min,mtgp,3788.1518276856164,3788.1518276856164,4132.017264432103,5316.051297252185,3788.1518276856164,4055.7244282338074,4132.017264432103,3820.59478662552,3788.1518276856164
workflow1,Q1,workflow1_Q1_q0004,1.0,min,mtgp,5071.930905161068,5071.930905161068,5511.648314005586,6735.040420321088,5071.930905161068,5451.516219665581,5511.648314005586,5114.702264258101,5071.930905161068
workflow1,Q1,workflow1_Q1_q0005,1.0,min,mtgp,7192.789247429788,7192.789247429788,7801.295740104836,9118.68455887643,7192.789247429788,7785.9461229187045,7801.295740104836,7248.674135520887,7192.789247429788
workflow1,Q1,workflow1_Q1_q0006,1.0,min,mtgp,2288.438353969734,2288.438353969734,2486.753029616311,3670.245179273692,2288.438353969734,2460.938099685863,2486.753029616311,2305.6694450697005,2288.438353969734
workflow1,Q1,workflow1_Q1_q0007,1.0,min,mtgp,6977.025291139522,6977.025291139522,7601.331676872882,8867.790231458524,6977.025291139522,7511.60482501489,7601.331676872882,7036.479270834069,6977.025291139522
workflow1,Q1,workflow1_Q1_q0008,1.0,min,mtgp,396.24084556380734,396.24084556380734,432.8936322584352,1540.4059788668987,396.24084556380734,399.219805601323,432.8936322584352,398.66623393130754,396.24084556380734
workflow1,Q1,workflow1_Q1_q0009,1.0,min,mtgp,4252.650102638899,4252.650102638899,4653.502209456554,5858.422460625006,4252.650102638899,4602.876497165606,4653.502209456554,4285.134136601411,4252.650102638899
workflow1,Q1,workflow1_Q1_q0010,1.0,min,mtgp,4824.494283754293,4824.494283754293,5281.9643088104,6499.825359307395,4824.494283754293,5215.402573662512,5281.9643088104,4862.170811103406,4824.494283754293
workflow1,Q1,workflow1_Q1_q0011,1.0,min,mtgp,971.185993430977,971.185993430977,1056.0818680946297,2200.2166613386335,971.185993430977,1023.8068872112209,1056.0818680946297,977.6065745844921,971.185993430977
workflow1,Q1,workflow1_Q1_q0012,1.0,min,mtgp,1229.8248760755564,1229.8248760755564,1317.6412200989143,2480.644999294376,1229.8248760755564,1290.3580837881107,1317.6412200989143,1238.6046288773466,1229.8248760755564
workflow1,Q1,workflow1_Q1_q0013,1.0,min,mtgp,3256.2673170268777,3256.2673170268777,3549.8554377200517,4750.428787873346,3256.2673170268777,3505.1357877309583,3549.8554377200517,3280.444651822198,3256.2673170268777
workflow1,Q1,workflow1_Q1_q0014,1.0,min,mtgp,7303.2950209670125,7303.2950209670125,7927.22642760252,9205.060228669789,7303.2950209670125,7814.974711946437,7927.22642760252,7361.8992118294545,7303.2950209670125
workflow1,Q1,workflow1_Q1_q0015,1.0,min,mtgp,4564.153814776896,4564.153814776896,4971.668262854946,6190.978468434265,4564.153814776896,4914.79553694906,4971.668262854946,4601.834132041697,4564.153814776896
workflow1,Q1,workflow1_Q1_q0016,1.0,min,mtgp,7018.136331188265,7018.136331188265,7640.4316066693955,8934.67507026892,7018.136331188265,7639.715361493004,7640.4316066693955,7069.012840667467,7018.136331188265
workflow1,Q1,workflow1_Q1_q0017,1.0,min,mtgp,6094.294486816957,6094.294486816957,6656.287675298976,7887.106574920808,6094.294486816957,6519.559030459741,6656.287675298976,6143.374369061565,6094.294486816957
workflow1,Q1,workflow1_Q1_q0018,1.0,min,mtgp,3636.298688296342,3636.298688296342,3930.2840092415827,5143.420999863183,3636.298688296342,3876.5288476007845,3930.2840092415827,3664.950865839136,3636.298688296342
workflow1,Q1,workflow1_Q1_q0019,1.0,min,mtgp,6014.0554081552455,6014.0554081552455,6460.537485832578,7727.54400381131,6014.0554081552455,6449.677030991114,6460.537485832578,6063.5971700075115,6014.0554081552455
workflow1,Q1,workflow1_Q1_q0020,1.0,min,mtgp,343.05020530291284,343.05020530291284,372.19812087084375,1483.2270951406342,343.05020530291284,344.875985368677,372.19812087084375,345.101486958026,343.05020530291284
workflow1,Q1,workflow1_Q1_q0021,1.0,min,mtgp,998.2522776299535,998.2522776299535,1086.1608105606538,2226.6504216666135,998.2522776299535,1056.6732458664637,1086.1608105606538,1006.228868188359,998.2522776299535
workflow1,Q1,workflow1_Q1_q0022,1.0,min,mtgp,6287.7720868023225,6287.7720868023225,6819.272619614447,8091.207782375239,6287.7720868023225,6798.846456422143,6819.272619614447,6339.57213606714,6287.7720868023225
workflow1,Q1,workflow1_Q1_q0023,1.0,min,mtgp,6092.674610019912,6092.674610019912,6646.734351576132,7825.684733143467,6092.674610019912,6442.013569464903,6646.734351576132,6146.0051096571815,6092.674610019912
workflow1,Q1,workflow1_Q1_q0024,1.0,min,mtgp,1887.232188890874,1887.232188890874,2066.2850128018795,3232.1609210907036,1887.232188890874,2017.1898822728513,2066.2850128018795,1901.2267699545555,1887.232188890874
workflow1,Q1,workflow1_Q1_q0025,1.0,min,mtgp,4072.9554470025346,4072.9554470025346,4416.3513597918045,5659.526006657494,4072.9554470025346,4383.364076760264,4416.3513597918045,4102.310849762694,4072.9554470025346
workflow1,Q1,workflow1_Q1_q0026,1.0,min,mtgp,4609.35687099666,4609.35687099666,5047.033323722556,6272.180812139489,4609.35687099666,4983.126215742235,5047.033323722556,4642.990585913376,4609.35687099666
workflow1,Q1,workflow1_Q1_q0027,1.0,min,mtgp,6547.338800168177,6547.338800168177,7184.602579747132,8403.130561644282,6547.338800168177,7070.358343642473,7184.602579747132,6596.506447901491,6547.338800168177
workflow1,Q1,workflow1_Q1_q0028,1.0,min,mtgp,4611.357318540713,4611.357318540713,5040.497294558416,6248.498475051903,4611.357318540713,4977.829208473956,5040.497294558416,4651.728248776492,4611.357318540713
workflow1,Q1,workflow1_Q1_q0029,1.0,min,mtgp,3195.472027321913,3195.472027321913,3497.1832735182197,4697.157717026306,3195.472027321913,3463.171134492666,3497.1832735182197,3220.8940195160662,3195.472027321913
workflow1,Q1,workflow1_Q1_q0030,1.0,min,mtgp,2942.4292003389373,2942.4292003389373,3173.500467289625,4384.606481421281,2942.4292003389373,3138.46873301317,3173.500467289625,2965.6093496022054,2942.4292003389373
workflow1,Q1,workflow1_Q1_q0031,1.0,min,mtgp,3327.684090519864,3327.684090519864,3595.2058723194605,4805.531947253117,3327.684090519864,3552.245924583965,3595.2058723194605,3356.3574356317813,3327.684090519864
workflow1,Q1,workflow1_Q1_q0032,1.0,min,mtgp,5007.365655264487,5007.365655264487,5445.788938052215,6646.02241027215,5007.365655264487,5334.125660364612,5445.788938052215,5049.089422823175,5007.365655264487
