workflow,quality_level,query_id,budget_factor,baseline_aggregation,budget_baseline,baseline_p95_selected,baseline_p95_min,baseline_p95_max,sla_sec_old,sla_sec_new,p95_single_cloud,p95_greedy,p95_dpgm,p95_mtgp
workflow1,Q1,workflow1_Q1_q0000,1.0,min,dpgm,7101.901633194111,7101.901633194111,7612.920939938544,14257.184179950951,7101.901633194111,7506.759238912911,7612.920939938544,7101.901633194111,7572.1823874031625
workflow1,Q1,workflow1_Q1_q0001,1.0,min,dpgm,3109.244582722889,3109.244582722889,3366.3142928509164,5226.84867904676,3109.244582722889,3352.7675452913622,3366.3142928509164,3109.244582722889,3345.4349034692423
workflow1,Q1,workflow1_Q1_q0002,1.0,min,dpgm,2420.3643627415195,2420.3643627415195,2587.492499144319,3751.679983289597,2420.3643627415195,2569.094339842052,2587.492499144319,2420.3643627415195,2575.2389799121756
workflow1,Q1,workflow1_Q1_q0003,1.0,min,dpgm,3820.59478662552,3820.59478662552,4132.017264432103,6238.614646062664,3820.59478662552,4055.7244282338074,4132.017264432103,3820.59478662552,4108.580578960998
workflow1,Q1,workflow1_Q1_q0004,1.0,min,dpgm,5114.702264258101,5114.702264258101,5511.648314005586,9446.378741592172,5114.702264258101,5451.516219665581,5511.648314005586,5114.702264258101,5479.016047121949
workflow1,Q1,workflow1_Q1_q0005,1.0,min,dpgm,7248.674135520887,7248.674135520887,7801.295740104836,14331.803727572978,7248.674135520887,7785.9461229187045,7801.295740104836,7248.674135520887,7758.413033425958
workflow1,Q1,workflow1_Q1_q0006,1.0,min,dpgm,2305.6694450697005,2305.6694450697005,2486.753029616311,3720.7816641328536,2305.6694450697005,2460.938099685863,2486.753029616311,2305.6694450697005,2474.4356595649288
workflow1,Q1,workflow1_Q1_q0007,1.0,min,dpgm,7036.479270834069,7036.479270834069,7601.331676872882,13061.455488292218,7036.479270834069,7511.60482501489,7601.331676872882,7036.479270834069,7552.506459704591
workflow1,Q1,workflow1_Q1_q0008,1.0,min,dpgm,398.66623393130754,398.66623393130754,432.8936322584352,661.0719223229888,398.66623393130754,399.219805601323,432.8936322584352,398.66623393130754,431.518525031253
workflow1,Q1,workflow1_Q1_q0009,1.0,min,dpgm,4285.134136601411,4285.134136601411,4653.502209456554,7252.591820539833,4285.134136601411,4602.876497165606,4653.502209456554,4285.134136601411,4628.304946082736
