workflow,quality,method,src,dst,src_provider,src_region,dst_provider,dst_region,egress_cost_per_gb,mean_output_mb,network_cost
workflow1,Q1,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,154.26816469625405,0.0
workflow1,Q1,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,154.26816469625405,0.0
workflow1,Q1,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,AWS,us-east-2,0.118,1.0321751631715903,0.000118942059818601
workflow1,Q1,SkyFlow,Video Caption,Q/A,AWS,us-east-2,AWS,ap-southeast-1,0.02,0.001039367106181043,2.0300138792598465e-08
workflow1,Q1,SkyFlow,Q/A,ClientSink,AWS,ap-southeast-1,client,local,0.12,8.245009172883712e-05,9.662120124472998e-09
workflow1,Q1,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,154.26816469625405,0.0
workflow1,Q1,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,154.26816469625405,0.0
workflow1,Q1,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,1.0321751631715903,0.000118942059818601
workflow1,Q1,Greedy,Video Caption,Q/A,Azure,eastus,Azure,eastus,0.0,0.001039367106181043,0.0
workflow1,Q1,Greedy,Q/A,ClientSink,Azure,eastus,client,local,0.087,8.245009172883712e-05,7.005037090242941e-09
workflow1,Q1,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,154.26816469625405,0.0
workflow1,Q1,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,154.26816469625405,0.0
workflow1,Q1,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Anthropic,global,0.12,1.0321751631715903,0.00012095802693417103
workflow1,Q1,Murakkab-style,Video Caption,Q/A,Anthropic,global,Anthropic,global,0.0,0.001039367106181043,0.0
workflow1,Q1,Murakkab-style,Q/A,ClientSink,Anthropic,global,client,local,0.12,8.245009172883712e-05,9.662120124472998e-09
workflow1,Q2,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,154.72581105165378,0.0
workflow1,Q2,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,154.72581105165378,0.0
workflow1,Q2,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,AWS,ap-southeast-1,0.118,2.5850129700876536,0.0002978823539749462
workflow1,Q2,SkyFlow,Video Caption,Q/A,AWS,ap-southeast-1,Anthropic,global,0.12,0.006459914889984557,7.57021276170082e-07
workflow1,Q2,SkyFlow,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.0009757073954551803,1.1434071040490311e-07
workflow1,Q2,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,154.72581105165378,0.0
workflow1,Q2,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,154.72581105165378,0.0
workflow1,Q2,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,westus2,0.118,2.5850129700876536,0.0002978823539749462
workflow1,Q2,Greedy,Video Caption,Q/A,Azure,westus2,Azure,westus2,0.0,0.006459914889984557,0.0
workflow1,Q2,Greedy,Q/A,ClientSink,Azure,westus2,client,local,0.087,0.0009757073954551803,8.289701504355459e-08
workflow1,Q2,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,154.72581105165378,0.0
workflow1,Q2,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,ap-southeast-1,0.8,154.72581105165378,0.12087953988409801
workflow1,Q2,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,ap-southeast-1,AWS,ap-southeast-1,0.1,2.5850129700876536,0.00025244267286012343
workflow1,Q2,Murakkab-style,Video Caption,Q/A,AWS,ap-southeast-1,Anthropic,global,0.12,0.006459914889984557,7.57021276170082e-07
workflow1,Q2,Murakkab-style,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.0009757073954551803,1.1434071040490311e-07
workflow1,Q3,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,148.83899763916193,0.0
workflow1,Q3,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,148.83899763916193,0.0
workflow1,Q3,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,AWS,us-east-2,0.118,4.957299883737027,0.000571251353790008
workflow1,Q3,SkyFlow,Video Caption,Q/A,AWS,us-east-2,AWS,us-east-2,0.0,0.024803257563965703,0.0
workflow1,Q3,SkyFlow,Q/A,ClientSink,AWS,us-east-2,client,local,0.09,0.006221935403704334,5.468497913411967e-07
workflow1,Q3,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,148.83899763916193,0.0
workflow1,Q3,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,148.83899763916193,0.0
workflow1,Q3,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,westus2,0.118,4.957299883737027,0.000571251353790008
workflow1,Q3,Greedy,Video Caption,Q/A,Azure,westus2,Azure,westus2,0.0,0.024803257563965703,0.0
