workflow,quality,method,logical_node,provider,region,endpoint_id,execution_cost,storage_cost,service_cost
workflow1,Q1,SkyFlow,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q1,0.4628044940887786,0.00017375255528940726,0.462978246644068
workflow1,Q1,SkyFlow,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q1,0.016969498116589283,8.745754816302724e-05,0.01705695566475231
workflow1,Q1,SkyFlow,Video Caption,AWS,us-east-2,video_caption_aws_us-east-2_q1,0.26556723166784113,7.735655662886984e-07,0.2655680052334074
workflow1,Q1,SkyFlow,Q/A,AWS,ap-southeast-1,q_a_aws_ap-southeast-1_q1,0.00037161409659525624,9.129371727782153e-10,0.000371615009532429
workflow1,Q1,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q1,0.4628044940887786,0.00017375255528940726,0.462978246644068
workflow1,Q1,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q1,0.016969498116589283,8.745754816302724e-05,0.01705695566475231
workflow1,Q1,Greedy,Video Caption,Azure,eastus,video_caption_azure_eastus_q1,0.26556723166784113,6.18852453030957e-07,0.26556785052029414
workflow1,Q1,Greedy,Q/A,Azure,eastus,q_a_azure_eastus_q1,0.00037161409659525624,6.719217591647582e-10,0.0003716147685170154
workflow1,Q1,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q1,0.4628044940887786,0.00017375255528940726,0.462978246644068
workflow1,Q1,Murakkab-style,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q1,0.016969498116589283,8.745754816302724e-05,0.01705695566475231
workflow1,Q1,Murakkab-style,Video Caption,Anthropic,global,video_caption_anthropic_global_q1,0.26556723166784113,0.0,0.26556723166784113
workflow1,Q1,Murakkab-style,Q/A,Anthropic,global,q_a_anthropic_global_q1,0.00037161409659525624,0.0,0.00037161409659525624
workflow1,Q2,SkyFlow,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.46417743315494925,0.0001742680033329047,0.46435170115828217
workflow1,Q2,SkyFlow,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q2,0.01701983921568188,8.858975441328644e-05,0.017108428970095166
workflow1,Q2,SkyFlow,Video Caption,AWS,ap-southeast-1,video_caption_aws_ap-southeast-1_q2,2.0100960342048584,2.108946032696653e-06,2.0100981431508913
workflow1,Q2,SkyFlow,Q/A,Anthropic,global,q_a_anthropic_global_q2,0.008707931034056036,0.0,0.008707931034056036
workflow1,Q2,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.46417743315494925,0.0001742680033329047,0.46435170115828217
workflow1,Q2,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q2,0.01701983921568188,8.858975441328644e-05,0.017108428970095166
workflow1,Q2,Greedy,Video Caption,Azure,westus2,video_caption_azure_westus2_q2,2.0100960342048584,1.5521842800647113e-06,2.0100975863891386
workflow1,Q2,Greedy,Q/A,Azure,westus2,q_a_azure_westus2_q2,0.008707931034056036,4.453627931383266e-09,0.008707935487683968
workflow1,Q2,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.46417743315494925,0.0001742680033329047,0.46435170115828217
workflow1,Q2,Murakkab-style,Video Split & Sample,Aliyun,ap-southeast-1,video_split_and_sample_aliyun_ap-southeast-1_q2,0.01701983921568188,8.705351589744853e-05,0.017106892731579327
workflow1,Q2,Murakkab-style,Video Caption,AWS,ap-southeast-1,video_caption_aws_ap-southeast-1_q2,2.0100960342048584,2.108946032696653e-06,2.0100981431508913
workflow1,Q2,Murakkab-style,Q/A,Anthropic,global,q_a_anthropic_global_q2,0.008707931034056036,0.0,0.008707931034056036
workflow1,Q3,SkyFlow,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.4465169929175133,0.00016763767312223435,0.4466846305906355
workflow1,Q3,SkyFlow,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q3,0.01637228974030936,8.661054515449915e-05,0.01645890028546386
workflow1,Q3,SkyFlow,Video Caption,AWS,us-east-2,video_caption_aws_us-east-2_q3,6.504084699592822,3.7300902425105314e-06,6.504088429683065
workflow1,Q3,SkyFlow,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q3,0.07156855626558363,2.3228497339075823e-08,0.07156857949408096
