workflow,quality,method,logical_node,endpoint_id,provider,region,model_name
workflow1,Q1,SkyFlow,Shot Detection,shot_detection_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow1,Q1,SkyFlow,Video Split & Sample,video_split_and_sample_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow1,Q1,SkyFlow,Video Caption,video_caption_aws_us-east-2_q1,AWS,us-east-2,Claude Haiku 4.5
workflow1,Q1,SkyFlow,Q/A,q_a_aws_ap-southeast-1_q1,AWS,ap-southeast-1,Claude Haiku 4.5
workflow1,Q1,Greedy,Shot Detection,shot_detection_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow1,Q1,Greedy,Video Split & Sample,video_split_and_sample_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow1,Q1,Greedy,Video Caption,video_caption_azure_eastus_q1,Azure,eastus,Claude Haiku 4.5
workflow1,Q1,Greedy,Q/A,q_a_azure_eastus_q1,Azure,eastus,Claude Haiku 4.5
workflow1,Q1,Murakkab-style,Shot Detection,shot_detection_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow1,Q1,Murakkab-style,Video Split & Sample,video_split_and_sample_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow1,Q1,Murakkab-style,Video Caption,video_caption_anthropic_global_q1,Anthropic,global,Claude Haiku 4.5
workflow1,Q1,Murakkab-style,Q/A,q_a_anthropic_global_q1,Anthropic,global,Claude Haiku 4.5
workflow1,Q2,SkyFlow,Shot Detection,shot_detection_aliyun_cn-shanghai_q2,Aliyun,cn-shanghai,
workflow1,Q2,SkyFlow,Video Split & Sample,video_split_and_sample_aliyun_cn-shanghai_q2,Aliyun,cn-shanghai,
workflow1,Q2,SkyFlow,Video Caption,video_caption_aws_ap-southeast-1_q2,AWS,ap-southeast-1,Claude Sonnet 4.5
workflow1,Q2,SkyFlow,Q/A,q_a_anthropic_global_q2,Anthropic,global,Claude Sonnet 4.5
workflow1,Q2,Greedy,Shot Detection,shot_detection_aliyun_cn-shanghai_q2,Aliyun,cn-shanghai,
workflow1,Q2,Greedy,Video Split & Sample,video_split_and_sample_aliyun_cn-shanghai_q2,Aliyun,cn-shanghai,
workflow1,Q2,Greedy,Video Caption,video_caption_azure_westus2_q2,Azure,westus2,Claude Sonnet 4.5
workflow1,Q2,Greedy,Q/A,q_a_azure_westus2_q2,Azure,westus2,Claude Sonnet 4.5
workflow1,Q2,Murakkab-style,Shot Detection,shot_detection_aliyun_cn-shanghai_q2,Aliyun,cn-shanghai,
workflow1,Q2,Murakkab-style,Video Split & Sample,video_split_and_sample_aliyun_ap-southeast-1_q2,Aliyun,ap-southeast-1,
workflow1,Q2,Murakkab-style,Video Caption,video_caption_aws_ap-southeast-1_q2,AWS,ap-southeast-1,Claude Sonnet 4.5
workflow1,Q2,Murakkab-style,Q/A,q_a_anthropic_global_q2,Anthropic,global,Claude Sonnet 4.5
workflow1,Q3,SkyFlow,Shot Detection,shot_detection_aliyun_cn-shanghai_q3,Aliyun,cn-shanghai,
workflow1,Q3,SkyFlow,Video Split & Sample,video_split_and_sample_aliyun_cn-shanghai_q3,Aliyun,cn-shanghai,
workflow1,Q3,SkyFlow,Video Caption,video_caption_aws_us-east-2_q3,AWS,us-east-2,Claude Opus 4.5
workflow1,Q3,SkyFlow,Q/A,q_a_aws_us-east-2_q3,AWS,us-east-2,Claude Opus 4.5
workflow1,Q3,Greedy,Shot Detection,shot_detection_aliyun_cn-shanghai_q3,Aliyun,cn-shanghai,
workflow1,Q3,Greedy,Video Split & Sample,video_split_and_sample_aliyun_cn-shanghai_q3,Aliyun,cn-shanghai,
workflow1,Q3,Greedy,Video Caption,video_caption_azure_westus2_q3,Azure,westus2,Claude Opus 4.5
workflow1,Q3,Greedy,Q/A,q_a_azure_westus2_q3,Azure,westus2,Claude Opus 4.5
workflow1,Q3,Murakkab-style,Shot Detection,shot_detection_aliyun_cn-shanghai_q3,Aliyun,cn-shanghai,
workflow1,Q3,Murakkab-style,Video Split & Sample,video_split_and_sample_aliyun_ap-southeast-1_q3,Aliyun,ap-southeast-1,
workflow1,Q3,Murakkab-style,Video Caption,video_caption_anthropic_global_q3,Anthropic,global,Claude Opus 4.5
workflow1,Q3,Murakkab-style,Q/A,q_a_anthropic_global_q3,Anthropic,global,Claude Opus 4.5
workflow2,Q1,SkyFlow,Shot Detection,shot_detection_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow2,Q1,SkyFlow,Video Split & Sample,video_split_and_sample_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow2,Q1,SkyFlow,Video Caption,video_caption_aws_us-west-2_q1,AWS,us-west-2,Claude Haiku 4.5
workflow2,Q1,SkyFlow,OCR,ocr_azure_eastus_q1,Azure,eastus,
workflow2,Q1,SkyFlow,Label Detection,label_detection_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow2,Q1,SkyFlow,Speech Transcription,speech_transcription_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow2,Q1,SkyFlow,Database,database_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow2,Q1,SkyFlow,Q/A,q_a_aws_eu-central-1_q1,AWS,eu-central-1,Claude Haiku 4.5
workflow2,Q1,Greedy,Shot Detection,shot_detection_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow2,Q1,Greedy,Speech Transcription,speech_transcription_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow2,Q1,Greedy,Video Split & Sample,video_split_and_sample_aliyun_cn-shanghai_q1,Aliyun,cn-shanghai,
workflow2,Q1,Greedy,Video Caption,video_caption_azure_eastus_q1,Azure,eastus,Claude Haiku 4.5
workflow2,Q1,Greedy,OCR,ocr_azure_eastus_q1,Azure,eastus,
