workflow,quality,component,cost_mean,cost_share,latency_mean_on_critical_path,latency_p95_on_critical_path,latency_share
workflow1,Q1,edge:ClientSource->Shot Detection,0.0,0.0,126.6890792803042,239.45386700738106,0.24059527587656326
workflow1,Q1,edge:Q/A->ClientSink,2.5770054177510877e-08,1.7334748871376547e-08,0.06522204216118418,0.06523083580580158,0.00012386320364901835
workflow1,Q1,edge:Shot Detection->Video Split & Sample,0.0,0.0,9.105332810771863e-06,1.7210301928655515e-05,1.7291940805004795e-08
workflow1,Q1,edge:Video Caption->Q/A,0.0,0.0,1.5192394591456165e-10,4.5302454670137205e-10,2.88518820147844e-13
workflow1,Q1,edge:Video Split & Sample->Video Caption,0.0070275508170349055,0.004727224388237736,10.145479126969803,19.63275092064552,0.01926728304696661
workflow1,Q1,node:Q/A,0.03926794773447612,0.02641438034948019,1.6353284123933165,1.8155130272635132,0.003105652774206565
workflow1,Q1,node:Shot Detection,0.9207886363914021,0.6193871252855836,56.51482284931928,93.22052138818202,0.10732732033250297
workflow1,Q1,node:Video Caption,0.48098008731492037,0.32354099717078055,314.6794367268369,936.30648351251,0.5976078310938141
workflow1,Q1,node:Video Split & Sample,0.038548241643817885,0.02593025547116898,16.835738162716257,29.63081378778818,0.03197275638006812
workflow1,Q2,edge:ClientSource->Shot Detection,0.0,0.0,97.68803831668055,182.82288422344837,0.0496439079427853
workflow1,Q2,edge:Q/A->ClientSink,2.5721415107044006e-08,5.244907542655339e-09,0.06350301669137325,0.06351160029263969,3.2271483479849814e-05
workflow1,Q2,edge:Shot Detection->Video Split & Sample,0.0,0.0,9.133265019359631e-06,1.7093373111642423e-05,4.6414174718946055e-09
workflow1,Q2,edge:Video Caption->Q/A,0.0,0.0,3.8383387683027664e-10,1.1541393387414882e-09,1.9505984535090149e-13
workflow1,Q2,edge:Video Split & Sample->Video Caption,0.01757386526236469,0.0035835236158115904,17.371231101850167,33.246893342684075,0.008827854592365635
workflow1,Q2,node:Q/A,0.29590849077402154,0.06033931915244402,3.0921645741052415,3.5021797967817645,0.001571401536011914
workflow1,Q2,node:Shot Detection,0.9236133173549033,0.18833592298601845,47.198744728517894,76.97169843528206,0.023985844927315612
workflow1,Q2,node:Video Caption,3.6282604464494055,0.7398461749909332,1788.302226700924,5373.724013051291,0.9087940821211009
workflow1,Q2,node:Video Split & Sample,0.038717929692613305,0.007895054009885086,14.059029340830676,24.520663677826814,0.0071446327553282354
workflow1,Q3,edge:ClientSource->Shot Detection,0.0,0.0,217.31777198933497,415.2511010787874,0.0559441684476355
workflow1,Q3,edge:Q/A->ClientSink,2.4887512539941266e-08,1.8494742262076458e-09,0.0652461926980322,0.06525209303138245,1.679634372031355e-05
workflow1,Q3,edge:Shot Detection->Video Split & Sample,0.0,0.0,8.773966407631898e-06,1.676552456961854e-05,2.258684368835436e-09
workflow1,Q3,edge:Video Caption->Q/A,0.0,0.0,7.290259967595893e-10,2.184336258042976e-09,1.8767334485384555e-13
workflow1,Q3,edge:Video Split & Sample->Video Caption,0.033670348025473425,0.002502156081714286,24.85302878662386,48.615766146787585,0.006397921422372457
workflow1,Q3,node:Q/A,0.9350284575365864,0.0694850893679826,3.482111425126075,3.914197375082845,0.0008964008158994442
workflow1,Q3,node:Shot Detection,0.8872787774072024,0.06593665106715901,36.86208323217713,60.67928408943147,0.009489415314698157
workflow1,Q3,node:Video Caption,11.56327942203479,0.8593059361464438,3591.091060970286,10755.695424211577,0.924455470837328
workflow1,Q3,node:Video Split & Sample,0.03727682566435166,0.002770165487226181,10.876051107908296,19.3628009874626,0.002799824559474016
workflow2,Q1,edge:ClientSource->Shot Detection,0.0,0.0,127.42764073579548,238.0931795859952,0.2076110775678067
workflow2,Q1,edge:ClientSource->Speech Transcription,0.0,0.0,0.0,0.0,0.0
