endpoint_id,logical_operation,provider,region,quality_level,model_name,base_latency_sec,latency_per_mb,fixed_cost,cost_per_mb,storage_cost_per_mb,is_virtual
client_source,ClientSource,client,local,Q1,,0.0,0.0,0.0,0.0,0.0,True
client_sink,ClientSink,client,local,Q1,,0.0,0.0,0.0,0.0,0.0,True
shot_detection_gcp_us-east1_q1,Shot Detection,GCP,us-east1,Q1,,19.108473242631582,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
shot_detection_gcp_us-west1_q1,Shot Detection,GCP,us-west1,Q1,,17.4876365496486,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
shot_detection_gcp_europe-west1_q1,Shot Detection,GCP,europe-west1,Q1,,14.76391154086701,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
shot_detection_gcp_asia-east1_q1,Shot Detection,GCP,asia-east1,Q1,,19.77980885409944,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
shot_detection_aws_us-west-2_q1,Shot Detection,AWS,us-west-2,Q1,,21.8745819625238,0.0032520222797619,0.0,0.0001666666666666,7.486979166666667e-07,False
shot_detection_aws_us-east-2_q1,Shot Detection,AWS,us-east-2,Q1,,12.664584302663014,0.0032520222797619,0.0,0.0001666666666666,7.486979166666667e-07,False
shot_detection_aws_ap-southeast-1_q1,Shot Detection,AWS,ap-southeast-1,Q1,,20.1568386907478,0.0032520222797619,0.0,0.000225,8.138020833333334e-07,False
shot_detection_aws_eu-central-1_q1,Shot Detection,AWS,eu-central-1,Q1,,17.337931124127394,0.0032520222797619,0.0,0.0001999999999999,7.975260416666667e-07,False
shot_detection_aliyun_cn-shanghai_q1,Shot Detection,Aliyun,cn-shanghai,Q1,,17.48502876795886,0.0032520222797619,0.0,0.0001,5.631510416666666e-07,False
shot_detection_gcp_us-east1_q2,Shot Detection,GCP,us-east1,Q2,,19.108473242631582,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
shot_detection_gcp_us-west1_q2,Shot Detection,GCP,us-west1,Q2,,17.4876365496486,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
