logical_operation,quality_level,endpoints,base_latency_min,base_latency_mean,base_latency_max,latency_per_mb_min,latency_per_mb_mean,latency_per_mb_max,fixed_cost_min,fixed_cost_max,cost_per_mb_min,cost_per_mb_mean,cost_per_mb_max,storage_cost_per_mb_min,storage_cost_per_mb_max
Database,Q1,16,0.0006012072098375,0.0007612518176632,0.0009829798609282,0.0,0.0,0.0,1.2253333333333332,9.6,0.0,0.0,0.0,5.989583333333334e-07,1.1976497395833333e-05
Database,Q2,16,0.0006012072098375,0.0007612518176632,0.0009829798609282,0.0,0.0,0.0,1.2253333333333332,9.6,0.0,0.0,0.0,5.989583333333334e-07,1.1976497395833333e-05
Database,Q3,16,0.0006012072098375,0.0007612518176632,0.0009829798609282,0.0,0.0,0.0,1.2253333333333332,9.6,0.0,0.0,0.0,5.989583333333334e-07,1.1976497395833333e-05
Label Detection,Q1,16,0.2334135040308499,0.3295508637163038,0.4181523085887572,0.0,0.0,0.0,0.0,0.0,0.0009666666666666,0.0031583333333333,0.005,5.208333333333334e-07,8.138020833333334e-07
Label Detection,Q2,16,0.2334135040308499,0.3295508637163038,0.4181523085887572,0.0,0.0,0.0,0.0,0.0,0.0009666666666666,0.0031583333333333,0.005,5.208333333333334e-07,8.138020833333334e-07
Label Detection,Q3,16,0.2334135040308499,0.3295508637163038,0.4181523085887572,0.0,0.0,0.0,0.0,0.0,0.0009666666666666,0.0031583333333333,0.005,5.208333333333334e-07,8.138020833333334e-07
OCR,Q1,16,0.4184038985905543,0.5625039366435238,0.7112136526231018,0.0,0.0,0.0,0.0,0.0,0.0033333333333333,0.012916666666666651,0.04,5.208333333333334e-07,8.138020833333334e-07
OCR,Q2,16,0.4184038985905543,0.5625039366435238,0.7112136526231018,0.0,0.0,0.0,0.0,0.0,0.0033333333333333,0.012916666666666651,0.04,5.208333333333334e-07,8.138020833333334e-07
OCR,Q3,16,0.4184038985905543,0.5625039366435238,0.7112136526231018,0.0,0.0,0.0,0.0,0.0,0.0033333333333333,0.012916666666666651,0.04,5.208333333333334e-07,8.138020833333334e-07
Q/A,Q1,11,0.59,0.9372727272727274,1.04,165.1612903225806,191.41680206107637,211.13402061855663,0.0,0.0,0.3584,0.36491636363636365,0.39424,0.0,8.138020833333334e-07
Q/A,Q2,10,1.03,1.714,1.92,698.1818181818181,781.9973649538866,853.3333333333334,0.0,0.0,1.344,1.35744,1.4784000000000002,0.0,8.138020833333334e-07
Q/A,Q3,10,0.87,1.748,2.04,1142.857142857143,1188.7237849501998,1230.7692307692305,0.0,0.0,2.879999999999999,2.908799999999999,3.1679999999999997,0.0,8.138020833333334e-07
Shot Detection,Q1,9,12.664584302663014,17.850977226140834,21.8745819625238,0.0032520222797619,0.0032520222797619,0.0032520222797619,0.0,0.0,0.0001,0.00016944444444438888,0.000225,5.631510416666666e-07,8.138020833333334e-07
Shot Detection,Q2,9,12.664584302663014,17.850977226140834,21.8745819625238,0.0032520222797619,0.0032520222797619,0.0032520222797619,0.0,0.0,0.0001,0.00016944444444438888,0.000225,5.631510416666666e-07,8.138020833333334e-07
Shot Detection,Q3,9,12.664584302663014,17.850977226140834,21.8745819625238,0.0032520222797619,0.0032520222797619,0.0032520222797619,0.0,0.0,0.0001,0.00016944444444438888,0.000225,5.631510416666666e-07,8.138020833333334e-07
Speech Transcription,Q1,14,2.8296007736872895,3.957558965537205,4.960480133317651,0.0061426666666666,0.0061426666666666,0.0061426666666666,0.0,0.0,2.0333333333333337e-05,5.338095238095238e-05,8e-05,5.631510416666666e-07,8.138020833333334e-07
Speech Transcription,Q2,14,2.8296007736872895,3.957558965537205,4.960480133317651,0.0061426666666666,0.0061426666666666,0.0061426666666666,0.0,0.0,2.0333333333333337e-05,5.338095238095238e-05,8e-05,5.631510416666666e-07,8.138020833333334e-07
Speech Transcription,Q3,14,2.8296007736872895,3.957558965537205,4.960480133317651,0.0061426666666666,0.0061426666666666,0.0061426666666666,0.0,0.0,2.0333333333333337e-05,5.338095238095238e-05,8e-05,5.631510416666666e-07,8.138020833333334e-07
Video Caption,Q1,11,0.59,0.9372727272727274,1.04,5.161290322580646,5.981775064408638,6.597938144329898,0.0,0.0,0.0033943071527607,0.0034560218282654455,0.0037337378680368,0.0,8.138020833333334e-07
Video Caption,Q2,10,1.03,1.714,1.92,11.636363636363638,13.033289415898114,14.222222222222223,0.0,0.0,0.0101787768724845,0.01028056464120934,0.0111966545597329,0.0,8.138020833333334e-07
Video Caption,Q3,10,0.87,1.748,2.04,11.42857142857143,11.887237849502004,12.30769230769231,0.0,0.0,0.016964242931456,0.01713388536077056,0.0186606672246016,0.0,8.138020833333334e-07
Video Split & Sample,Q1,16,2.1475136828606467,3.153815364585108,3.835051471635739,0.0012924367797619,0.0012924367797619,0.0012924367797619,0.0,0.0,3.666666666666667e-06,5.020833333333334e-06,7.4e-06,5.208333333333334e-07,8.138020833333334e-07
Video Split & Sample,Q2,16,2.1475136828606467,3.153815364585108,3.835051471635739,0.0012924367797619,0.0012924367797619,0.0012924367797619,0.0,0.0,3.666666666666667e-06,5.020833333333334e-06,7.4e-06,5.208333333333334e-07,8.138020833333334e-07
Video Split & Sample,Q3,16,2.1475136828606467,3.153815364585108,3.835051471635739,0.0012924367797619,0.0012924367797619,0.0012924367797619,0.0,0.0,3.666666666666667e-06,5.020833333333334e-06,7.4e-06,5.208333333333334e-07,8.138020833333334e-07
