workflow,quality_level,method,status,objective_value,expected_cost,violation_rate,p95_latency,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,error,process_exitcode
workflow1,Q1,full_milp,OPTIMAL,0.7758985301106873,0.7729091250205746,0.008,99.61673416609894,0.06266762502491474,1.9324219999834895,175.484375,1,250,,0
workflow1,Q1,decomposition,OPTIMAL,0.7758985908055808,0.7729092102652622,0.004,95.03959673666438,0.029759833007119596,2.4845904579851776,212.859375,1,50,,0
workflow1,Q2,full_milp,OPTIMAL,2.469723038755907,2.4795350251239663,0.008,82.94829513758933,0.07206020900048316,1.8874219999997877,179.0,1,250,,0
workflow1,Q2,decomposition,OPTIMAL,2.4697226013812927,2.4795345865994514,0.008,82.19286555784363,0.02354679099516943,2.3883165000006557,215.84375,1,50,,0
workflow1,Q3,full_milp,OPTIMAL,7.470878282522033,7.467032084505348,0.004,69.42295301929549,0.06044554099207744,1.931271374982316,175.984375,1,250,,0
workflow1,Q3,decomposition,OPTIMAL,7.470875699412537,7.467030064262068,0.0,65.33135235104443,0.018797208031173795,2.352778791973833,209.359375,1,50,,0
workflow2,Q1,full_milp,FAILED,,,,,,1.2357276249676943,168.71875,0,0,"GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_decomposition_ablation.py"", line 49, in _worker
    result = solve_full_milp(
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_model.py"", line 362, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
",0
workflow2,Q1,decomposition,OPTIMAL,2.146486253624988,2.1507970964590366,0.0,99.36454865609512,0.14528012496884912,3.9163602080079727,264.203125,2,52,,0
workflow2,Q2,full_milp,FAILED,,,,,,1.1549023750121705,162.734375,0,0,"GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_decomposition_ablation.py"", line 49, in _worker
    result = solve_full_milp(
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_model.py"", line 362, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
",0
workflow2,Q2,decomposition,OPTIMAL,3.7729126632805903,3.77795647882085,0.0,88.3219644629994,0.14244233298813924,3.883832416962832,261.15625,2,63,,0
workflow2,Q3,full_milp,FAILED,,,,,,1.1796286250464618,166.546875,0,0,"GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_decomposition_ablation.py"", line 49, in _worker
    result = solve_full_milp(
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_model.py"", line 362, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
",0
workflow2,Q3,decomposition,OPTIMAL,9.81263898709792,9.685177375915242,0.0,67.93511064156867,0.21227154304506257,4.923188749991823,286.71875,3,65,,0
