workflow,quality_level,query_count,sample_count,scenario_count,method,status,objective_value,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,error,process_exitcode
workflow1,Q2,10,2,20,full_milp,OPTIMAL,3.1010762512553884,0.012908916047308594,1.1739202919998206,193.890625,1,20,1.0,,0
workflow1,Q2,10,2,20,decomposition,OPTIMAL,3.101131590229589,0.006281709007453173,2.263365624996368,240.8125,2,5,0.25,,0
workflow1,Q2,10,6,60,full_milp,OPTIMAL,2.720791149334072,0.024914708046708256,1.175285375036765,192.484375,1,60,1.0,,0
workflow1,Q2,10,6,60,decomposition,OPTIMAL,2.720791149334072,0.027220416988711804,2.2776700420072302,242.15625,2,13,0.21666666666666667,,0
workflow1,Q2,10,10,100,full_milp,OPTIMAL,2.7403292789452287,0.03545675001805648,1.1833743749884889,198.8125,1,100,1.0,,0
workflow1,Q2,10,10,100,decomposition,OPTIMAL,2.7403292789452287,0.02845220797462389,2.3158984160399996,239.046875,2,21,0.21,,0
workflow1,Q2,25,2,50,full_milp,OPTIMAL,2.52462010085515,0.021886333997827023,1.1544907499919645,196.71875,1,50,1.0,,0
workflow1,Q2,25,2,50,decomposition,OPTIMAL,2.52462010085515,0.023764125013258308,2.2879456669907086,244.3125,2,11,0.22,,0
workflow1,Q2,25,6,150,full_milp,OPTIMAL,2.5072562962676193,0.048759875004179776,1.2815302920062095,198.109375,1,150,1.0,,0
workflow1,Q2,25,6,150,decomposition,OPTIMAL,2.507256396521855,0.03396208398044109,2.384575625008438,238.546875,2,31,0.20666666666666667,,0
workflow1,Q2,25,10,250,full_milp,OPTIMAL,2.5271109274795642,0.07125933299539611,1.3484509999980219,200.71875,1,250,1.0,,0
workflow1,Q2,25,10,250,decomposition,OPTIMAL,2.5271105041484625,0.04537429101765156,2.4696176249999553,241.0625,2,53,0.212,,0
workflow1,Q2,40,2,80,full_milp,OPTIMAL,2.5830431193926815,0.030492625024635345,1.199736375012435,194.4375,1,80,1.0,,0
workflow1,Q2,40,2,80,decomposition,OPTIMAL,2.5830431193926815,0.028344333986751735,2.320178041001782,240.234375,2,17,0.2125,,0
workflow1,Q2,40,6,240,full_milp,OPTIMAL,2.578537511213391,0.06717254099203274,1.2833754169987515,195.421875,1,240,1.0,,0
workflow1,Q2,40,6,240,decomposition,OPTIMAL,2.5785370534094674,0.06529670796589926,3.0824713750043884,245.984375,3,50,0.20833333333333334,,0
workflow1,Q2,40,10,400,full_milp,OPTIMAL,2.5921010064063634,0.12294454203220084,1.4512410839670338,222.234375,1,400,1.0,,0
workflow1,Q2,40,10,400,decomposition,OPTIMAL,2.592100537446829,0.06324391695670784,2.5504522919654846,245.796875,2,84,0.21,,0
workflow1,Q2,50,2,100,full_milp,OPTIMAL,2.4597693110388015,0.03504120896104723,1.220703291008249,198.046875,1,100,1.0,,0
workflow1,Q2,50,2,100,decomposition,OPTIMAL,2.459769410064082,0.015295959019567817,1.7118223340366967,233.375,1,20,0.2,,0
workflow1,Q2,50,6,300,full_milp,OPTIMAL,2.4647579437866263,0.08312408399069682,1.3704020410077646,203.5625,1,300,1.0,,0
workflow1,Q2,50,6,300,decomposition,OPTIMAL,2.464757547177504,0.05138766695745289,2.5207550420309417,245.09375,2,61,0.20333333333333334,,0
workflow1,Q2,50,10,500,full_milp,OPTIMAL,2.4746284873608277,0.1403418339905329,1.4866860840120353,225.484375,1,500,1.0,,0
workflow1,Q2,50,10,500,decomposition,OPTIMAL,2.474628859771489,0.07234508299734443,2.632991000020411,250.234375,2,104,0.208,,0
workflow2,Q2,10,2,20,full_milp,OPTIMAL,3.390660385760897,0.045935958973132074,1.2308651669882238,202.15625,1,20,1.0,,0
workflow2,Q2,10,2,20,decomposition,OPTIMAL,3.3906611587011617,0.01763012498850003,1.9027332499972545,240.34375,1,4,0.2,,0
workflow2,Q2,10,6,60,full_milp,OPTIMAL,3.400577956310355,0.061241708986926824,1.3523217089823447,212.4375,1,60,1.0,,0
