workflow,query_count,sample_count,method,status,wall_time_sec,solver_runtime_sec,max_rss_mb,active_scenario_count,active_scenario_fraction
workflow1,10,10,full_milp,OPTIMAL,1.1833743749884889,0.0354567500180564,198.8125,100,1.0
workflow1,10,10,decomposition,OPTIMAL,2.3158984160399996,0.0284522079746238,239.046875,21,0.21
workflow1,25,10,full_milp,OPTIMAL,1.348450999998022,0.0712593329953961,200.71875,250,1.0
workflow1,25,10,decomposition,OPTIMAL,2.4696176249999553,0.0453742910176515,241.0625,53,0.212
workflow1,40,10,full_milp,OPTIMAL,1.4512410839670338,0.1229445420322008,222.234375,400,1.0
workflow1,40,10,decomposition,OPTIMAL,2.5504522919654846,0.0632439169567078,245.796875,84,0.21
workflow1,50,10,full_milp,OPTIMAL,1.4866860840120353,0.1403418339905329,225.484375,500,1.0
workflow1,50,10,decomposition,OPTIMAL,2.632991000020411,0.0723450829973444,250.234375,104,0.208
workflow2,10,10,full_milp,OPTIMAL,1.4755765829468146,0.0968733329791575,225.453125,100,1.0
workflow2,10,10,decomposition,OPTIMAL,1.9150520829716695,0.030583374958951,244.734375,20,0.2
workflow2,25,10,full_milp,FAILED,1.182633334014099,,187.671875,0,
workflow2,25,10,decomposition,OPTIMAL,3.3258557089720853,0.1318461259943433,283.3125,63,0.252
workflow2,40,10,full_milp,FAILED,1.511732084036339,,211.03125,0,
workflow2,40,10,decomposition,OPTIMAL,2.7403023749939166,0.0837838749866932,277.875,80,0.2
workflow2,50,10,full_milp,FAILED,1.7343241249909624,,224.40625,0,
workflow2,50,10,decomposition,OPTIMAL,3.034087833017111,0.1209082920104265,288.375,100,0.2
