workflow,quality_level,method,expected_cost,avg_latency,p95_latency,violation_rate,cvar_value,status
workflow1,Q1,decomposition,0.7744035915665162,61.69090822553054,94.73124108824074,0.002,0.09623031919749678,OPTIMAL
workflow1,Q1,greedy,0.7744035915665162,62.4267960334776,95.64134908342868,0.002,0.1346590500502515,optimal
workflow1,Q1,logical_optimal,1.1238100922208787,82.41894091705251,122.8809672165024,0.36,18.497107641590013,optimal
workflow1,Q1,single_cloud,1.109073258941724,68.60003732216494,105.82032066632607,0.026,2.296041901302367,optimal
workflow1,Q2,decomposition,2.474628329190369,53.05811233693497,83.6279337773293,0.004,0.10292754341232722,OPTIMAL
workflow1,Q2,greedy,2.474628329190369,53.05811233693497,83.6279337773293,0.004,0.10292754341232722,optimal
workflow1,Q2,logical_optimal,2.7833455177752544,61.497946975783634,96.53639336868828,0.168,6.352788065534055,optimal
workflow1,Q2,single_cloud,2.795427075372813,59.623866338021955,98.03127853732812,0.1,7.327844911017254,optimal
workflow1,Q3,decomposition,7.468954112669554,42.28865125739291,65.06512746061911,0.0,0.0,OPTIMAL
workflow1,Q3,greedy,7.468952674470894,41.80389500446906,64.61105323831347,0.0,0.0,optimal
workflow1,Q3,logical_optimal,7.78626185511846,56.09466464407936,89.54785808044011,0.224,13.459468765687143,optimal
workflow1,Q3,single_cloud,7.7984228857515445,45.32840475087012,73.7170723837794,0.01,0.2574824497082318,optimal
workflow2,Q1,decomposition,2.148641375958404,64.26622902227487,101.56944461134474,0.0,0.0,OPTIMAL
workflow2,Q1,greedy,2.1486413726204208,64.067427316981,101.28374342065652,0.0,0.0,optimal
workflow2,Q1,logical_optimal,6.901395424931316,84.49589765296113,131.86107897682754,0.266,11.41734701238043,optimal
workflow2,Q1,single_cloud,6.905609458496605,84.49589765296113,131.86107897682754,0.266,11.41734701238043,optimal
workflow2,Q2,decomposition,3.775432858255549,52.97804749976635,81.35061415756137,0.0,0.0,OPTIMAL
workflow2,Q2,greedy,3.7754339542760302,54.84016108940658,87.32006478984344,0.0,0.0,optimal
workflow2,Q2,logical_optimal,8.448438432151315,60.67328884121601,93.17753987116431,0.132,4.49435565137905,optimal
workflow2,Q2,single_cloud,8.88871747430923,70.16959687062408,106.75934411355192,0.464,16.999963354796932,optimal
workflow2,Q3,decomposition,9.748908020793774,45.07293114744669,69.2610861168179,0.0,0.0,OPTIMAL
workflow2,Q3,greedy,9.748907959063633,45.198658821736196,69.4067494918291,0.0,0.0,optimal
workflow2,Q3,logical_optimal,14.507482254374995,60.62894692636265,94.28463479361524,0.128,4.525247153183961,optimal
workflow2,Q3,single_cloud,14.972312107840247,66.89943648590958,103.61663897755038,0.296,10.494904129734081,optimal
