workflow,quality_level,query_count,sample_count,scenario_count,method,status,objective_value,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,assignment_signature,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,error,process_exitcode
workflow1,Q2,10,2,20,full_milp,OPTIMAL,2.6933072115431766,0.023383700056001544,7.057319500017911,383.50390625,1,20,1.0,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.693306612309877,59.92332996613087,83.73369544895115,97.52845001470544,0.0,,0
workflow1,Q2,10,2,20,decomposition,OPTIMAL,2.693307388484305,0.009437400032766163,10.510852999985218,515.625,1,4,0.2,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.6933068202262604,56.82580444028311,80.30773084207044,93.48259948628044,0.0,,0
workflow1,Q2,10,5,50,full_milp,OPTIMAL,2.6977998892732282,0.04013249999843538,7.155944300000556,382.94140625,1,50,1.0,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_westus2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.6977993594020226,52.9871205492058,77.35742535171053,87.37236279566876,0.0,,0
workflow1,Q2,10,5,50,decomposition,OPTIMAL,2.697799651014415,0.017550099990330637,10.536160200019367,515.875,1,10,0.2,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.697799084479274,56.65351424170417,81.83999116944673,92.08315215980241,0.0,,0
workflow1,Q2,10,10,100,full_milp,OPTIMAL,2.6700922485443144,0.061894799931906164,7.313948199967854,384.4765625,1,100,1.0,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_westus2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.6700917070002976,54.154401795097755,84.88399901496835,92.51437523501914,0.0,,0
workflow1,Q2,10,10,100,decomposition,OPTIMAL,2.6700922403773153,0.02439180004876107,10.658531199907884,517.83203125,1,20,0.2,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.6700916916077353,54.87695788329961,85.79649897566803,93.50340941315434,0.0,,0
workflow1,Q2,25,2,50,full_milp,OPTIMAL,2.814752206543283,0.04150859999936074,7.170947200036608,391.02734375,1,50,1.0,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_westus2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.814751638159846,56.83834380498804,80.76636404135687,92.12875023927765,0.0,,0
workflow1,Q2,25,2,50,decomposition,OPTIMAL,2.8147520565993047,0.016572599997743964,10.519400399993174,515.79296875,1,10,0.2,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.814751449797909,60.680139702329164,85.5929145921176,97.21232534400917,0.0,,0
workflow1,Q2,25,5,125,full_milp,OPTIMAL,2.8419882944655432,0.07854439993388951,7.235017800005153,384.8671875,1,125,1.0,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.841987692699239,60.17663022529939,90.4954668788199,100.97907172262823,0.0,,0
workflow1,Q2,25,5,125,decomposition,OPTIMAL,2.8419882944655432,0.028545400011353195,10.483828900032677,519.34375,1,25,0.2,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.841987692699239,60.17663022529939,90.4954668788199,100.97907172262823,0.0,,0
