workflow,quality_level,query_count,full_status,skyflow_status,full_expected_cost,skyflow_expected_cost,skyflow_cost_gap_abs,skyflow_cost_gap_pct,full_violation_rate,skyflow_violation_rate,full_success_rate,skyflow_success_rate,full_avg_latency,skyflow_avg_latency,full_p95_latency,skyflow_p95_latency,full_solver_runtime_sec,skyflow_solver_runtime_sec,solver_runtime_speedup,full_wall_time_sec,skyflow_wall_time_sec,wall_time_speedup,full_peak_memory_mb,skyflow_peak_memory_mb,memory_reduction_mb,memory_reduction_pct
workflow1,Q1,200,OPTIMAL,OPTIMAL,1.705055965255324,1.70504247451756,-1.3490737764021432e-05,-0.0007912196455088944,0.0269,0.0319,0.9731,0.9681,3765.9391978588783,3771.600068982965,6880.288088709653,6889.90950498833,44.34614200002397,29.49666679999791,1.503428923027571,94.146113099996,84.531375999999,1.113741637188032,1730.98828125,923.55078125,807.4375,46.64604080490508
workflow1,Q1,400,OPTIMAL,OPTIMAL,1.7032478645533282,1.7032579683280662,1.010377473797952e-05,0.0005932063646314452,0.03395,0.02875,0.96605,0.97125,3768.664865440865,3763.0066711359777,6900.851434103703,6890.311965867578,158.29062880002311,53.71165700000711,2.9470442291512655,243.43400090001523,137.8193423000048,1.7663268220371326,2924.18359375,1488.9765625,1435.20703125,49.08060609865734
workflow1,Q1,600,OPTIMAL,OPTIMAL,1.6691599258406202,1.6691500172134028,-9.908627217392052e-06,-0.0005936295895914157,0.0314666666666666,0.0366,0.9685333333333334,0.9634,3688.6924464089534,3694.2413648564616,6895.918608653702,6906.463131847176,168.37901289999718,158.04922380001517,1.0653580501796873,286.1176878999977,325.02146869999706,0.8803039659023001,4857.9609375,1928.51171875,2929.44921875,60.302033228318855
workflow1,Q1,800,OPTIMAL,OPTIMAL,1.677767298807908,1.677767298807908,0.0,0.0,0.03595,0.03595,0.96405,0.96405,3712.526171929686,3712.526171929686,6918.791281947992,6918.791281947992,333.2236333999899,291.7022758999956,1.1423415616895258,486.4013476000109,568.1595946000016,0.8560998568411918,5544.8203125,2411.37890625,3133.44140625,56.51114426893342
workflow1,Q1,1000,FAILED,OPTIMAL,,1.6868536266265324,,,,0.03546,,0.96454,,3732.370862664808,,6922.701954297396,,250.8169198000105,,443.4936136000033,510.0253374000022,0.8695521204119719,7098.95703125,2807.37109375,4291.5859375,60.453752834510794
workflow2,Q1,200,OPTIMAL,OPTIMAL,3.377792065108809,3.377792065108809,0.0,0.0,0.035,0.035,0.965,0.965,3693.749945624112,3693.749945624112,6994.126932678502,6994.126932678502,299.35793120000744,157.5264698000101,1.9003658977444327,466.7707327000098,293.6595859999943,1.589495984306192,7843.28125,2744.52734375,5098.75390625,65.00791879992828
workflow2,Q1,400,WALL_TIME_LIMIT,WALL_TIME_LIMIT,,,,,,,,,,,,,,,,600.0,600.0,1.0,15638.671875,5384.51171875,10254.16015625,65.5692519045835
workflow2,Q1,600,WALL_TIME_LIMIT,WALL_TIME_LIMIT,,,,,,,,,,,,,,,,600.0,600.0,1.0,17654.10546875,7257.51171875,10396.59375,58.890515684316526
workflow2,Q1,800,WALL_TIME_LIMIT,WALL_TIME_LIMIT,,,,,,,,,,,,,,,,600.0,300.0,2.0,20217.01953125,9239.0859375,10977.93359375,54.3004550041667
workflow2,Q1,1000,WALL_TIME_LIMIT,WALL_TIME_LIMIT,,,,,,,,,,,,,,,,300.0,300.0,1.0,7903.56640625,8679.3203125,-775.75390625,-9.815238670438038
