workflow,quality,method,query_id,execution_cost,network_cost,storage_cost,total_breakdown_cost
workflow1,Q1,skyflow,workflow1_Q1_q0000,0.062080971874369985,0.00029852545910078804,0.0006448125463342134,0.06302430987980498
workflow1,Q1,skyflow,workflow1_Q1_q0001,1.5231867323668271,0.007151339325413109,0.015977595924294277,1.5463156676165344
workflow1,Q1,skyflow,workflow1_Q1_q0002,2.0037995900994665,0.009534390274485174,0.020868823524095057,2.034202803898047
workflow1,Q1,skyflow,workflow1_Q1_q0003,0.1370288083603607,0.0006244102587131038,0.0013993238915253393,0.13905254251059912
workflow1,Q1,skyflow,workflow1_Q1_q0004,1.1995024635426321,0.005710057163566692,0.01257388606477904,1.2177864067709778
workflow1,Q1,skyflow,workflow1_Q1_q0005,2.747735053133504,0.012545775511886537,0.027432622727708175,2.7877134513730986
workflow1,Q1,skyflow,workflow1_Q1_q0006,1.9571870963465607,0.009252291259286675,0.020695895947682823,1.9871352835535303
workflow1,Q1,skyflow,workflow1_Q1_q0007,0.756562011215554,0.003464969425438792,0.007653187712215325,0.7676801683532082
workflow1,Q1,skyflow,workflow1_Q1_q0008,2.578320501195607,0.011808445325234514,0.026142697317305674,2.6162716438381475
workflow1,Q1,skyflow,workflow1_Q1_q0009,1.0419716249733684,0.004828113934281898,0.010969247549206968,1.0577689864568571
workflow1,Q1,skyflow,workflow1_Q1_q0010,2.5108945768484627,0.011708148950779903,0.026158351050554956,2.5487610768497975
workflow1,Q1,skyflow,workflow1_Q1_q0011,0.9141341628363681,0.0043380138537392025,0.009495771076361214,0.9279679477664685
workflow1,Q1,skyflow,workflow1_Q1_q0012,1.6969736650922982,0.008244380165616376,0.018253446703357892,1.7234714919612726
workflow1,Q1,skyflow,workflow1_Q1_q0013,1.1913166113266687,0.005675016296961168,0.012441450771730757,1.2094330783953606
workflow1,Q1,skyflow,workflow1_Q1_q0014,0.8454009206152755,0.0039945208752602095,0.008770623182325082,0.8581660646728608
workflow1,Q1,skyflow,workflow1_Q1_q0015,2.6449459401348703,0.012302011696685003,0.027158327677321112,2.6844062795088766
workflow1,Q1,skyflow,workflow1_Q1_q0016,0.593306255886734,0.002850534710537274,0.0061490552246975215,0.6023058458219689
workflow1,Q1,skyflow,workflow1_Q1_q0017,0.294198760075686,0.00141052029948519,0.003059087114016056,0.29866836748918724
workflow1,Q1,skyflow,workflow1_Q1_q0018,1.0576550249482997,0.004981038918699751,0.010788473758106248,1.0734245376251057
workflow1,Q1,skyflow,workflow1_Q1_q0019,2.226453829829778,0.009911569038922045,0.022079887366852177,2.258445286235552
workflow1,Q1,skyflow,workflow1_Q1_q0020,2.333210934749803,0.011268933578596561,0.024780337116561767,2.369260205444961
workflow1,Q1,skyflow,workflow1_Q1_q0021,2.9717151264498534,0.01404011220349565,0.030532903534700062,3.0162881421880487
workflow1,Q1,skyflow,workflow1_Q1_q0022,0.9018220104751054,0.004237707399735895,0.009417425490020073,0.9154771433648614
workflow1,Q1,skyflow,workflow1_Q1_q0023,1.2386813472983909,0.005721394330090561,0.012770986905291966,1.2571737285337734
workflow1,Q1,skyflow,workflow1_Q1_q0024,0.43619137092086646,0.002137578234100176,0.004622642417512187,0.4429515915724788
workflow1,Q1,skyflow,workflow1_Q1_q0025,1.7615704187702284,0.007822565114404705,0.017786776122007047,1.78717976000664
workflow1,Q1,skyflow,workflow1_Q1_q0026,3.008803702406524,0.013607547140649197,0.030493231997739637,3.0529044815449127
workflow1,Q1,skyflow,workflow1_Q1_q0027,2.0625587231388285,0.009784853176431761,0.02157720229353388,2.093920778608794
workflow1,Q1,skyflow,workflow1_Q1_q0028,1.754054167080968,0.008436598098887986,0.018401983357910448,1.7808927485377666
workflow1,Q1,skyflow,workflow1_Q1_q0029,1.1911116953988865,0.005618575338332536,0.012304130272844788,1.2090344010100638
workflow1,Q1,skyflow,workflow1_Q1_q0030,2.6135786623195134,0.012739077785890538,0.0280226744699492,2.654340414575353
