workflow,quality,method,src,dst,src_provider,src_region,dst_provider,dst_region,egress_cost_per_gb,mean_output_mb,network_cost
workflow1,Q1,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9105.33281077149,0.0
workflow1,Q1,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,9105.33281077149,0.0
workflow1,Q1,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,60.92167178026535,0.007020270771553952
workflow1,Q1,SkyFlow,Video Caption,Q/A,Azure,eastus,Azure,eastus,0.0,0.06134781603656787,0.0
workflow1,Q1,SkyFlow,Q/A,ClientSink,Azure,eastus,client,local,0.087,0.004866589251021511,4.13469985194211e-07
workflow1,Q1,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9105.33281077149,0.0
workflow1,Q1,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,9105.33281077149,0.0
workflow1,Q1,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,60.92167178026535,0.007020270771553952
workflow1,Q1,Greedy,Video Caption,Q/A,Azure,eastus,Azure,eastus,0.0,0.06134781603656787,0.0
workflow1,Q1,Greedy,Q/A,ClientSink,Azure,eastus,client,local,0.087,0.004866589251021511,4.13469985194211e-07
workflow1,Q1,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9105.33281077149,0.0
workflow1,Q1,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,ap-southeast-1,0.8,9105.33281077149,7.113541258415525
workflow1,Q1,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,ap-southeast-1,Anthropic,global,0.12,60.92167178026535,0.007139258411749852
workflow1,Q1,Murakkab-style,Video Caption,Q/A,Anthropic,global,Anthropic,global,0.0,0.06134781603656787,0.0
workflow1,Q1,Murakkab-style,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.004866589251021511,5.703034278540838e-07
workflow1,Q1,Single-Cloud,ClientSource,Shot Detection,client,local,AWS,us-east-2,0.0,9105.33281077149,0.0
workflow1,Q1,Single-Cloud,Shot Detection,Video Split & Sample,AWS,us-east-2,AWS,us-east-2,0.0,9105.33281077149,0.0
workflow1,Q1,Single-Cloud,Video Split & Sample,Video Caption,AWS,us-east-2,AWS,us-east-2,0.0,60.92167178026535,0.0
workflow1,Q1,Single-Cloud,Video Caption,Q/A,AWS,us-east-2,AWS,us-east-2,0.0,0.06134781603656787,0.0
workflow1,Q1,Single-Cloud,Q/A,ClientSink,AWS,us-east-2,client,local,0.09,0.004866589251021511,4.2772757089056303e-07
workflow1,Q2,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9133.265019359711,0.0
workflow1,Q2,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,9133.265019359711,0.0
workflow1,Q2,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,AWS,us-east-2,0.118,152.58961956873964,0.017583569442491363
workflow1,Q2,SkyFlow,Video Caption,Q/A,AWS,us-east-2,AWS,us-east-2,0.0,0.3813234356035027,0.0
workflow1,Q2,SkyFlow,Q/A,ClientSink,AWS,us-east-2,client,local,0.09,0.05759800086625297,5.062324294885515e-06
workflow1,Q2,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9133.265019359711,0.0
workflow1,Q2,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,9133.265019359711,0.0
workflow1,Q2,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,152.58961956873964,0.017583569442491363
workflow1,Q2,Greedy,Video Caption,Q/A,Azure,eastus,Azure,eastus,0.0,0.3813234356035027,0.0
workflow1,Q2,Greedy,Q/A,ClientSink,Azure,eastus,client,local,0.087,0.05759800086625297,4.893580151722605e-06
workflow1,Q2,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9133.265019359711,0.0
workflow1,Q2,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,ap-southeast-1,0.8,9133.265019359711,7.135363296375333
workflow1,Q2,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,ap-southeast-1,Anthropic,global,0.12,152.58961956873964,0.017881596043211725
workflow1,Q2,Murakkab-style,Video Caption,Q/A,Anthropic,global,Anthropic,global,0.0,0.3813234356035027,0.0
