workflow,quality,method,logical_node,provider,region,endpoint_id,execution_cost,storage_cost,service_cost
workflow1,Q1,SkyFlow,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q1,0.9105332810772158,0.010255355314215455,0.9207886363914313
workflow1,Q1,SkyFlow,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q1,0.03338622030616337,0.005161985760030966,0.03854820606619433
workflow1,Q1,SkyFlow,Video Caption,Azure,eastus,video_caption_azure_eastus_q1,0.3649968680974823,3.652628777903519e-05,0.36503339438526133
workflow1,Q1,SkyFlow,Q/A,Azure,eastus,q_a_azure_eastus_q1,0.02193427514666901,3.965966983371301e-08,0.021934314806338843
workflow1,Q1,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q1,0.9105332810772158,0.010255355314215455,0.9207886363914313
workflow1,Q1,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q1,0.03338622030616337,0.005161985760030966,0.03854820606619433
workflow1,Q1,Greedy,Video Caption,Azure,eastus,video_caption_azure_eastus_q1,0.3649968680974823,3.652628777903519e-05,0.36503339438526133
workflow1,Q1,Greedy,Q/A,Azure,eastus,q_a_azure_eastus_q1,0.02193427514666901,3.965966983371301e-08,0.021934314806338843
workflow1,Q1,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q1,0.9105332810772158,0.010255355314215455,0.9207886363914313
workflow1,Q1,Murakkab-style,Video Split & Sample,Aliyun,ap-southeast-1,video_split_and_sample_aliyun_ap-southeast-1_q1,0.03338622030616337,0.00507247155609981,0.038458691862263174
workflow1,Q1,Murakkab-style,Video Caption,Anthropic,global,video_caption_anthropic_global_q1,0.3649968680974823,0.0,0.3649968680974823
workflow1,Q1,Murakkab-style,Q/A,Anthropic,global,q_a_anthropic_global_q1,0.02193427514666901,0.0,0.02193427514666901
workflow1,Q1,Single-Cloud,Shot Detection,AWS,us-east-2,shot_detection_aws_us-east-2_q1,1.5175554684613592,0.013634287411962775,1.531189755873322
workflow1,Q1,Single-Cloud,Video Split & Sample,AWS,us-east-2,video_split_and_sample_aws_us-east-2_q1,0.060702218738480376,0.006862755634723305,0.06756497437320368
workflow1,Q1,Single-Cloud,Video Caption,AWS,us-east-2,video_caption_aws_us-east-2_q1,0.3649968680974823,4.565785972379351e-05,0.36504252595720604
workflow1,Q1,Single-Cloud,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q1,0.02193427514666901,4.95745872921408e-08,0.021934324721256303
workflow1,Q2,SkyFlow,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.9133265019360821,0.010286815418941024,0.9236133173550232
workflow1,Q2,SkyFlow,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q2,0.03348863840431801,0.005229338712677759,0.03871797711699577
workflow1,Q2,SkyFlow,Video Caption,AWS,us-east-2,video_caption_aws_us-east-2_q2,3.6185058842824387,0.00011452902633788772,3.6186204133087765
workflow1,Q2,SkyFlow,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q2,0.5140327218699061,3.2861956506525266e-07,0.5140330504894712
workflow1,Q2,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.9133265019360821,0.010286815418941024,0.9236133173550232
workflow1,Q2,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q2,0.03348863840431801,0.005229338712677759,0.03871797711699577
workflow1,Q2,Greedy,Video Caption,Azure,eastus,video_caption_azure_eastus_q2,3.6185058842824387,9.162322107030979e-05,3.618597507503509
workflow1,Q2,Greedy,Q/A,Azure,eastus,q_a_azure_eastus_q2,0.5140327218699061,2.628956520522009e-07,0.5140329847655581
workflow1,Q2,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.9133265019360821,0.010286815418941024,0.9236133173550232
workflow1,Q2,Murakkab-style,Video Split & Sample,Aliyun,ap-southeast-1,video_split_and_sample_aliyun_ap-southeast-1_q2,0.03348863840431801,0.005138656538469428,0.03862729494278744
workflow1,Q2,Murakkab-style,Video Caption,Anthropic,global,video_caption_anthropic_global_q2,3.6185058842824387,0.0,3.6185058842824387
workflow1,Q2,Murakkab-style,Q/A,Anthropic,global,q_a_anthropic_global_q2,0.5140327218699061,0.0,0.5140327218699061
workflow1,Q2,Single-Cloud,Shot Detection,AWS,us-east-2,shot_detection_aws_us-east-2_q2,1.5222108365592375,0.013676112984718209,1.5358869495439558
workflow1,Q2,Single-Cloud,Video Split & Sample,AWS,us-east-2,video_split_and_sample_aws_us-east-2_q2,0.06088843346239713,0.006952300022635149,0.06784073348503228
workflow1,Q2,Single-Cloud,Video Caption,AWS,us-east-2,video_caption_aws_us-east-2_q2,3.6185058842824387,0.00011452902633788772,3.6186204133087765
workflow1,Q2,Single-Cloud,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q2,0.5140327218699061,3.2861956506525266e-07,0.5140330504894712
workflow1,Q3,SkyFlow,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.8773966407632011,0.009882136644012225,0.8872787774072134
workflow1,Q3,SkyFlow,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q3,0.03217121016131471,0.005105638228196041,0.03727684838951075
workflow1,Q3,SkyFlow,Video Caption,AWS,us-east-2,video_caption_aws_us-east-2_q3,16.255591946499052,0.00021988712732030297,16.25581183362637
workflow1,Q3,SkyFlow,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q3,4.218821986144963,1.369348071915583e-06,4.218823355493035
workflow1,Q3,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.8773966407632011,0.009882136644012225,0.8872787774072134
workflow1,Q3,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q3,0.03217121016131471,0.005105638228196041,0.03727684838951075
workflow1,Q3,Greedy,Video Caption,Azure,westus2,video_caption_azure_westus2_q3,16.255591946499052,0.00017590970185624337,16.255767856200908
workflow1,Q3,Greedy,Q/A,Azure,westus2,q_a_azure_westus2_q3,4.218821986144963,1.0954784575324598e-06,4.2188230816234205
workflow1,Q3,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.8773966407632011,0.009882136644012225,0.8872787774072134
workflow1,Q3,Murakkab-style,Video Split & Sample,Aliyun,ap-southeast-1,video_split_and_sample_aliyun_ap-southeast-1_q3,0.03217121016131471,0.005017101149094393,0.0371883113104091
workflow1,Q3,Murakkab-style,Video Caption,AWS,ap-southeast-1,video_caption_aws_ap-southeast-1_q3,16.255591946499052,0.00023900774708728584,16.25583095424614
workflow1,Q3,Murakkab-style,Q/A,Anthropic,global,q_a_anthropic_global_q3,4.218821986144963,0.0,4.218821986144963
workflow1,Q3,Single-Cloud,Shot Detection,AWS,us-east-2,shot_detection_aws_us-east-2_q3,1.4623277346047725,0.013138100740594254,1.4754658353453667
workflow1,Q3,Single-Cloud,Video Split & Sample,AWS,us-east-2,video_split_and_sample_aws_us-east-2_q3,0.0584931093842199,0.0067878427311277335,0.06528095211534764
workflow1,Q3,Single-Cloud,Video Caption,AWS,us-east-2,video_caption_aws_us-east-2_q3,16.255591946499052,0.00021988712732030297,16.25581183362637
workflow1,Q3,Single-Cloud,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q3,4.218821986144963,1.369348071915583e-06,4.218823355493035
