setting,method,status,expected_cost,avg_latency,p95_latency,svr,execution_cost,network_cost,storage_cost,breakdown_total,execution_cost_pct,network_cost_pct,storage_cost_pct
W1-Q1,SkyFlow,INFEASIBLE,1.2130651597532884,528.0033739582669,1260.508716279426,0.03566,1.4794131200603038,0.007028626569046221,0.015463272534439323,1.5019050191637895,98.50244197758867,0.4679807630551448,1.0295772593561714
W1-Q1,Greedy,optimal,1.2130559674648498,610.4063506904079,1513.9528082061665,0.06784,1.4794131200603038,0.007028590710645841,0.015454093357925464,1.5018958041288752,98.50304634936964,0.46798124685637177,1.028972403773982
W1-Q1,MLS,optimal,1.2131385026870742,587.9261201467829,1445.4395056623728,0.05846,,,,,,,
W1-Q1,SC,optimal,1.843148898531035,1275.7573306567697,2598.393870660869,0.59952,,,,,,,
W1-Q2,SkyFlow,INFEASIBLE,2.8338120419615924,2304.1140592025663,6687.79038237684,0.06676,5.089917119474538,0.01757890458998157,0.015630904866606486,5.123126928931126,99.35176680341361,0.3431284220328537,0.3051047745535298
W1-Q2,Greedy,optimal,2.8338120419615924,2304.1140592025663,6687.79038237684,0.06676,5.089917119474538,0.017578736612394338,0.01560794523473215,5.123103801321664,99.35221531450203,0.343126692218482,0.30465799327949583
W1-Q2,MLS,optimal,9.969290947283525,2724.7553283395505,7332.87590705352,0.08538,,,,,,,
W1-Q2,SC,optimal,3.45763853045911,2842.5361017516184,7037.060175845236,0.07326,,,,,,,
W1-Q3,SkyFlow,INFEASIBLE,6.89509967353863,3919.2489767757525,11274.446680512328,0.0657,14.568436356733457,0.03368578186017855,0.01516374398356756,14.617285882577203,99.66580987581305,0.23045168665907861,0.10373843752787032
W1-Q3,Greedy,optimal,6.89509967353863,3917.6052937102963,11272.928557222336,0.06564,14.568436356733457,0.03368578186017855,0.01516374398356756,14.617285882577203,99.66580987581305,0.23045168665907861,0.10373843752787032
W1-Q3,MLS,optimal,13.750067030853176,4256.645928242482,11713.742797111685,0.07184,,,,,,,
W1-Q3,SC,optimal,7.477678436754993,4250.921482282006,11443.037913291952,0.06652,,,,,,,
W2-Q1,SkyFlow,INFEASIBLE,2.8695574875864516,529.9732303969854,1268.2975626628715,0.03148,9.930331283273139,0.01430931946184808,0.020970633791740696,9.96561123652673,99.64598304693766,0.1435869724618642,0.21042998060046236
W2-Q1,Greedy,optimal,2.8695478132929337,612.6367057563125,1520.6115583579908,0.06274,9.930331283273139,0.014354117081177573,0.020955264150640397,9.965640664504958,99.64568879793568,0.14403606917419004,0.2102751328901276
W2-Q1,MLS,optimal,2.917979968457664,721.7481357785485,1451.0398079932475,0.05332,,,,,,,
W2-Q1,SC,optimal,8.371949321914501,1405.772131032078,2595.8111360332937,0.79394,,,,,,,
W2-Q2,SkyFlow,INFEASIBLE,4.549769587638231,2239.0328009837735,6420.484324189009,0.06624,32.950980190978136,0.034717554754441333,0.02070274903265901,33.006400494765245,99.83209225193794,0.10518431041866402,0.06272343764338202
W2-Q2,Greedy,optimal,4.549769576876212,2239.487672972488,6420.969281391245,0.06634,32.950980190978136,0.03480292103469959,0.02066229340031142,33.006445405413146,99.83195641410718,0.10544280248060828,0.06260078341220818
W2-Q2,MLS,optimal,11.52851850691602,2650.9887315540964,7057.930970787807,0.08576,,,,,,,
W2-Q2,SC,optimal,10.565307770502049,2768.4327207388624,6809.573258054225,0.07368,,,,,,,
W2-Q3,SkyFlow,INFEASIBLE,8.855713198150843,4012.4591940247547,11571.991761597867,0.06858,78.18592739115377,0.07007043155258245,0.02131924350667148,78.27731706621303,99.88324884080792,0.08951562748798793,0.027235531704079753
W2-Q3,Greedy,optimal,8.855713187397791,4011.1742056670346,11570.868842315796,0.06852,78.18592739115377,0.07022912144190976,0.021298827686431612,78.2774553402821,99.88307240094808,0.08971819681237056,0.027209402239562957
W2-Q3,MLS,optimal,15.923955681481992,4361.451893250786,11996.672529299072,0.07528,,,,,,,
W2-Q3,SC,optimal,15.211521916204376,4357.179721053583,11700.831038170836,0.06946,,,,,,,
