setting,method,internal_transfer_mb_mean,internal_cross_cloud_mb_mean,internal_cross_region_mb_mean,internal_cross_cloud_share,internal_cross_region_share,internal_network_latency_total_mean_sec,internal_network_latency_critical_path_mean_sec,internal_cross_cloud_network_latency_mean_sec,internal_cross_region_network_latency_mean_sec
W1-Q1,SkyFlow,9166.562670695988,61.07724657685833,61.07724657685833,0.006663047946217873,0.006663047946217873,10.16076076281738,10.16076076281738,10.160751657331955,10.160751657331955
W1-Q1,Greedy,9166.562670695988,61.07724657685833,61.07724657685833,0.006663047946217873,0.006663047946217873,4.6743576207200155,4.6743576207200155,4.674348515234591,4.674348515234591
W1-Q1,MLS,9166.562670695988,61.07724657685833,61.07724657685833,0.006663047946217873,0.006663047946217873,6.081561322417279,6.081561322417279,6.081552216931854,6.081552216931854
W1-Q1,SC,9166.562670695988,0.0,0.0,0.0,0.0,9.166562670695989e-06,9.166562670695989e-06,0.0,0.0
W1-Q2,SkyFlow,9286.318432524446,152.67051573126216,152.67051573126216,0.01644037051287712,0.01644037051287712,8.726455554570594,8.726455554570594,8.726446420922676,8.726446420922676
W1-Q2,Greedy,9286.318432524446,152.67051573126216,152.67051573126216,0.01644037051287712,0.01644037051287712,8.726455554570594,8.726455554570594,8.726446420922676,8.726446420922676
W1-Q2,MLS,9286.318432524446,152.67051573126216,9285.935535090894,0.01644037051287712,0.9999587675744339,429.4341018480977,429.4341018480977,16.568212619595908,429.43410184771477
W1-Q2,SC,9286.318432524446,0.0,0.0,0.0,0.0,9.286318432524446e-06,9.286318432524446e-06,0.0,0.0
W1-Q3,SkyFlow,9066.770922653193,292.06843814491407,292.06843814491407,0.03221306026550041,0.03221306026550041,24.84271300968989,24.84271300968989,24.84270423498741,24.84270423498741
W1-Q3,Greedy,9066.770922653193,292.06843814491407,292.06843814491407,0.03221306026550041,0.03221306026550041,23.199522489151125,23.199522489151125,23.199513714448642,23.199513714448642
W1-Q3,MLS,9066.770922653193,292.06843814491407,9066.034845776812,0.03221306026550041,0.9999188159839197,431.0532096759564,431.0532096759564,34.42682422293107,431.0532096752203
W1-Q3,SC,9066.770922653193,0.0,0.0,0.0,0.0,9.066770922653193e-06,9.066770922653193e-06,0.0,0.0
W2-Q1,SkyFlow,9361.485844838488,122.97171970640166,122.97171970640166,0.01313591899241111,0.01313591899241111,15.788029229458376,10.352207003936664,15.78801999094425,15.78801999094425
W2-Q1,Greedy,9361.485844838488,122.97171970640166,122.97171970640166,0.01313591899241111,0.01313591899241111,9.74579561531876,4.974528062936125,9.745786376804634,9.745786376804634
W2-Q1,MLS,9361.485844838488,122.97171970640166,184.83118435841135,0.01313591899241111,0.019743787195952354,17.654428173061746,8.653105548045682,14.84253245805527,17.654418996407085
W2-Q1,SC,9361.485844838488,0.0,19.03202697182242,0.0,0.002033013486028593,1.1330047521769098,0.9160881388892999,0.0,1.1329954097230919
W2-Q2,SkyFlow,9402.019043240995,299.089449969737,299.089449969737,0.03181119380786077,0.03181119380786077,20.102392413006186,11.487043003526717,20.10238331007659,20.10238331007659
W2-Q2,Greedy,9402.019043240995,299.089449969737,299.089449969737,0.03181119380786077,0.03181119380786077,20.100742550630113,11.485393141150645,20.100733447700517,20.100733447700517
W2-Q2,MLS,9402.019043240995,299.089449969737,9235.033685813713,0.03181119380786077,0.9822394151022992,422.32014195142506,420.2476491404493,18.314693691657315,422.3201417844398
W2-Q2,SC,9402.019043240995,0.0,0.0,0.0,0.0,9.402019043240994e-06,9.08519137435645e-06,0.0,0.0
W2-Q3,SkyFlow,9977.143244448027,604.1461179940966,604.1461179940966,0.06055301634867128,0.06055301634867128,57.20008004665126,31.42677758874963,57.20007067365413,57.20007067365413
W2-Q3,Greedy,9977.143244448027,604.1461179940966,604.1461179940966,0.06055301634867128,0.06055301634867128,39.19192839919982,24.13990298436732,39.19191902620269,39.19191902620269
W2-Q3,MLS,9977.143244448027,604.1461179940966,9657.737940268411,0.06055301634867128,0.9679862966428436,449.8662185713549,444.8514921279794,39.03059230426105,449.86621825194965
W2-Q3,SC,9977.143244448027,0.0,0.0,0.0,0.0,9.977143244448026e-06,9.355056706491332e-06,0.0,0.0
