setting,workflow,quality,method,transfer_mb_mean,cross_cloud_mb_mean,cross_region_mb_mean,same_region_mb_mean,cross_cloud_share,cross_region_share,network_latency_total_mean_sec,network_latency_total_p95_sec,network_latency_critical_path_mean_sec,network_latency_critical_path_p95_sec,cross_cloud_network_latency_mean_sec,cross_region_network_latency_mean_sec
W1-Q1,workflow1,Q1,SkyFlow,18271.895774531164,9166.410350412036,9166.410350412036,9105.48542411913,0.5016671758378195,0.5016671758378195,136.91506207091135,258.996582898045,136.91506207091135,258.996582898045,136.91505296542593,136.91505296542593
W1-Q1,workflow1,Q1,Greedy,18271.895774531164,9166.410350412036,9166.410350412036,9105.48542411913,0.5016671758378195,0.5016671758378195,131.42897412641673,248.46577649591006,131.42897412641673,248.46577649591003,131.4289650209313,131.4289650209313
W1-Q1,workflow1,Q1,MLS,18271.895774531164,9166.410350412036,9166.410350412036,9105.48542411913,0.5016671758378195,0.5016671758378195,132.8363250712551,251.13939154616853,132.8363250712551,251.13939154616855,132.83631596576967,132.83631596576967
W1-Q1,workflow1,Q1,SC,18271.895774531164,9105.333103835177,9105.333103835177,9166.562670695988,0.4983244878468999,0.4983244878468999,814.0139745618063,1538.4805046331348,814.0139745618063,1538.4805046331348,814.0139653952438,814.0139653952438
W1-Q2,workflow1,Q2,SkyFlow,18419.58374489591,9285.935828102729,9285.935828102729,9133.647916793183,0.5041338586533408,0.5041338586533408,106.47815427714023,199.35932525425127,106.47815427714023,199.35932525425125,106.47814514349233,106.47814514349233
W1-Q2,workflow1,Q2,Greedy,18419.58374489591,9285.935828102729,9285.935828102729,9133.647916793183,0.5041338586533408,0.5041338586533408,106.47815427714023,199.35932525425127,106.47815427714023,199.35932525425125,106.47814514349233,106.47814514349233
W1-Q2,workflow1,Q2,MLS,18419.58374489591,9285.935828102729,18419.200847462358,0.3828974335523941,0.5041338586533408,0.9999792124817338,527.187974059605,987.3624045180317,527.187974059605,987.3624045180317,114.32208483110324,527.1879740592221
W1-Q2,workflow1,Q2,SC,18419.58374489591,9133.265312371466,9133.265312371466,9286.318432524446,0.49584536973601834,0.49584536973601834,998.2994232051925,1868.2566082393673,998.2994232051927,1868.2566082393673,998.2994139188743,998.2994139188743
W1-Q3,workflow1,Q3,SkyFlow,17840.737623196932,9066.035138688652,9066.035138688652,8774.702484508281,0.5081648152765157,0.5081648152765157,242.22573119057714,463.4373035757981,242.22573119057714,463.4373035757981,242.22572241587469,242.22572241587469
W1-Q3,workflow1,Q3,Greedy,17840.737623196932,9066.035138688652,9066.035138688652,8774.702484508281,0.5081648152765157,0.5081648152765157,240.58204812512085,460.25548916258805,240.58204812512085,460.25548916258805,240.58203935041837,240.58203935041837
W1-Q3,workflow1,Q3,MLS,17840.737623196932,9066.035138688652,17840.001546320553,0.7360768763812792,0.5081648152765157,0.9999587417912911,648.4344798311699,1239.7098456597205,648.4344798311699,1239.7098456597205,251.80809437814472,648.4344798304339
W1-Q3,workflow1,Q3,SC,17840.737623196932,8773.966700543739,8773.966700543739,9066.770922653193,0.49179394293292156,0.49179394293292156,836.7401031917628,1598.7480483042114,836.7401031917628,1598.7480483042114,836.7400941249919,836.7400941249919
W2-Q1,workflow2,Q1,SkyFlow,27678.319968400745,18439.80584326866,18439.80584326866,9238.514125132086,0.6662183927464046,0.6662183927464046,269.82816277314265,503.6961762230969,137.84553218651146,257.32171224753347,269.82815353462854,269.82815353462854
W2-Q1,workflow2,Q1,Greedy,27678.319968400745,18439.80584326866,18439.80584326866,9238.514125132086,0.6662183927464046,0.6662183927464046,263.7856259232067,492.31950786207784,132.46755000971453,247.17822274313409,263.7856166846925,263.7856166846925
W2-Q1,workflow2,Q1,MLS,27678.319968400745,18439.80584326866,18501.66530792067,9176.654660480075,0.6662183927464046,0.668453335644768,700.2691119850487,1307.2524013987345,555.252511294405,1037.3184451785569,697.4572162700422,700.269102808394
W2-Q1,workflow2,Q1,SC,27678.319968400745,18316.83412356226,18335.866150534082,9342.453817866664,0.6617755031545944,0.6624631181179863,2053.412077639545,3836.692530732253,1234.5017755756157,2306.6317246729104,2052.2790728873674,2053.4120682970906
