workflow,quality_level,query_count,eta,calibration_scenarios_per_query,initial_active_fraction,initial_active_strategy,active_batch_fraction,test_scenarios_per_query,calibration_scenario_count,test_scenario_count,method,solver_method,status,reused_last_feasible,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,success_rate,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,assignment_signature,error,process_exitcode
workflow1,Q2,200,0.1,50,0.3,qbr,0.05,50,10000,10000,full_milp,full_milp,OPTIMAL,False,5.837361214315748,5.833362947739824,4343.167622622689,8468.53091770007,9163.2291849401,0.0077,0.9923,24.44316839997191,69.67469829996116,1360.03515625,1,10000,1.0,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow1,Q2,200,0.1,50,0.3,qbr,0.05,50,10000,10000,decomposed_milp,decomposition,OPTIMAL,False,5.837310179633105,5.833362947739824,4343.167622622689,8468.53091770007,9163.2291849401,0.0077,0.9923,15.514687900082208,63.148911600001156,754.0078125,2,3055,0.3055,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow1,Q2,400,0.1,50,0.3,qbr,0.05,50,20000,20000,full_milp,full_milp,OPTIMAL,False,6.0255356147522425,6.020176034857868,4480.375959404422,8446.497647673255,9047.452277727854,0.00815,0.99185,57.15390459995251,134.93532779999077,2466.6796875,1,20000,1.0,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow1,Q2,400,0.1,50,0.3,qbr,0.05,50,20000,20000,decomposed_milp,decomposition,OPTIMAL,False,6.02505677157927,6.020179349691006,4480.481497854309,8446.659486455183,9047.626518440218,0.0082,0.9918,48.29054309998173,156.529061700101,1178.09375,3,7115,0.35575,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow1,Q2,600,0.1,50,0.3,qbr,0.05,50,30000,30000,full_milp,full_milp,OPTIMAL,False,6.157364112289094,6.149854547996033,4575.7167951513775,8434.229623180687,9063.427562470324,0.0077,0.9923,85.20827669999562,196.8148023999529,3609.1484375,1,30000,1.0,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow1,Q2,600,0.1,50,0.3,qbr,0.05,50,30000,30000,decomposed_milp,decomposition,OPTIMAL,False,6.156872515064577,6.149854547996033,4575.7167951513775,8434.229623180687,9063.427562470324,0.0077,0.9923,85.87098439992405,242.8109453000361,1633.2421875,3,10658,0.3552666666666667,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow1,Q2,800,0.1,50,0.3,qbr,0.05,50,40000,40000,full_milp,full_milp,OPTIMAL,False,6.091724672016016,6.084567663652286,4527.901001213322,8469.3130095759,9096.935977476916,0.008225,0.991775,138.4419227000326,286.668371799984,4778.6953125,1,40000,1.0,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow1,Q2,800,0.1,50,0.3,qbr,0.05,50,40000,40000,decomposed_milp,decomposition,OPTIMAL,False,6.091271935790082,6.084567663652286,4527.901001213322,8469.3130095759,9096.935977476916,0.008225,0.991775,80.38591549987905,226.90450040006544,2020.71875,2,14000,0.35,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow1,Q2,1000,0.1,50,0.3,qbr,0.05,50,50000,50000,full_milp,full_milp,OPTIMAL,False,6.0696884641234305,6.064170353822108,4512.827894818881,8490.272492015707,9102.379858446815,0.00846,0.99154,180.10805080004502,363.33519800007343,5889.42578125,1,50000,1.0,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow1,Q2,1000,0.1,50,0.3,qbr,0.05,50,50000,50000,decomposed_milp,decomposition,OPTIMAL,False,6.069630159628371,6.064170353822108,4512.827894818881,8490.272492015707,9102.379858446815,0.00846,0.99154,148.758395700017,387.48570859991014,2271.76953125,3,15275,0.3055,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0
workflow1,Q3,200,0.1,50,0.3,qbr,0.05,50,10000,10000,full_milp,full_milp,OPTIMAL,False,17.843223140464048,17.834706421714902,5577.373518554225,10541.083687704471,11475.230526486996,0.045,0.955,35.67288019997068,80.05365239991806,1333.31640625,1,10000,1.0,"[[""Q/A"", ""q_a_aws_us-east-2_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_us-east-2_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0
workflow1,Q3,200,0.1,50,0.3,qbr,0.05,50,10000,10000,decomposed_milp,decomposition,OPTIMAL,False,17.84278391093199,17.834706421714902,5577.373518554225,10541.083687704471,11475.230526486996,0.045,0.955,74.40626009996049,195.62900129996706,875.6796875,6,4010,0.401,"[[""Q/A"", ""q_a_aws_us-east-2_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_us-east-2_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0
workflow1,Q3,400,0.1,50,0.3,qbr,0.05,50,20000,20000,full_milp,full_milp,OPTIMAL,False,17.741648701866854,17.73505056831425,5545.888190044012,10524.32338610397,11536.88610685946,0.0414,0.9586,107.81813369994052,204.25450109993108,2551.58203125,1,20000,1.0,"[[""Q/A"", ""q_a_aws_us-east-2_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_us-east-2_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0
workflow1,Q3,400,0.1,50,0.3,qbr,0.05,50,20000,20000,decomposed_milp,decomposition,OPTIMAL,False,17.741249251729478,17.73505056831425,5545.888190044012,10524.32338610397,11536.88610685946,0.0414,0.9586,95.28439929999877,237.3782381999772,1267.359375,3,8000,0.4,"[[""Q/A"", ""q_a_aws_us-east-2_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_us-east-2_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0
workflow1,Q3,600,0.1,50,0.3,qbr,0.05,50,30000,30000,full_milp,full_milp,OPTIMAL,False,17.426877027567127,17.41516518206291,5445.247285304051,10500.716940240569,11521.543168034512,0.039466666666666664,0.9605333333333334,147.60665359999985,289.85311090003233,3691.2421875,1,30000,1.0,"[[""Q/A"", ""q_a_aws_us-east-2_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_us-east-2_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0
workflow1,Q3,600,0.1,50,0.3,qbr,0.05,50,30000,30000,decomposed_milp,decomposition,OPTIMAL,False,17.426492075522997,17.41516518206291,5445.247285304051,10500.716940240569,11521.543168034512,0.039466666666666664,0.9605333333333334,163.416424099938,360.56118349998724,1855.8359375,3,12000,0.4,"[[""Q/A"", ""q_a_aws_us-east-2_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_us-east-2_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0
workflow1,Q3,800,0.1,50,0.3,qbr,0.05,50,40000,40000,full_milp,full_milp,OPTIMAL,False,17.352515311745716,17.340167178229567,5421.687146055955,10412.57468010464,11449.500738729917,0.039425,0.960575,189.56841250008438,372.4598179999739,4596.62890625,1,40000,1.0,"[[""Q/A"", ""q_a_aws_us-east-2_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_us-east-2_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0
workflow1,Q3,800,0.1,50,0.3,qbr,0.05,50,40000,40000,decomposed_milp,decomposition,OPTIMAL,False,17.35215243136483,17.340167178229567,5421.687146055955,10412.57468010464,11449.500738729917,0.039425,0.960575,246.4511557999067,485.1498043999309,2360.6171875,3,16000,0.4,"[[""Q/A"", ""q_a_aws_us-east-2_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_us-east-2_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0
