workflow,quality_level,query_count,full_status,skyflow_status,full_expected_cost,skyflow_expected_cost,skyflow_cost_gap_abs,skyflow_cost_gap_pct,full_violation_rate,skyflow_violation_rate,full_success_rate,skyflow_success_rate,full_avg_latency,skyflow_avg_latency,full_p95_latency,skyflow_p95_latency,full_solver_runtime_sec,skyflow_solver_runtime_sec,solver_runtime_speedup,full_wall_time_sec,skyflow_wall_time_sec,wall_time_speedup,full_peak_memory_mb,skyflow_peak_memory_mb,memory_reduction_mb,memory_reduction_pct
workflow1,Q2,200,OPTIMAL,OPTIMAL,5.833362947739824,5.833362947739824,0.0,0.0,0.0077,0.0077,0.9923,0.9923,4343.167622622689,4343.167622622689,8468.53091770007,8468.53091770007,24.44316839997191,15.514687900082208,1.5754856660598626,69.67469829996116,63.148911600001156,1.1033396543917613,1360.03515625,754.0078125,606.02734375,44.559682223288114
workflow1,Q2,400,OPTIMAL,OPTIMAL,6.020176034857868,6.020179349691006,3.314833137757489e-06,5.506206327795114e-05,0.00815,0.0082,0.99185,0.9918,4480.375959404422,4480.481497854309,8446.497647673255,8446.659486455183,57.15390459995251,48.29054309998173,1.1835423859619862,134.93532779999077,156.529061700101,0.8620464873067318,2466.6796875,1178.09375,1288.5859375,52.23969468066575
workflow1,Q2,600,OPTIMAL,OPTIMAL,6.149854547996033,6.149854547996033,0.0,0.0,0.0077,0.0077,0.9923,0.9923,4575.7167951513775,4575.7167951513775,8434.229623180687,8434.229623180687,85.20827669999562,85.87098439992405,0.9922825188908744,196.8148023999529,242.8109453000361,0.8105680827392406,3609.1484375,1633.2421875,1975.90625,54.747159453731946
workflow1,Q2,800,OPTIMAL,OPTIMAL,6.084567663652286,6.084567663652286,0.0,0.0,0.008225,0.008225,0.991775,0.991775,4527.901001213322,4527.901001213322,8469.3130095759,8469.3130095759,138.4419227000326,80.38591549987905,1.7222161598724455,286.668371799984,226.90450040006544,1.263387774568359,4778.6953125,2020.71875,2757.9765625,57.714007320905125
workflow1,Q2,1000,OPTIMAL,OPTIMAL,6.064170353822108,6.064170353822108,0.0,0.0,0.00846,0.00846,0.99154,0.99154,4512.827894818881,4512.827894818881,8490.272492015707,8490.272492015707,180.10805080004502,148.758395700017,1.210742089228006,363.33519800007343,387.48570859991014,0.9376738030233451,5889.42578125,2271.76953125,3617.65625,61.42629832465893
workflow1,Q3,200,OPTIMAL,OPTIMAL,17.834706421714902,17.834706421714902,0.0,0.0,0.045,0.045,0.955,0.955,5577.373518554225,5577.373518554225,10541.083687704471,10541.083687704471,35.67288019997068,74.40626009996049,0.4794338561304685,80.05365239991806,195.62900129996706,0.4092115783853953,1333.31640625,875.6796875,457.63671875,34.3231896498686
workflow1,Q3,400,OPTIMAL,OPTIMAL,17.73505056831425,17.73505056831425,0.0,0.0,0.0414,0.0414,0.9586,0.9586,5545.888190044012,5545.888190044012,10524.32338610397,10524.32338610397,107.81813369994052,95.28439929999877,1.131540257293115,204.25450109993108,237.3782381999772,0.860460093767562,2551.58203125,1267.359375,1284.22265625,50.33044756240384
workflow1,Q3,600,OPTIMAL,OPTIMAL,17.41516518206291,17.41516518206291,0.0,0.0,0.039466666666666664,0.039466666666666664,0.9605333333333334,0.9605333333333334,5445.247285304051,5445.247285304051,10500.716940240569,10500.716940240569,147.60665359999985,163.416424099938,0.9032547029038548,289.85311090003233,360.56118349998724,0.8038943850982855,3691.2421875,1855.8359375,1835.40625,49.72326812408594
workflow1,Q3,800,OPTIMAL,OPTIMAL,17.340167178229567,17.340167178229567,0.0,0.0,0.039425,0.039425,0.960575,0.960575,5421.687146055955,5421.687146055955,10412.57468010464,10412.57468010464,189.56841250008438,246.4511557999067,0.7691926292039575,372.4598179999739,485.1498043999309,0.7677212576858806,4596.62890625,2360.6171875,2236.01171875,48.644599430458975
workflow1,Q3,1000,OPTIMAL,OPTIMAL,17.291366163196304,17.291366163196304,0.0,0.0,0.04092,0.04092,0.95908,0.95908,5409.0345084704795,5409.0345084704795,10464.582744524885,10464.582744524885,244.4858614000259,353.1501120000612,0.6923001100449419,426.65554169996176,606.2290782000637,0.7037860060535727,5944.81640625,2686.46484375,3258.3515625,54.80996114656085
