workflow,quality_level,query_count,eta,calibration_scenarios_per_query,test_scenarios_per_query,calibration_scenario_count,test_scenario_count,method,solver_method,status,reused_last_feasible,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,assignment_signature,error,process_exitcode
workflow1,Q1,100,0.15,50,50.0,5000,5000.0,full_milp,full_milp,OPTIMAL,False,1.273221693221235,1.2749455297135777,360.1597866016659,789.5862908454205,1182.4787269405408,0.0002,7.587548499999684,23.926029416994425,1088.46875,1,5000,1.0,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,100,0.15,50,50.0,5000,5000.0,decomposed_milp,decomposition,OPTIMAL,False,1.273221693221235,1.2749455297135777,360.1597866016659,789.5862908454205,1182.4787269405408,0.0002,2.778172000005725,17.43884012500348,934.59375,1,1000,0.2,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,200,0.15,50,50.0,10000,10000.0,full_milp,full_milp,OPTIMAL,False,1.2817407908068637,1.2821938381905167,361.12317251429556,805.9655682792546,1196.0538778796588,0.0002,16.703896083010477,42.31670729200414,1509.28125,1,10000,1.0,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,200,0.15,50,50.0,10000,10000.0,decomposed_milp,decomposition,OPTIMAL,False,1.2817407908068637,1.2821938381905167,361.12317251429556,805.9655682792546,1196.0538778796588,0.0002,11.605258501003846,42.44798674999038,1557.96875,2,2001,0.2001,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,300,0.15,50,50.0,15000,15000.0,full_milp,full_milp,OPTIMAL,False,1.3111927096990819,1.3115217220344106,368.55101414496795,820.266432416038,1220.2885747321727,0.00046666666666666666,27.80201837500499,62.44291300000623,2257.296875,1,15000,1.0,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,300,0.15,50,50.0,15000,15000.0,decomposed_milp,decomposition,OPTIMAL,False,1.3111927096990819,1.3115217220344106,368.55101414496795,820.266432416038,1220.2885747321727,0.00046666666666666666,17.913179665993084,58.69170212499739,1973.984375,2,3003,0.2002,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,400,0.15,50,50.0,20000,20000.0,full_milp,full_milp,OPTIMAL,False,1.3322281703081915,1.3325786933035948,375.03132927299123,828.3958084435571,1232.1027082433134,0.00045,41.69344658400223,85.58310929100844,2780.015625,1,20000,1.0,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,400,0.15,50,50.0,20000,20000.0,decomposed_milp,decomposition,OPTIMAL,False,1.3322281703081915,1.3325786933035948,375.03132927299123,828.3958084435571,1232.1027082433134,0.00045,25.235840292996727,76.14014312499785,2413.09375,2,4005,0.20025,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,500,0.15,50,50.0,25000,25000.0,full_milp,full_milp,OPTIMAL,False,1.3573194892958607,1.3574592017176468,343.4945918021074,723.2378945813322,1039.780311031246,4e-05,50.58599950000644,103.72082958300598,2857.734375,1,25000,1.0,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,500,0.15,50,50.0,25000,25000.0,decomposed_milp,decomposition,OPTIMAL,False,1.3573061343135866,1.3574458800391394,381.5251712312061,833.7820797971347,1238.5092977857832,0.00052,31.306099417008227,91.93164870899636,2828.015625,2,5007,0.20028,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,600,0.15,50,50.0,30000,30000.0,full_milp,full_milp,OPTIMAL,False,1.3356990958605808,1.3361484994547033,376.3788626867875,828.1204974010543,1233.6352898995208,0.0005666666666666667,65.20460795800318,128.5705809170031,3897.984375,1,30000,1.0,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
