workflow,quality_level,query_count,eta,calibration_scenarios_per_query,test_scenarios_per_query,calibration_scenario_count,test_scenario_count,method,solver_method,status,reused_last_feasible,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,assignment_signature,error,process_exitcode
workflow1,Q1,200,0.3,50,50,10000,10000,full_milp,full_milp,OPTIMAL,False,1.1480838986094877,1.151633439511564,491.9286790129308,1205.4115605882146,1951.187673963303,0.0437,50.808871834000456,72.0910877080023,1647.484375,1,10000,1.0,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,200,0.3,50,50,10000,10000,decomposed_milp,decomposition,OPTIMAL,False,1.1480838986094877,1.151633439511564,491.9286790129308,1205.4115605882146,1951.187673963303,0.0437,56.046440583013464,104.24176120800257,1275.9375,6,4500,0.45,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,400,0.3,50,50,20000,20000,full_milp,full_milp,OPTIMAL,False,1.19244644321212,1.19612104403649,509.80033742127847,1233.35977061375,1943.2492031968561,0.04185,102.43924166700162,137.27451675001066,2660.328125,1,20000,1.0,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,400,0.3,50,50,20000,20000,decomposed_milp,decomposition,OPTIMAL,False,1.19244644321212,1.19612104403649,509.80033742127847,1233.35977061375,1943.2492031968561,0.04185,181.33145070800674,268.2051895409968,1657.609375,7,8855,0.44275,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,600,0.3,50,50,30000,30000,full_milp,full_milp,OPTIMAL,False,1.1958532575770033,1.1996555777196924,506.2490782543908,1234.5527819573635,1955.4018372205362,0.0414,302.02460133400746,350.2751670419966,4088.890625,1,30000,1.0,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,600,0.3,50,50,30000,30000,decomposed_milp,decomposition,OPTIMAL,False,1.1958493085436972,1.1996516248526405,511.7882100251108,1243.3611459989456,1966.0653665570171,0.0421,147.97295945801307,234.7043627499952,1849.390625,5,11961,0.3987,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,800,0.3,50,50,40000,40000,full_milp,full_milp,OPTIMAL,False,1.2055074844400058,1.2079414840372196,513.8099764516261,1246.506755275105,1965.1944417290645,0.042825,298.24644120800076,359.9340832079906,4282.15625,1,40000,1.0,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,800,0.3,50,50,40000,40000,decomposed_milp,decomposition,OPTIMAL,False,1.2055074844400058,1.2079414840372196,513.8099764516261,1246.506755275105,1965.1944417290645,0.042825,456.884756540996,583.8697732500004,2654.125,6,17339,0.433475,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,1000,0.3,50,50,50000,50000,full_milp,full_milp,OPTIMAL,False,1.2106788263275032,1.2130559674648498,598.181257188402,1497.5761839275672,2397.297345953193,0.07888,257.9685651250038,331.8971846659988,5422.296875,1,50000,1.0,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,1000,0.3,50,50,50000,50000,decomposed_milp,decomposition,OPTIMAL,False,1.2106788263275032,1.2130559674648498,598.181257188402,1497.5761839275672,2397.297345953193,0.07888,987.7670356680464,1192.172516583989,3158.09375,8,20571,0.41142,"[[""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
