query_id,workflow,quality_level,video_size_mb,video_duration_sec,fps,sla_sec
workflow1_Q1_q0000,workflow1,Q1,379.6522114319664,75.93044228639329,30.0,76.60963290254787
workflow1_Q1_q0001,workflow1,Q1,9408.939355459392,1881.7878710918783,30.0,1156.948857241303
workflow1_Q1_q0002,workflow1,Q1,12287.98696874983,2457.597393749966,30.0,1294.27681722212
workflow1_Q1_q0003,workflow1,Q1,824.0490175764539,164.80980351529078,30.0,140.3877837955926
workflow1_Q1_q0004,workflow1,Q1,7403.993368694966,1480.798673738993,30.0,965.0982251449516
workflow1_Q1_q0005,workflow1,Q1,16152.737400491436,3230.547480098287,30.0,2430.327109416796
workflow1_Q1_q0006,workflow1,Q1,12187.5467167487,2437.50934334974,30.0,1973.9177384878528
workflow1_Q1_q0007,workflow1,Q1,4506.553031482573,901.3106062965144,30.0,619.3064980611097
workflow1_Q1_q0008,workflow1,Q1,15394.225994484854,3078.845198896971,30.0,1477.738185756834
workflow1_Q1_q0009,workflow1,Q1,6460.156194348404,1292.0312388696807,30.0,987.3110804598304
workflow1_Q1_q0010,workflow1,Q1,15404.200679249852,3080.8401358499705,30.0,2282.0666672970947
workflow1_Q1_q0011,workflow1,Q1,5591.302624804628,1118.2605249609255,30.0,711.2095545380499
workflow1_Q1_q0012,workflow1,Q1,10748.668440631736,2149.733688126348,30.0,1280.668776577077
workflow1_Q1_q0013,workflow1,Q1,7325.839199136663,1465.1678398273327,30.0,1219.4925982988857
workflow1_Q1_q0014,workflow1,Q1,5164.403398364686,1032.8806796729373,30.0,931.2513138982504
workflow1_Q1_q0015,workflow1,Q1,15992.068850442083,3198.413770088417,30.0,1929.39433213354
workflow1_Q1_q0016,workflow1,Q1,3620.4081703289967,724.0816340657993,30.0,563.451459868765
workflow1_Q1_q0017,workflow1,Q1,1801.1651648730067,360.2330329746014,30.0,313.6198458515412
workflow1_Q1_q0018,workflow1,Q1,6352.106812258187,1270.4213624516376,30.0,1109.139875648784
workflow1_Q1_q0019,workflow1,Q1,13002.212913255746,2600.442582651149,30.0,2518.230503576966
workflow1_Q1_q0020,workflow1,Q1,14591.539425780184,2918.307885156037,30.0,1874.845445158516
workflow1_Q1_q0021,workflow1,Q1,17977.75765018174,3595.551530036348,30.0,2707.8169034248717
workflow1_Q1_q0022,workflow1,Q1,5545.608409097618,1109.1216818195237,30.0,692.3981824019762
workflow1_Q1_q0023,workflow1,Q1,7520.572535023694,1504.114507004739,30.0,1049.8427683320378
workflow1_Q1_q0024,workflow1,Q1,2721.736621124385,544.3473242248771,30.0,432.8647084142869
workflow1_Q1_q0025,workflow1,Q1,10475.233154327692,2095.046630865538,30.0,1648.3581149272015
workflow1_Q1_q0026,workflow1,Q1,17957.166659553634,3591.433331910727,30.0,3064.308318971971
workflow1_Q1_q0027,workflow1,Q1,12705.593879135657,2541.1187758271312,30.0,1784.7095464992688
workflow1_Q1_q0028,workflow1,Q1,10835.26727531668,2167.053455063336,30.0,1177.7784701347396
workflow1_Q1_q0029,workflow1,Q1,7244.932944715754,1448.9865889431508,30.0,1257.548617683256
workflow1_Q1_q0030,workflow1,Q1,16500.78805705432,3300.157611410864,30.0,2300.4824389179907
workflow1_Q1_q0031,workflow1,Q1,9095.423751507184,1819.084750301437,30.0,1113.712142072236
workflow1_Q1_q0032,workflow1,Q1,2678.2943656411885,535.6588731282377,30.0,338.9889308680929
workflow1_Q1_q0033,workflow1,Q1,6767.198798624662,1353.4397597249324,30.0,1026.5704623121562
workflow1_Q1_q0034,workflow1,Q1,1488.8500386054743,297.7700077210948,30.0,235.58080943046383
workflow1_Q1_q0035,workflow1,Q1,3875.0289670914335,775.0057934182868,30.0,457.0345951160315
workflow1_Q1_q0036,workflow1,Q1,612.7374236984459,122.5474847396892,30.0,106.54223284342116
workflow1_Q1_q0037,workflow1,Q1,8323.054522052893,1664.6109044105783,30.0,1081.02128160147
workflow1_Q1_q0038,workflow1,Q1,11531.36268964681,2306.272537929362,30.0,1189.383216491686
workflow1_Q1_q0039,workflow1,Q1,6376.276584106668,1275.2553168213335,30.0,967.1558902839392
workflow1_Q1_q0040,workflow1,Q1,7740.7573556434045,1548.151471128681,30.0,1146.1407765256909
workflow1_Q1_q0041,workflow1,Q1,17278.004129348996,3455.600825869799,30.0,1974.8510879427124
workflow1_Q1_q0042,workflow1,Q1,13609.747251876004,2721.9494503752007,30.0,2137.8032923473424
workflow1_Q1_q0043,workflow1,Q1,9873.162473925637,1974.6324947851272,30.0,1559.2970708543623
workflow1_Q1_q0044,workflow1,Q1,5336.373489479307,1067.2746978958614,30.0,600.5477726123997
workflow1_Q1_q0045,workflow1,Q1,16176.843338282017,3235.368667656403,30.0,2699.7358186196307
workflow1_Q1_q0046,workflow1,Q1,4461.218968787673,892.2437937575346,30.0,636.301409893655
workflow1_Q1_q0047,workflow1,Q1,6058.566330145183,1211.7132660290367,30.0,896.4680415223157
workflow1_Q1_q0048,workflow1,Q1,16390.44721528619,3278.089443057237,30.0,2052.4771636619967
workflow1_Q1_q0049,workflow1,Q1,9672.89437854578,1934.578875709156,30.0,1154.436615915855
workflow1_Q1_q0050,workflow1,Q1,13439.027704698188,2687.805540939637,30.0,1693.628596243418
workflow1_Q1_q0051,workflow1,Q1,10756.18285669866,2151.236571339732,30.0,1457.1434342650427
workflow1_Q1_q0052,workflow1,Q1,11865.873999468064,2373.174799893613,30.0,1590.1362584053024
workflow1_Q1_q0053,workflow1,Q1,5599.084259812413,1119.8168519624826,30.0,784.7947084547244
workflow1_Q1_q0054,workflow1,Q1,4572.285490791934,914.4570981583868,30.0,693.8525573352207
workflow1_Q1_q0055,workflow1,Q1,6008.114544885375,1201.622908977075,30.0,756.3267984577061
workflow1_Q1_q0056,workflow1,Q1,3051.315684276577,610.2631368553156,30.0,345.65518064783083
workflow1_Q1_q0057,workflow1,Q1,15775.364265647291,3155.072853129458,30.0,2443.09365591047
workflow1_Q1_q0058,workflow1,Q1,5313.470718527019,1062.6941437054038,30.0,919.3435579057364
workflow1_Q1_q0059,workflow1,Q1,10238.362281134609,2047.6724562269217,30.0,1485.107413150381
workflow1_Q1_q0060,workflow1,Q1,14317.947325002322,2863.5894650004643,30.0,2266.5547212771826
workflow1_Q1_q0061,workflow1,Q1,14173.68673595013,2834.737347190026,30.0,2130.507841188141
workflow1_Q1_q0062,workflow1,Q1,8059.436776940213,1611.8873553880428,30.0,986.4507308431156
workflow1_Q1_q0063,workflow1,Q1,8729.754361985044,1745.9508723970089,30.0,1589.575617521008
workflow1_Q1_q0064,workflow1,Q1,17906.220956149937,3581.244191229988,30.0,2470.25359844632
workflow1_Q1_q0065,workflow1,Q1,12240.375342528729,2448.075068505745,30.0,1417.9259374602416
workflow1_Q1_q0066,workflow1,Q1,14719.100443186524,2943.8200886373047,30.0,1987.907662867375
workflow1_Q1_q0067,workflow1,Q1,16275.205255180406,3255.041051036081,30.0,2474.668665241058
workflow1_Q1_q0068,workflow1,Q1,14240.340101259302,2848.0680202518606,30.0,1915.2375166071192
workflow1_Q1_q0069,workflow1,Q1,3577.674405678146,715.5348811356292,30.0,467.9036527584392
workflow1_Q1_q0070,workflow1,Q1,10250.421987155029,2050.084397431005,30.0,1605.4097928950212
workflow1_Q1_q0071,workflow1,Q1,2103.5265844674445,420.7053168934889,30.0,338.3191496067923
workflow1_Q1_q0072,workflow1,Q1,11856.721640182774,2371.3443280365545,30.0,1557.7382512377435
workflow1_Q1_q0073,workflow1,Q1,17209.684878924254,3441.936975784851,30.0,1730.6626315462654
workflow1_Q1_q0074,workflow1,Q1,9375.35753811197,1875.071507622394,30.0,1289.8139760406536
workflow1_Q1_q0075,workflow1,Q1,7963.613123759479,1592.722624751896,30.0,1241.3970480629437
workflow1_Q1_q0076,workflow1,Q1,934.4167001014883,186.88334002029765,30.0,127.05875371127529
workflow1_Q1_q0077,workflow1,Q1,17288.009045227198,3457.60180904544,30.0,1713.2490174560708
workflow1_Q1_q0078,workflow1,Q1,2123.1475091038105,424.6295018207621,30.0,285.5832021614149
workflow1_Q1_q0079,workflow1,Q1,1027.0999514957907,205.41999029915817,30.0,231.7441377298546
workflow1_Q1_q0080,workflow1,Q1,4655.379023637411,931.075804727482,30.0,600.3086491607136
workflow1_Q1_q0081,workflow1,Q1,1459.8886803553687,291.97773607107376,30.0,232.00009293230173
workflow1_Q1_q0082,workflow1,Q1,8355.585810688193,1671.1171621376386,30.0,1132.3805240721354
workflow1_Q1_q0083,workflow1,Q1,9434.754082250887,1886.950816450178,30.0,1165.2554716051245
workflow1_Q1_q0084,workflow1,Q1,5832.488097805936,1166.497619561187,30.0,759.8014572047422
workflow1_Q1_q0085,workflow1,Q1,1202.000541575483,240.40010831509665,30.0,213.0180919124105
workflow1_Q1_q0086,workflow1,Q1,2275.3265180113126,455.0653036022626,30.0,307.9208421809677
workflow1_Q1_q0087,workflow1,Q1,7105.727490421727,1421.1454980843455,30.0,1034.748187125469
workflow1_Q1_q0088,workflow1,Q1,1371.3535796296894,274.2707159259379,30.0,171.297493768709
workflow1_Q1_q0089,workflow1,Q1,12657.95814329547,2531.5916286590937,30.0,2177.719067547741
workflow1_Q1_q0090,workflow1,Q1,3964.263584989172,792.8527169978344,30.0,633.3787247134226
