query_id,workflow,quality_level,video_size_mb,video_duration_sec,fps,sla_sec
workflow1_Q1_q0000,workflow1,Q1,4179.464288203797,3343.571430563037,30.0,7046.77051443279
workflow1_Q1_q0001,workflow1,Q1,1834.2835076753624,1467.42680614029,30.0,3083.5371480411573
workflow1_Q1_q0002,workflow1,Q1,1406.6979611306583,1125.3583689045267,30.0,2400.841796406102
workflow1_Q1_q0003,workflow1,Q1,2236.9844006805347,1789.587520544428,30.0,3788.1518276856164
workflow1_Q1_q0004,workflow1,Q1,3008.174141478853,2406.539313183082,30.0,5071.930905161068
workflow1_Q1_q0005,workflow1,Q1,4303.632912432842,3442.9063299462737,30.0,7192.789247429788
workflow1_Q1_q0006,workflow1,Q1,1342.5245539530931,1074.0196431624747,30.0,2288.438353969734
workflow1_Q1_q0007,workflow1,Q1,4167.27729970572,3333.821839764576,30.0,6977.025291139522
workflow1_Q1_q0008,workflow1,Q1,185.0032493841842,148.00259950734736,30.0,396.24084556380734
workflow1_Q1_q0009,workflow1,Q1,2531.7513372961994,2025.401069836959,30.0,4252.650102638899
workflow1_Q1_q0010,workflow1,Q1,2880.3398691888015,2304.271895351041,30.0,4824.494283754293
workflow1_Q1_q0011,workflow1,Q1,543.5960115970834,434.87680927766667,30.0,971.185993430977
workflow1_Q1_q0012,workflow1,Q1,696.0027170078133,556.8021736062507,30.0,1229.8248760755564
workflow1_Q1_q0013,workflow1,Q1,1929.5808629746443,1543.6646903797157,30.0,3256.2673170268777
workflow1_Q1_q0014,workflow1,Q1,4350.57621123358,3480.4609689868635,30.0,7303.2950209670125
workflow1_Q1_q0015,workflow1,Q1,2712.4882980621,2169.99063844968,30.0,4564.153814776896
workflow1_Q1_q0016,workflow1,Q1,4203.627755580935,3362.9022044647477,30.0,7018.136331188265
workflow1_Q1_q0017,workflow1,Q1,3634.297051587396,2907.4376412699166,30.0,6094.294486816957
workflow1_Q1_q0018,workflow1,Q1,2143.163586882165,1714.530869505732,30.0,3636.298688296342
workflow1_Q1_q0019,workflow1,Q1,3547.578262940929,2838.0626103527434,30.0,6014.0554081552455
workflow1_Q1_q0020,workflow1,Q1,153.92776909817073,123.14221527853658,30.0,343.05020530291284
workflow1_Q1_q0021,workflow1,Q1,557.9621856883771,446.3697485507017,30.0,998.2522776299535
workflow1_Q1_q0022,workflow1,Q1,3745.221620856108,2996.177296684886,30.0,6287.7720868023225
workflow1_Q1_q0023,workflow1,Q1,3600.9156158388405,2880.7324926710726,30.0,6092.674610019912
workflow1_Q1_q0024,workflow1,Q1,1104.435283201469,883.5482265611753,30.0,1887.232188890874
workflow1_Q1_q0025,workflow1,Q1,2423.6554384008114,1938.9243507206493,30.0,4072.9554470025346
workflow1_Q1_q0026,workflow1,Q1,2756.620006597548,2205.2960052780386,30.0,4609.35687099666
workflow1_Q1_q0027,workflow1,Q1,3914.744870458849,3131.7958963670794,30.0,6547.338800168177
workflow1_Q1_q0028,workflow1,Q1,2743.7491712238607,2194.9993369790886,30.0,4611.357318540713
workflow1_Q1_q0029,workflow1,Q1,1900.6291940360356,1520.5033552288285,30.0,3195.472027321913
workflow1_Q1_q0030,workflow1,Q1,1730.7643920767832,1384.611513661427,30.0,2942.4292003389373
workflow1_Q1_q0031,workflow1,Q1,1959.5282322027813,1567.622585762225,30.0,3327.684090519864
workflow1_Q1_q0032,workflow1,Q1,2959.794788191386,2367.8358305531087,30.0,5007.365655264487
workflow1_Q1_q0033,workflow1,Q1,3913.646045504038,3130.9168364032303,30.0,6505.627634941516
workflow1_Q1_q0034,workflow1,Q1,2083.493703187626,1666.794962550101,30.0,3516.8917493843173
workflow1_Q1_q0035,workflow1,Q1,1171.6900660597596,937.3520528478076,30.0,1982.7507850400675
workflow1_Q1_q0036,workflow1,Q1,1122.2309562642963,897.7847650114372,30.0,1931.5244304455305
workflow1_Q1_q0037,workflow1,Q1,3376.1131900772502,2700.8905520618005,30.0,5695.011493181975
workflow1_Q1_q0038,workflow1,Q1,3688.316778150803,2950.653422520643,30.0,6222.239506371718
workflow1_Q1_q0039,workflow1,Q1,540.8555033545028,432.68440268360234,30.0,973.80803562514
workflow1_Q1_q0040,workflow1,Q1,369.5229420266634,295.6183536213307,30.0,695.7744643876872
workflow1_Q1_q0041,workflow1,Q1,2705.3689621222993,2164.2951696978394,30.0,4540.940095729028
workflow1_Q1_q0042,workflow1,Q1,721.8166055526899,577.4532844421519,30.0,1264.6099765568515
workflow1_Q1_q0043,workflow1,Q1,3724.13904276931,2979.311234215448,30.0,6255.769918651224
workflow1_Q1_q0044,workflow1,Q1,1448.2309321140294,1158.5847456912236,30.0,2453.2433689809445
workflow1_Q1_q0045,workflow1,Q1,711.6333033973062,569.306642717845,30.0,1267.2646113730946
workflow1_Q1_q0046,workflow1,Q1,4150.294340756966,3320.2354726055737,30.0,7014.677882111741
workflow1_Q1_q0047,workflow1,Q1,807.477873103606,645.9822984828847,30.0,1404.7810942660294
workflow1_Q1_q0048,workflow1,Q1,1334.8863643453649,1067.909091476292,30.0,2277.5372139744168
workflow1_Q1_q0049,workflow1,Q1,754.7392737248595,603.7914189798876,30.0,1322.3408977763615
workflow1_Q1_q0050,workflow1,Q1,586.0435317191958,468.8348253753566,30.0,1042.3132486242678
workflow1_Q1_q0051,workflow1,Q1,168.57997228874717,134.86397783099773,30.0,360.5166781258864
workflow1_Q1_q0052,workflow1,Q1,320.12468555185103,256.0997484414808,30.0,605.1420168350419
workflow1_Q1_q0053,workflow1,Q1,847.7885088911482,678.2308071129186,30.0,1486.8775989211224
workflow1_Q1_q0054,workflow1,Q1,311.2150518752511,248.97204150020087,30.0,608.4627232744939
workflow1_Q1_q0055,workflow1,Q1,2690.8113862910477,2152.649109032838,30.0,4513.708290287678
workflow1_Q1_q0056,workflow1,Q1,3087.161781087816,2469.729424870253,30.0,5208.145178429191
workflow1_Q1_q0057,workflow1,Q1,1816.814771481725,1453.45181718538,30.0,3076.4754022880165
workflow1_Q1_q0058,workflow1,Q1,1482.1106040128184,1185.6884832102548,30.0,2527.416875947924
workflow1_Q1_q0059,workflow1,Q1,2307.528598823368,1846.0228790586943,30.0,3861.1870214414475
