"eta","workflow","quality","method","returncode","elapsed_sec"
"0.025","workflow1","Q1","decomposition","1","1.5"
"0.025","workflow1","Q2","decomposition","1","0.8"
"0.025","workflow1","Q3","decomposition","1","0.8"
"0.025","workflow2","Q1","decomposition","1","0.8"
"0.025","workflow2","Q2","decomposition","1","0.8"
"0.025","workflow2","Q3","decomposition","1","0.8"
"0.0375","workflow1","Q1","decomposition","1","0.8"
"0.0375","workflow1","Q2","decomposition","1","0.8"
"0.0375","workflow1","Q3","decomposition","1","0.9"
"0.0375","workflow2","Q1","decomposition","1","0.8"
"0.0375","workflow2","Q2","decomposition","1","0.8"
"0.0375","workflow2","Q3","decomposition","1","0.8"
"0.05","workflow1","Q1","decomposition","1","0.8"
"0.05","workflow1","Q2","decomposition","1","0.8"
"0.05","workflow1","Q3","decomposition","1","0.8"
"0.05","workflow2","Q1","decomposition","1","0.8"
"0.05","workflow2","Q2","decomposition","1","0.8"
"0.05","workflow2","Q3","decomposition","1","0.8"
"0.0625","workflow1","Q1","decomposition","1","0.8"
"0.0625","workflow1","Q2","decomposition","1","0.8"
"0.0625","workflow1","Q3","decomposition","1","0.8"
"0.0625","workflow2","Q1","decomposition","1","0.8"
"0.0625","workflow2","Q2","decomposition","1","0.8"
"0.0625","workflow2","Q3","decomposition","1","0.8"
