setting,method,source
workflow1_Q1,decomposition,results/current_budget_W1Q1_W2Q1_all_algorithms/workflow1_Q1/decomposition
workflow1_Q1,dpgm,results/current_budget_W1Q1_W2Q1_all_algorithms/workflow1_Q1/dpgm
workflow1_Q1,greedy,results/current_budget_W1Q1_W2Q1_all_algorithms/workflow1_Q1/greedy
workflow1_Q1,mtgp,results/current_budget_W1Q1_W2Q1_all_algorithms/workflow1_Q1/mtgp
workflow1_Q1,single_cloud,results/current_budget_W1Q1_W2Q1_all_algorithms/workflow1_Q1/single_cloud
workflow1_Q2,decomposition,results/init_explore_qbu020/workflow1_Q2/decomposition
workflow1_Q2,dpgm,results/main_Q1000_S50_maxp95_eta005_full/workflow1_Q2/dpgm
workflow1_Q2,greedy,results/main_Q1000_S50_maxp95_eta005_full/workflow1_Q2/greedy
workflow1_Q2,mtgp,results/main_Q1000_S50_maxp95_eta005_full/workflow1_Q2/mtgp
workflow1_Q2,single_cloud,results/main_Q1000_S50_maxp95_eta005_full/workflow1_Q2/single_cloud
workflow1_Q3,decomposition,results/init_explore_default_qbu_qbr_qbm_ltb/workflow1_Q3/decomposition
workflow1_Q3,dpgm,results/main_Q1000_S50_maxp95_eta005_full/workflow1_Q3/dpgm
workflow1_Q3,greedy,results/main_Q1000_S50_maxp95_eta005_full/workflow1_Q3/greedy
workflow1_Q3,mtgp,results/main_Q1000_S50_maxp95_eta005_full/workflow1_Q3/mtgp
workflow1_Q3,single_cloud,results/main_Q1000_S50_maxp95_eta005_full/workflow1_Q3/single_cloud
workflow2_Q1,decomposition,results/init_explore_qbu020/workflow2_Q1/decomposition
workflow2_Q1,dpgm,results/current_budget_W1Q1_W2Q1_all_algorithms/workflow2_Q1/dpgm
workflow2_Q1,greedy,results/current_budget_W1Q1_W2Q1_all_algorithms/workflow2_Q1/greedy
workflow2_Q1,mtgp,results/current_budget_W1Q1_W2Q1_all_algorithms/workflow2_Q1/mtgp
workflow2_Q1,single_cloud,results/current_budget_W1Q1_W2Q1_all_algorithms/workflow2_Q1/single_cloud
workflow2_Q2,decomposition,results/remaining_qbu_qbm_ltb_W2Q2_W2Q3/workflow2_Q2/decomposition
workflow2_Q2,dpgm,results/remaining_qbu_qbm_ltb_W2Q2_W2Q3/workflow2_Q2/dpgm
workflow2_Q2,greedy,results/remaining_qbu_qbm_ltb_W2Q2_W2Q3/workflow2_Q2/greedy
workflow2_Q2,mtgp,results/remaining_qbu_qbm_ltb_W2Q2_W2Q3/workflow2_Q2/mtgp
workflow2_Q2,single_cloud,results/remaining_qbu_qbm_ltb_W2Q2_W2Q3/workflow2_Q2/single_cloud
workflow2_Q3,decomposition,results/remaining_qbu_qbm_ltb_W2Q2_W2Q3/workflow2_Q3/decomposition
workflow2_Q3,dpgm,results/remaining_qbu_qbm_ltb_W2Q2_W2Q3/workflow2_Q3/dpgm
workflow2_Q3,greedy,results/remaining_qbu_qbm_ltb_W2Q2_W2Q3/workflow2_Q3/greedy
workflow2_Q3,mtgp,results/remaining_qbu_qbm_ltb_W2Q2_W2Q3/workflow2_Q3/mtgp
workflow2_Q3,single_cloud,results/remaining_qbu_qbm_ltb_W2Q2_W2Q3/workflow2_Q3/single_cloud
