workflow,quality_level,method,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,cvar_value,solver_runtime_sec,status,selected_initializer
workflow1,Q1,decomposition,inf,1.2130651597532884,528.0033739582669,1260.508716279426,1970.8942198091147,0.03566,113.8745150485408,187.9024895420007,INFEASIBLE,
workflow1,Q1,greedy,0.06,1.2130559674648498,610.4063506904079,1513.9528082061663,2414.549958529939,0.06784,260.8663952963841,18.45068258299943,optimal,
workflow1,Q1,murakkab_profile,0.04418,1.2131385026870742,587.9261201467829,1445.4395056623728,2294.856671023016,0.05846,214.8745614109701,33.658703041999615,optimal,
workflow1,Q1,single_cloud,0.6026,1.843148898531035,1275.7573306567697,2598.393870660869,3482.833500821414,0.59952,1013.8694046136276,5.927125417001662,optimal,
workflow1,Q2,decomposition,inf,2.8338120419615924,2304.1140592025663,6687.79038237684,11380.364880108951,0.06676,1422.1882186330229,106.78469841600054,INFEASIBLE,
workflow1,Q2,greedy,0.06134,2.8338120419615924,2304.1140592025663,6687.79038237684,11380.364880108951,0.06676,1422.1882186330229,16.74371175000124,optimal,
workflow1,Q2,murakkab_profile,0.08506,9.969290947283524,2724.7553283395505,7332.87590705352,12055.088558196789,0.08538,1751.9925363338705,4.01782033299969,optimal,
workflow1,Q2,single_cloud,0.06962,3.45763853045911,2842.5361017516184,7037.060175845236,10978.90254602958,0.07326,1291.1307059280382,5.779165042000386,optimal,
workflow1,Q3,decomposition,inf,6.89509967353863,3919.248976775753,11274.446680512328,19777.303157671813,0.0657,2353.182462597236,129.72914508299982,INFEASIBLE,
workflow1,Q3,greedy,0.0614,6.89509967353863,3917.605293710296,11272.928557222336,19774.68263786713,0.06564,2352.0361491555304,16.7438746659991,optimal,
workflow1,Q3,murakkab_profile,0.07042,13.750067030853176,4256.645928242482,11713.742797111683,20101.031048746885,0.07184,2493.399788476334,3.994663249999576,optimal,
workflow1,Q3,single_cloud,0.06178,7.477678436754993,4250.921482282006,11443.037913291952,19361.597619665,0.06652,2209.119743943829,5.788952708999204,optimal,
workflow2,Q1,decomposition,inf,2.869557487586452,529.9732303969854,1268.2975626628715,1952.1076145826544,0.03148,102.56883244744624,714.6244446659985,INFEASIBLE,
workflow2,Q1,greedy,0.06,2.8695478132929337,612.6367057563125,1520.6115583579908,2387.37884191786,0.06274,239.21950024138167,50.6591005829996,optimal,
workflow2,Q1,murakkab_profile,0.04436,2.917979968457664,721.7481357785485,1451.0398079932477,2272.677113630281,0.05332,195.8694368868366,180.06779745800122,optimal,
workflow2,Q1,single_cloud,0.80256,8.371949321914501,1405.772131032078,2595.8111360332937,3425.760960127143,0.79394,1010.7965118375652,12.921293291999971,optimal,
workflow2,Q2,decomposition,inf,4.549769587638231,2239.032800983773,6420.484324189009,10879.40728510978,0.06624,1275.7247601061688,312.64230337499976,INFEASIBLE,
workflow2,Q2,greedy,0.0615,4.549769576876212,2239.487672972488,6420.969281391245,10879.777625692795,0.06634,1276.0270644155637,50.45886191600039,optimal,
workflow2,Q2,murakkab_profile,0.08542,11.52851850691602,2650.9887315540964,7057.930970787807,11598.533262960134,0.08576,1581.825822052227,7.921847292000166,optimal,
workflow2,Q2,single_cloud,0.07014,10.565307770502049,2768.4327207388624,6809.573258054225,10592.637695158865,0.07368,1162.2605615787468,12.826675791000524,optimal,
