workflow,quality_level,iteration,active_scenario_count,objective_value,max_violation,num_violated_scenarios,runtime_sec
workflow2,Q3,1,10,8.824696014429637,0.0,0,0.0044871250283904
workflow2,Q3,1,10,8.796065513594817,0.0,0,0.0052187500405125
workflow2,Q3,1,10,9.748908020793776,0.0,0,0.0203802079777233
workflow2,Q3,1,10,9.748907059053652,11.234064845422967,96,0.0207660000305622
workflow2,Q3,2,20,9.748907059053652,3.8040885108853386,48,0.0338794999988749
workflow2,Q3,3,30,9.748935872275537,64.51362070154016,470,0.0532018329831771
workflow2,Q3,4,40,10.112505262463523,9.287580564217574,79,0.0593500420218333
workflow2,Q3,5,50,inf,0.0,0,0.0674955419963225
workflow2,Q3,1,10,9.748907059053652,6.554167340503305,35,0.0199532500118948
workflow2,Q3,2,20,9.748907059053652,0.0,0,0.0312237499747425
workflow2,Q3,1,10,9.748908447454976,0.0,0,0.0208297920180484
workflow2,Q3,1,50,9.812638008821963,1.0580533366519802,2,0.0639084169524721
workflow2,Q3,2,52,9.812639033263231,0.0,0,0.0670611250097863
workflow2,Q3,1,50,9.812638008821963,0.0,0,0.06219899997813627
