timestamp_utc,region_local,region_peer,peer_host,iperf_port,iperf_seconds,bw_out_mbits_per_sec,bw_in_mbits_per_sec,iperf_ok,bw_notes,iperf_stdout_stderr
2026-04-14T08:04:08Z,us-west1,asia-east1,10.140.0.4,5201,10,192.000000,187.000000,1,,"Connecting to host 10.140.0.4, port 5201
[  5] local 10.138.0.4 port 52324 connected to 10.140.0.4 port 5201
[  7] local 10.138.0.4 port 52340 connected to 10.140.0.4 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec  6.50 MBytes  54.5 Mbits/sec    0   3.34 MBytes       
[  7][RX-C]   0.00-1.00   sec  6.42 MBytes  53.9 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   1.00-2.00   sec  23.6 MBytes   198 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec  22.5 MBytes   189 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   2.00-3.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec  26.2 MBytes   220 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   3.00-4.00   sec  26.3 MBytes   220 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   4.00-5.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   5.00-6.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec  26.2 MBytes   220 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   6.00-7.00   sec  26.2 MBytes   220 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec  22.5 MBytes   189 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   7.00-8.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   8.00-9.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec   225 MBytes   189 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.12  sec   225 MBytes   186 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   229 MBytes   192 Mbits/sec    0             sender
[  7][RX-C]   0.00-10.12  sec   225 MBytes   187 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:09:28Z,us-west1,asia-east1,10.140.0.4,5201,10,202.000000,196.000000,1,,"Connecting to host 10.140.0.4, port 5201
[  5] local 10.138.0.4 port 58328 connected to 10.140.0.4 port 5201
[  7] local 10.138.0.4 port 58336 connected to 10.140.0.4 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec  4.50 MBytes  37.7 Mbits/sec    0   1.68 MBytes       
[  7][RX-C]   0.00-1.00   sec  6.42 MBytes  53.9 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec  22.5 MBytes   189 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   1.00-2.00   sec  26.4 MBytes   222 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec  23.8 MBytes   199 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   2.00-3.00   sec  26.3 MBytes   220 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec  22.5 MBytes   189 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   3.00-4.00   sec  25.0 MBytes   210 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec  23.8 MBytes   199 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   4.00-5.00   sec  24.5 MBytes   206 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec  23.8 MBytes   199 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   5.00-6.00   sec  26.3 MBytes   220 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec  22.5 MBytes   189 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   6.00-7.00   sec  26.3 MBytes   220 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec  23.8 MBytes   199 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   7.00-8.00   sec  26.2 MBytes   220 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec  23.8 MBytes   199 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   8.00-9.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec  22.5 MBytes   189 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   9.00-10.00  sec  26.3 MBytes   220 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec   213 MBytes   179 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.13  sec   213 MBytes   177 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   241 MBytes   202 Mbits/sec    0             sender
[  7][RX-C]   0.00-10.13  sec   237 MBytes   196 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:14:48Z,us-west1,asia-east1,10.140.0.4,5201,10,191.000000,187.000000,1,,"Connecting to host 10.140.0.4, port 5201
[  5] local 10.138.0.4 port 40012 connected to 10.140.0.4 port 5201
[  7] local 10.138.0.4 port 40014 connected to 10.140.0.4 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec  6.75 MBytes  56.6 Mbits/sec    0   3.39 MBytes       
[  7][RX-C]   0.00-1.00   sec  6.41 MBytes  53.8 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec  23.8 MBytes   199 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   1.00-2.00   sec  23.3 MBytes   196 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec  22.5 MBytes   189 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   2.00-3.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec  26.2 MBytes   220 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   3.00-4.00   sec  26.2 MBytes   220 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec  23.8 MBytes   199 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   4.00-5.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec  23.8 MBytes   199 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   5.00-6.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec  26.2 MBytes   220 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   6.00-7.00   sec  26.2 MBytes   220 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec  22.5 MBytes   189 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   7.00-8.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec  23.8 MBytes   199 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   8.00-9.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   9.00-10.00  sec  26.3 MBytes   220 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec   226 MBytes   189 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.12  sec   225 MBytes   187 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   228 MBytes   191 Mbits/sec    0             sender
[  7][RX-C]   0.00-10.12  sec   225 MBytes   187 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:20:08Z,us-west1,asia-east1,10.140.0.4,5201,10,182.000000,177.000000,1,,"Connecting to host 10.140.0.4, port 5201
[  5] local 10.138.0.4 port 41758 connected to 10.140.0.4 port 5201
[  7] local 10.138.0.4 port 41762 connected to 10.140.0.4 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec  5.00 MBytes  41.9 Mbits/sec    0   1.72 MBytes       
[  7][RX-C]   0.00-1.00   sec  3.42 MBytes  28.7 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec  22.5 MBytes   189 Mbits/sec    0   6.17 MBytes       
[  7][RX-C]   1.00-2.00   sec  23.3 MBytes   196 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec  22.5 MBytes   189 Mbits/sec    0   6.17 MBytes       
[  7][RX-C]   2.00-3.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec  23.8 MBytes   199 Mbits/sec    0   6.17 MBytes       
[  7][RX-C]   3.00-4.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec  23.8 MBytes   199 Mbits/sec    0   6.17 MBytes       
[  7][RX-C]   4.00-5.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec  22.5 MBytes   189 Mbits/sec    0   6.17 MBytes       
[  7][RX-C]   5.00-6.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec  23.8 MBytes   199 Mbits/sec    0   6.17 MBytes       
[  7][RX-C]   6.00-7.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec  23.8 MBytes   199 Mbits/sec    0   6.17 MBytes       
[  7][RX-C]   7.00-8.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec  22.5 MBytes   189 Mbits/sec    0   6.17 MBytes       
[  7][RX-C]   8.00-9.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec  23.8 MBytes   199 Mbits/sec    0   6.17 MBytes       
[  7][RX-C]   9.00-10.00  sec  23.3 MBytes   195 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec   214 MBytes   179 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.12  sec   213 MBytes   177 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   217 MBytes   182 Mbits/sec    0             sender
[  7][RX-C]   0.00-10.12  sec   213 MBytes   177 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:25:28Z,us-west1,asia-east1,10.140.0.4,5201,10,182.000000,177.000000,1,,"Connecting to host 10.140.0.4, port 5201
[  5] local 10.138.0.4 port 51382 connected to 10.140.0.4 port 5201
[  7] local 10.138.0.4 port 51392 connected to 10.140.0.4 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec  6.38 MBytes  53.5 Mbits/sec    0   3.40 MBytes       
[  7][RX-C]   0.00-1.00   sec  3.42 MBytes  28.7 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec  23.8 MBytes   199 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   1.00-2.00   sec  23.6 MBytes   198 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec  23.8 MBytes   199 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   2.00-3.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec  26.2 MBytes   220 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   3.00-4.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec  22.5 MBytes   189 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   4.00-5.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec  23.8 MBytes   199 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   5.00-6.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec  26.2 MBytes   220 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   6.00-7.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec  23.8 MBytes   199 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   7.00-8.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec  22.5 MBytes   189 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   8.00-9.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec    0   6.00 MBytes       
[  7][RX-C]   9.00-10.00  sec  23.3 MBytes   195 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec   225 MBytes   189 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.12  sec   225 MBytes   187 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   217 MBytes   182 Mbits/sec    0             sender
[  7][RX-C]   0.00-10.12  sec   214 MBytes   177 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:30:49Z,us-west1,asia-east1,10.140.0.4,5201,10,182.000000,177.000000,1,,"Connecting to host 10.140.0.4, port 5201
[  5] local 10.138.0.4 port 56950 connected to 10.140.0.4 port 5201
[  7] local 10.138.0.4 port 56954 connected to 10.140.0.4 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec  6.75 MBytes  56.6 Mbits/sec    0   3.44 MBytes       
[  7][RX-C]   0.00-1.00   sec  3.42 MBytes  28.7 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec  23.8 MBytes   199 Mbits/sec    0   6.10 MBytes       
[  7][RX-C]   1.00-2.00   sec  23.6 MBytes   198 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec  22.5 MBytes   189 Mbits/sec    0   6.10 MBytes       
[  7][RX-C]   2.00-3.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec  26.2 MBytes   220 Mbits/sec    0   6.10 MBytes       
[  7][RX-C]   3.00-4.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec  23.8 MBytes   199 Mbits/sec    0   6.10 MBytes       
[  7][RX-C]   4.00-5.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec  23.8 MBytes   199 Mbits/sec    0   6.10 MBytes       
[  7][RX-C]   5.00-6.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec  26.2 MBytes   220 Mbits/sec    0   6.10 MBytes       
[  7][RX-C]   6.00-7.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec  22.5 MBytes   189 Mbits/sec    0   6.10 MBytes       
[  7][RX-C]   7.00-8.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec  23.8 MBytes   199 Mbits/sec    0   6.10 MBytes       
[  7][RX-C]   8.00-9.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec    0   6.10 MBytes       
[  7][RX-C]   9.00-10.00  sec  23.5 MBytes   197 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec   226 MBytes   189 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.12  sec   225 MBytes   187 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   216 MBytes   182 Mbits/sec    0             sender
[  7][RX-C]   0.00-10.12  sec   214 MBytes   177 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:36:09Z,us-west1,asia-east1,10.140.0.4,5201,10,191.000000,187.000000,1,,"Connecting to host 10.140.0.4, port 5201
[  5] local 10.138.0.4 port 52970 connected to 10.140.0.4 port 5201
[  7] local 10.138.0.4 port 52984 connected to 10.140.0.4 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec  5.12 MBytes  43.0 Mbits/sec    0   1.69 MBytes       
[  7][RX-C]   0.00-1.00   sec  6.42 MBytes  53.9 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec  22.5 MBytes   189 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   1.00-2.00   sec  23.3 MBytes   196 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec  22.5 MBytes   189 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   2.00-3.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   3.00-4.00   sec  26.2 MBytes   220 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   4.00-5.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec  22.5 MBytes   189 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   5.00-6.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   6.00-7.00   sec  26.3 MBytes   220 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   7.00-8.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec  22.5 MBytes   189 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   8.00-9.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec   214 MBytes   179 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.13  sec   214 MBytes   177 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   228 MBytes   191 Mbits/sec    0             sender
[  7][RX-C]   0.00-10.13  sec   225 MBytes   187 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:41:29Z,us-west1,asia-east1,10.140.0.4,5201,10,188.000000,183.000000,1,,"Connecting to host 10.140.0.4, port 5201
[  5] local 10.138.0.4 port 52584 connected to 10.140.0.4 port 5201
[  7] local 10.138.0.4 port 52588 connected to 10.140.0.4 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec  4.50 MBytes  37.7 Mbits/sec    0   1.72 MBytes       
[  7][RX-C]   0.00-1.00   sec  6.42 MBytes  53.9 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec  22.5 MBytes   189 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   1.00-2.00   sec  23.6 MBytes   198 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec  23.8 MBytes   199 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   2.00-3.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec  23.8 MBytes   199 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   3.00-4.00   sec  26.2 MBytes   220 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec  22.5 MBytes   189 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   4.00-5.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec  23.8 MBytes   199 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   5.00-6.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec  23.8 MBytes   199 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   6.00-7.00   sec  26.3 MBytes   220 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec  22.5 MBytes   189 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   7.00-8.00   sec  23.2 MBytes   195 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec  23.8 MBytes   199 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   8.00-9.00   sec  20.3 MBytes   170 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec  22.5 MBytes   189 Mbits/sec    0   6.03 MBytes       
[  7][RX-C]   9.00-10.00  sec  24.4 MBytes   205 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec   213 MBytes   179 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.12  sec   213 MBytes   177 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   224 MBytes   188 Mbits/sec   52             sender
[  7][RX-C]   0.00-10.12  sec   220 MBytes   183 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:46:49Z,us-west1,asia-east1,10.140.0.4,5201,10,192.000000,187.000000,1,,"Connecting to host 10.140.0.4, port 5201
[  5] local 10.138.0.4 port 49884 connected to 10.140.0.4 port 5201
[  7] local 10.138.0.4 port 49898 connected to 10.140.0.4 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec  6.50 MBytes  54.5 Mbits/sec    0   3.36 MBytes       
[  7][RX-C]   0.00-1.00   sec  6.41 MBytes  53.8 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   1.00-2.00   sec  23.6 MBytes   198 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   2.00-3.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec  25.0 MBytes   210 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   3.00-4.00   sec  26.2 MBytes   220 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   4.00-5.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   5.00-6.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec  26.2 MBytes   220 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   6.00-7.00   sec  26.3 MBytes   220 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec  23.8 MBytes   199 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   7.00-8.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec  22.5 MBytes   189 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   8.00-9.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec    0   6.01 MBytes       
[  7][RX-C]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec   225 MBytes   189 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.12  sec   225 MBytes   187 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   229 MBytes   192 Mbits/sec    0             sender
[  7][RX-C]   0.00-10.12  sec   225 MBytes   187 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:52:09Z,us-west1,asia-east1,10.140.0.4,5201,10,182.000000,177.000000,1,,"Connecting to host 10.140.0.4, port 5201
[  5] local 10.138.0.4 port 39790 connected to 10.140.0.4 port 5201
[  7] local 10.138.0.4 port 39802 connected to 10.140.0.4 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec  6.75 MBytes  56.6 Mbits/sec    0   3.44 MBytes       
[  7][RX-C]   0.00-1.00   sec  3.42 MBytes  28.7 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec  23.8 MBytes   199 Mbits/sec    0   6.04 MBytes       
[  7][RX-C]   1.00-2.00   sec  23.6 MBytes   198 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec  22.5 MBytes   189 Mbits/sec    0   6.04 MBytes       
[  7][RX-C]   2.00-3.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec  26.2 MBytes   220 Mbits/sec    0   6.04 MBytes       
[  7][RX-C]   3.00-4.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec  23.8 MBytes   199 Mbits/sec    0   6.04 MBytes       
[  7][RX-C]   4.00-5.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec  23.8 MBytes   199 Mbits/sec    0   6.04 MBytes       
[  7][RX-C]   5.00-6.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec  26.2 MBytes   220 Mbits/sec    0   6.04 MBytes       
[  7][RX-C]   6.00-7.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec  22.5 MBytes   189 Mbits/sec    0   6.04 MBytes       
[  7][RX-C]   7.00-8.00   sec  23.3 MBytes   195 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec  23.8 MBytes   199 Mbits/sec    0   6.04 MBytes       
[  7][RX-C]   8.00-9.00   sec  23.5 MBytes   197 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec    0   6.04 MBytes       
[  7][RX-C]   9.00-10.00  sec  23.3 MBytes   195 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec   226 MBytes   189 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.12  sec   225 MBytes   187 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   217 MBytes   182 Mbits/sec    0             sender
[  7][RX-C]   0.00-10.12  sec   214 MBytes   177 Mbits/sec                  receiver

iperf Done."
