sweep,Q,S,variant,batch_add_ratio,wall_clock_sec,master_iterations,peak_memory_bytes,objective_value,gurobi_status,error
vary_S_fixed_Q,50,10,full,0.05,11.464482899995346,4,186286080,0.5566470971900302,Optimal,
vary_S_fixed_Q,50,10,no_warm_start,0.05,11.234160300002259,4,186966016,0.5566470971900302,Optimal,
vary_S_fixed_Q,50,10,direct_milp,0.05,11.141860499999893,,336007168,0.5566470971900302,Optimal,
vary_S_fixed_Q,50,20,full,0.05,21.194957299994712,3,272494592,0.6249486225735925,Optimal,
vary_S_fixed_Q,50,20,no_warm_start,0.05,20.834326000003784,3,267939840,0.6249486225735925,Optimal,
vary_S_fixed_Q,50,20,direct_milp,0.05,24.652275100001134,,312811520,0.6249486225735925,Optimal,
vary_S_fixed_Q,50,30,full,0.05,36.71038259999477,4,398561280,0.6215328863998253,Optimal,
vary_S_fixed_Q,50,30,no_warm_start,0.05,36.75646599999891,4,397983744,0.6215328863998253,Optimal,
vary_S_fixed_Q,50,30,direct_milp,0.05,53.82427490000555,,564862976,0.6215328863998241,Optimal,
vary_S_fixed_Q,50,40,full,0.05,48.53569630000129,3,417165312,0.40587438040036217,Optimal,
vary_S_fixed_Q,50,40,no_warm_start,0.05,48.05768309999985,3,442580992,0.40587438040036217,Optimal,
vary_S_fixed_Q,50,40,direct_milp,0.05,61.25949119999859,,580820992,0.4058743804003615,Optimal,
vary_S_fixed_Q,50,50,full,0.05,65.85587300000043,3,563728384,0.5472506661499643,Optimal,
vary_S_fixed_Q,50,50,no_warm_start,0.05,64.71530640000128,3,581890048,0.5472506661499643,Optimal,
vary_S_fixed_Q,50,50,direct_milp,0.05,84.87114190000284,,714743808,0.5472506661499642,Optimal,
vary_S_fixed_Q,50,60,full,0.vary_S_fixed_Q,50,90,no_warm_start,0.05,155.27143790000264,4,896839680,0.3845354477322833,Optimal,
vary_S_fixed_Q,50,90,direct_milp,0.05,158.49750679999852,,1773080576,0.3845354477322832,Optimal,
vary_S_fixed_Q,50,100,full,0.05,265.29137929999706,4,1046679552,0.5079717581180418,Optimal,
vary_S_fixed_Q,50,100,no_warm_start,0.05,217.3174003000022,4,924647424,0.5079717581180422,Optimal,
vary_S_fixed_Q,50,100,direct_milp,0.05,131.12218750000466,,1991782400,0.5079717581180448,Optimal,
vary_Q_fixed_S,10,50,full,0.05,11.899993400002131,4,189063168,0.6697188367558864,Optimal,
vary_Q_fixed_S,10,50,no_warm_start,0.05,10.885176399999182,3,178491392,0.6697188367558864,Optimal,
vary_Q_fixed_S,10,50,direct_milp,0.05,11.982752600000822,,326168576,0.6697188367558863,Optimal,
vary_Q_fixed_S,20,50,full,0.05,21.92562789999647,4,281280512,0.6513229008525041,Optimal,
vary_Q_fixed_S,20,50,no_warm_start,0.05,20.773015799997665,3,284180480,0.651322900852504,Optimal,
vary_Q_fixed_S,20,50,direct_milp,0.05,24.519758699992963,,413970432,0.6513229008525038,Optimal,
vary_Q_fixed_S,30,50,full,0.05,31.42535990000033,3,373522432,0.3139786425664418,Optimal,
vary_Q_fixed_S,30,50,no_warm_start,0.05,30.51501470000221,3,363216896,0.3139786425664418,Optimal,
vary_Q_fixed_S,30,50,direct_milp,0.05,34.284912899995106,,447336448,0.3139786425664418,Optimal,
vary_Q_fixedvary_Q_fixed_S,80,50,full,0.05,120.32963230000314,4,782512128,0.4659289570513088,Optimal,
vary_Q_fixed_S,80,50,no_warm_start,0.05,129.4731404999984,4,783712256,0.4659289570513086,Optimal,
vary_Q_fixed_S,80,50,direct_milp,0.05,155.46822000000247,,1117085696,0.4659289570513086,Optimal,
vary_Q_fixed_S,90,50,full,0.05,194.10973060000106,4,863817728,0.45700904071946113,Optimal,
vary_Q_fixed_S,90,50,no_warm_start,0.05,149.6114105000015,3,896790528,0.4570090407194616,Optimal,
vary_Q_fixed_S,90,50,direct_milp,0.05,151.90256170000066,,1321127936,0.4570090407194616,Optimal,
vary_Q_fixed_S,100,50,full,0.05,216.0733457000024,4,866996224,0.44242801022326705,Optimal,
vary_Q_fixed_S,100,50,no_warm_start,0.05,223.9313245000012,4,929370112,0.44242801022334666,Optimal,
vary_Q_fixed_S,100,50,direct_milp,0.05,180.3090493999989,,1510129664,0.44242801022326705,Optimal,
,77.15261840000312,,714665984,0.5309701438951435,Optimal,
vary_Q_fixed_S,60,50,full,0.05,90.24243150000257,3,670756864,0.5697654698366408,Optimal,
vary_Q_fixed_S,60,50,no_warm_start,0.05,91.57020909999846,3,694308864,0.5697654698366408,Optimal,
vary_Q_fixed_S,60,50,direct_milp,0.05,140.32190950000222,,935575552,0.5697654698378101,Optimal,
vary_Q_fixed_S,70,50,full,0.05,121.99607660000038,4,824348672,0.4209949516309329,Optimal,
vary_Q_fixed_S,70,50,no_warm_start,0.05,120.75059000000329,4,836521984,0.4209949516309329,Optimal,
vary_Q_fixed_S,70,50,direct_milp,0.05,130.36214520000067,,1686523904,0.4209949516309329,Optimal,
